Name:,Linksys Wireless Music Player,,,,v8.33,,,,,,,CURRENT DATA
Devices:,NEC1,134,107,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2000,99 = URC-6131 PVR,14 - Video Acc,OBC,USE,20 9E 29,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 07 D0 (Video Acc/2000) Linksys Wireless Music Player (KM v8.33),,,,,,,,,,,,
5A 00 7A DE C6 9E 81 20 9E 29 57 27 A7 37 67 FF 5F DF AF 7F EF CF 6F 2F 9F 47 1F 07 87 4F 4F F7 0F 8F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.33),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
vol up,021,,0,,,Protocol ID,Fixed Data,,,,,
vol down,027,,1,,,,,,,,,
power,000,,2,,,,,,,,,
menu,005,,3,,,,,,,,,
up arrow,008,,4,,,,,,,,,
down arrow,012,,5,,,,,,,,,
left arrow,009,,6,,,,,,,,,
right arrow,011,,7,,,,,,,,,
play / pause,013,,8,,,,,,,,,
rewind,016,,9,,,,,,,,,
fast fwd,015,,vol up,00 - vol up,,,,,,,,
stop,014,,vol down,01 - vol down,,,,,,,,
page up,019,,mute,14 - Mute,,,,,,,,
page down,025,,channel up,12 - page up,,,,,,,,
Mute,026,,channel down,13 - page down,,,,,,,,
Last Played,010,,power,02 - power,,,,,,,,
Favorites,007,,enter,22 - Media Server,,,,,,,,
Playlists,006,,tv/vid,19 - Internet Radio,,,,,,,,
Browse,004,,prev,15 - Last Played,,,,,,,,
Internet Radio,001,,menu,03 - menu,,,,,,,,
Repeat,030,,guide,17 - Playlists,,,,,,,,
Random,031,,up arrow,04 - up arrow,,,,,,,,
Media Server,029,,down arrow,05 - down arrow,,,,,,,,
,,,left arrow,06 - left arrow,,,,,,,,
,,,right arrow,07 - right arrow,,,,,,,,
,,,select,18 - Browse,,,,,,,,
,,,angle/sleep,,,,,,,,,
,,,pip,,,,,,,,,
,,,info,,,,,,,,,
,,,swap,,,,,,,,,
,,,move,,,,,,,,,
,,,play,08 - play / pause,,,,,,,,
,,,pause,08 - play / pause,,,,,,,,
,,,rewind,09 - rewind,,,,,,,,
,,,fast fwd,10 - fast fwd,,,,,,,,
,,,stop,11 - stop,,,,,,,,
,,,record,,,,,,,,,
,,,exit,,,,,,,,,
,,,surround,,,,,,,,,
,,,audio/CC,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,advance,21 - Random,,,,,,,,
,,,replay,20 - Repeat,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,PVR menu,16 - Favorites,,,,,,,,
,,,subtitle,,,,,,,,,
,,,slow,,,,,,,,,
,,,thumbs up,,,,,,,,,
,,,thumbs down,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
