Name:,Sapphire Theatrix,,,,v9.09,,,,,,,CURRENT DATA
Devices:,Manual Settings,6,,,,,,,,,,
Manual:,1FF,0 = 1-byte,MSB,88,NO,,,,,,,
Setup:,2000,99 = URC-6131 PVR,16 - PVR,OBC,USE,06,1,No,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 2F D0 (PVR/2000) Sapphire Theatrix (KM v9.09),,,,,,,,,,,,
FF 00 FE FE FE 44 F9 06 27 1E 1F 20 21 22 23 24 25 26 C5 C6 C4 C8 C9 B1 D6 D7 D2 D3 CC C7 F1 D1 FA 4C 52 51 50 4F F7 28 CA 28 F3 F0 C0 C1 F5 F4,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 FF (S3C8+) Custom Protocol for PVR/2000 Sapphire Theatrix (KM v9.09),,,,,,,,,,,,
44 8C 11 8B 13 7E 02 B1 00 C6 00 EE 00 58 00 65 40 80 51 A2 15 2A 54 A8 1C 08 28 04 10 C2 FB 05 87 31 1B B2 B3 1A F5 E4 03 07 B9 03 B0 05 B0 06 F6 FF 4B E6 06 04 B6 03 40 F6 FF 4B F6 01 0A 7B F8 E6 06 08 B6 03 C0 F6 FF 4B AF 1C 12 F6 01 4C 6C 05 87 36 02 5C 04 1C 16 F6 01 4C B8 C3 56 CB 03 BE 1C 1A F6 01 6D BA F9 E0 C3 E0 C3 5A E8 6A E1 1C 16 F6 01 4C C6 F8 7B D4 F6 01 58 AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,039,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,030,,1,01 - num 1,,,,,,,,
num 2,031,,2,02 - num 2,,,,,,,,
num 3,032,,3,03 - num 3,,,,,,,,
num 4,033,,4,04 - num 4,,,,,,,,
num 5,034,,5,05 - num 5,,,,,,,,
num 6,035,,6,06 - num 6,,,,,,,,
num 7,036,,7,07 - num 7,,,,,,,,
num 8,037,,8,08 - num 8,,,,,,,,
num 9,038,,9,09 - num 9,,,,,,,,
vol up,197,,vol up,10 - vol up,,,,,,,,
vol down,198,,vol down,11 - vol down,,,,,,,,
mute,196,,mute,12 - mute,,,,,,,,
channel up,200,,channel up,13 - channel up,,,,,,,,
channel down,201,,channel down,14 - channel down,,,,,,,,
power,177,,power,15 - power,,,,,,,,
menu,250,,enter,24 - select,,,,,,,,
home,240,,tv/vid,25 - live tv,,,,,,,,
display/info,209,,prev,26 - back,,,,,,,,
exit,076,,menu,16 - menu,,,,,,,,
up arrow,082,,guide,27 - recorded tv,,,,,,,,
down arrow,081,,up arrow,20 - up arrow,,,,,,,,
left arrow,080,,down arrow,21 - down arrow,,,,,,,,
right arrow,079,,left arrow,22 - left arrow,,,,,,,,
select,040,,right arrow,23 - right arrow,,,,,,,,
live tv,241,,select,24 - select,,,,,,,,
back,202,,angle/sleep,,,,,,,,,
recorded tv,247,,pip,,,,,,,,,
play,214,,info,18 - display/info,,,,,,,,
pause,215,,swap,,,,,,,,,
rewind,210,,move,,,,,,,,,
fast fwd,211,,play,28 - play,,,,,,,,
stop,204,,pause (yellow),29 - pause,,,,,,,,
