Name:,PC - Noname,,,,v9.20,,,,,,,,CURRENT DATA
Devices:,Manual Settings,71,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2001,99 = Comcast URC-1067B JP1.3,01 - Cable,OBC,USE,1D,1,No,,,,,
Comcast URC-1067B JP1.3 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 07 D1 (Cable/2001) PC - Noname (KM v9.20),,,,,,,,,,,,,
01 FF 00 FE F6 3E 42 61 1D 17 27 37 2F E7 F7 EF 87 97 8F 5F AF B7 FF 9F 1B CC 4C 7F BF 4F CF DB 5B 6B FF 9F 67 67 47 77 3B 7B BB,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 01 FF (S3C8+) Custom Protocol for Cable/2001 PC - Noname (KM v9.20),,,,,,,,,,,,,
3D 90 11 8B 0E C5 41 08 08 00 82 01 7C 00 82 03 95 5B 04 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,478,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0 (switch windows),023,,0,00 - 0 (switch windows),,Protocol ID,Fixed Data,,,,,,1F
1 (tab),027,,1,01 - 1 (tab),,,,,,,,,15
2 (up arrow),019,,2,02 - 2 (up arrow),,,,,,,,,16
3 (start),011,,3,03 - 3 (start),,,,,,,,,17
4 (left arrow),024,,4,04 - 4 (left arrow),,,,,,,,,19
5 (enter),016,,5,05 - 5 (enter),,,,,,,,,1A
6 (right arrow),008,,6,06 - 6 (right arrow),,,,,,,,,1B
