Name:,Sansui TV/VCR/DVD Combo TDCxx75,,,,v7.51,,,,,,,CURRENT DATA
Devices:,NEC2,113,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1158,99 = 15-2117 / 15-2116,03 - VCR,EFC,USE,,,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 14 86 (VCR/1158),,,,,,,,,,,,
5A 00 FE BE B8 41 01 71 71 FD 7D BD 3D DD 5D 9D 1D ED 6D 09 F1 A9 49 89 AD F9 79 39 B9 E9 2E 83 03 E5 65 69 91 A5 99,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F3 14 86 29 99 F3 14 86 69,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,165,0,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,169,0,1,01 - num 1,,,,,,,,
num 2,167,0,2,02 - num 2,,,,,,,,
num 3,171,0,3,03 - num 3,,,,,,,,
num 4,164,0,4,04 - num 4,,,,,,,,29 - DVD Button
num 5,168,0,5,05 - num 5,,,,,,,,
num 6,166,0,6,06 - num 6,,,,,,,,
num 7,170,0,7,07 - num 7,,,,,,,,
num 8,037,0,8,08 - num 8,,,,,,,,
num 9,041,0,9,09 - num 9,,,,,,,,
vol up,074,0,vol up,10 - vol up,,,,,,,,
vol down,133,0,vol down,11 - vol down,,,,,,,,
mute,071,0,mute,12 - mute,,,,,,,,
channel up,072,0,channel up,13 - channel up,,,,,,,,
channel down,070,0,channel down,14 - channel down,,,,,,,,
power,039,0,power,15 - power,,,,,,,,
enter,,0,enter,,,,,,,,,
tv/vcr,134,0,tv/video,16 - tv/vcr,,,,,,,,
last (prev ch),,0,last,,,,,,,,,
menu,067,0,menu,17 - menu,,,,,,,,
program guide,,,guide,29 - DVD Button,,,,,,,,
up arrow,022,0,up arrow,18 - up arrow,,,,,,,,
down arrow,026,0,down arrow,19 - down arrow,,,,,,,,
left arrow,229,0,left arrow,20 - left arrow,,,,,,,,
right arrow,233,0,right arrow,21 - right arrow,,,,,,,,
select,231,0,select,22 - select,,,,,,,,
sleep,075,0,sleep,23 - sleep,,,,,,,,
pip on/off,,0,pip,,,,,,,,,
display,,0,info,,,,,,,,,
pip swap,,0,swap,,Antenna/Sat,,,,,,,
pip move,,0,move,,,,,,,,,
play,197,0,play,24 - play,,,,,,,,
pause,069,0,pause,25 - pause,,,,,,,,
rewind,203,0,rewind,26 - rewind,,,,,,,,
fast fwd,199,0,fast fwd,27 - fast fwd,,,,,,,,
stop,201,0,stop,28 - stop,,,,,,,,
record,,,record,,,,,,,,,
exit,,0,exit,,,,,,,,,
surround,,,surround,,,,,,,,,
DVD Button,073,,input,,DVD button,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,213,0,device button,,DVD button,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,freeze,31 - slow+,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,198,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
x2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,DiscreteON,,,,,,,,,
,,,DiscreteOFF,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
