Name:,VH920 RCA Video Selector,,,,v7.11,,,,,,,CURRENT DATA
Devices:,RCA Combo (w/Duration),5,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,48,NO,,,,,,,
Setup,0920,99 = 15-2117 / 15-2116,14 - Video Acc,EFC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 8B 98 (Video Acc/0920),,,,Upgrade protocol 0 = 01 43 (S3C8+),,,,,,,,
43 00 34 81 7F 3A 5F 3A FF 3B DF 3A EF 3A,,,,28 60 02 8B 12 95 45 04 08 00 FA 03 D4 00 FA 01,,,,,,,,
End,,,,E0 0F 8C 07 D0 07 BC 20 10 00 11 E6 0D 05 8D 01,,,,,,,,
,,,,46,,,,,,,,
,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,205,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
Off,219,15,0,,,Protocol ID,Fixed Data,,,,,
Sat,227,7,1,,,,,,,,,
DVD,227,5,2,,,,,,,,,
Laserdisk,227,13,3,,,,,,,,,
VCR,227,14,4,,,,,,,,,
Aux1,227,4,5,,Must be trained,,,,,,,
Aux2,227,6,6,,Must be trained,,,,,,,
,,,7,,,,,,,,,
,,,8,,,,,,,,,
,,,9,,,,,,,,,
,,,vol up,,,,,,,,,
,,,vol down,,,,,,,,,
,,,mute,,,,,,,,,
,,,channel up,01 - Sat,,,,,,,,
,,,channel down,02 - DVD,,,,,,,,
,,,power,00 - Off,,,,,,,,
,,,enter,,,,,,,,,
,,,tv/video,04 - VCR,,,,,,,,
,,,last,03 - Laserdisk,,,,,,,,
,,,menu,,,,,,,,,
,,,guide,,,,,,,,,
,,,up arrow,,,,,,,,,
,,,down arrow,,,,,,,,,
,,,left arrow,,,,,,,,,
,,,right arrow,,,,,,,,,
,,,select,,,,,,,,,
,,,sleep,,,,,,,,,
,,,pip,,,,,,,,,
,,,info,,,,,,,,,
,,,swap,,,,,,,,,
,,,move,,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fast fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,exit,,,,,,,,,
