Name:,DVDO IScan HD Components input Darryl apr/17/2010,,,,v9.14,,,,,,,CURRENT DATA,
Devices:,NEC1,132,32,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0132,27 = URC-9910 / 8910 / UEI HTPro,01 - Cable,EFC,USE,20 DE FB,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 60 84 (Cable/0132) DVDO IScan HD Components input Darryl apr/17/2010 (KM v9.14),,,,,,,,,,,,,
5A 00 A6 EA 00 21 20 DE FB 0F 27 00 00 97 67 17 07 87 47 0D D7 FD 7F BF 5F 37 3D DD 2F,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.14),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,058,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,251,,1,01 - num 1,,,,,,,,,15
num 2,,,2,,,,,,,,,,16
num 3,,,3,,,,,,,,,,17
num 4,118,,4,02 - num 4,,,,,,,,,19
num 5,249,,5,03 - num 5,,,,,,,,,1A
num 6,122,,6,04 - num 6,,,,,,,,,1B
num 7,250,,7,05 - num 7,,,,,,,,,1C
num 8,246,,8,06 - num 8,,,,,,,,,1D
num 9,248,,9,07 - num 9,,,,,,,,,1E
Config,119,,vol up,,,,,,,,,,04
Picture Control,247,,vol down,,,,,,,,,,05
Input Adjust,181,,mute,,,,,,,,,,08
Video 1,039,,channel up,24 - Component 1 input,,,,,,,,,06
Video 2,055,,channel down,25 - Component 2 input,,,,,,,,,07
Power,167,,power,,,,,,,,,,03
menu,171,,enter,23 - enter,,,,,,,,,18
S video 1,038,,tv/vid,,,,,,,,,,20
display/info,165,,prev,,,,,,,,,,38
exit,164,,menu,14 - menu,,,,,,,,,14
up arrow,185,,guide,,,,,,,,,,36
down arrow,183,,up arrow,18 - up arrow,,,,,,,,,31
left arrow,184,,down arrow,19 - down arrow,,,,,,,,,32
right arrow,123,,left arrow,20 - left arrow,,,,,,,,,33
S video 2,180,,right arrow,21 - right arrow,,,,,,,,,34
enter,059,,select,,,,,,,,,,35
Component 1 input,042,,sleep,,,,,,,,,,30
Component 2 input,116,,pip,,,,,,,,,,3A
VGA pass through,041,,info,16 - display/info,,,,,,,,,13
DVI INPUT,036,,swap,,,,,,,,,,3C
Auto input select,043,,move,,,,,,,,,,3B
4:3,168,,play,,,,,,,,,,0C
Letter box,166,,pause,,,,,,,,,,0F
Preset,037,,rewind,,,,,,,,,,0B
Info,165,,fwd,,,,,,,,,,0D
Test Pattern,169,,stop,,,,,,,,,,0E
Output setup,054,,record,,,,,,,,,,10
+100,,,exit,17 - exit,,,,,,,,,37
pip on/off,,,,,,,,,,,,,
pip swap,,,,,,,,,,,,,
pip move,,,,,,,,,,,,,
pip freeze,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,f fwd,,,,,,,,,,2A
,,,f rew,,,,,,,,,,29
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,39
