Name:,Mitsubishi HS-U57 B,,,,v8.31,,,,,,,CURRENT DATA
Devices:,Mitsubishi,87,,,,,,,,,,
Manual:,,0 = 1-byte,0 = 1-byte,88,NO,,,,,,,
Setup:,0043,24 = URC-881x / 801x / 601x,03 - VCR,EFC,USE,15,1,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 10 2B (VCR/0043) Mitsubishi HS-U57 B (KM v8.31),,,,,,,,,,,,
14 00 BE FE FE E1 15 6E FE EE F6 E6 FA EA F2 E2 7E AE B6 BE 6C 2E DA A2 84 B4 C6 DE CE CA 94 52 D6 7C 26 52 82 5E 8E 96,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 90 F3 10 2B 92«Eject»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 14 (S3C8+) Mitsubishi (KM v8.31),,,,,,,,,,,,
47 A9 11 8B 0E C5 41 08 08 00 96 01 B8 00 96 04 1A 68 E2 E6 0D 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Power (toggle),191,,0,40 - num: 0,,Protocol ID,Fixed Data,,,,,
Power Off (discrete),047,,1,41 - num: 1,,,,,,,,
Power On (discrete),175,,2,42 - num: 2,,,,,,,,
Pause (toggle),252,,3,43 - num: 3,,,,,,,,
Stop,124,,4,44 - num: 4,,,,,,,,
Play,188,,5,45 - num: 5,,,,,,,,
Record,060,,6,46 - num: 6,,,,,,,,
Fast Forward,220,,7,47 - num: 7,,,,,,,,
Fast Rewind,092,,8,48 - num: 8,,,,,,,,
Eject,158,,9,49 - num: 9,,,,,,,,
Play X2,224,,vol up,,,,,,,,,
Forward Normal Speed,179,,vol down,,,,,,,,,
Forward Speed 1a,044,,mute,,,,,,,,,
Forward Speed 1b,108,,channel up,39 - Channel Up,,,,,,,,
Forward Speed 1c,236,,channel down,38 - Channel Down,,,,,,,,
Forward Speed 1d,204,,power,00 - Power (toggle),,,,,,,,
Forward Speed 2a,076,,enter,51 - Enter,,,,,,,,
Forward Speed 2b,176,,tv/vid,57 - VCR/TV,,,,,,,,
Forward Speed 3a,112,,prev,56 - SP/EP,,,,,,,,
Forward Speed 3b,208,,menu,53 - Menu,,,,,,,,
Forward Speed 3c,144,,guide,55 - Input (cycle),,,,,,,,
Reverse Speed 1a,051,,up arrow,35 - Adjust +,,,,,,,,
Reverse Speed 1b,115,,down arrow,34 - Adjust -,,,,,,,,
Reverse Speed 1c,243,,left arrow,32 - Adjust Off,,,,,,,,
Reverse Speed 1d,211,,right arrow,33 - Adjust On,,,,,,,,
Reverse Speed 2a,048,,select,51 - Enter,,,,,,,,
Reverse Speed 2a,083,,sleep,,,,,,,,,
Reverse Speed 3a,240,,pip,,,,,,,,,
Reverse Speed 3b,080,,info,50 - Display,,,,,,,,
Reverse Speed 3c,016,,swap,,,,,,,,,
Wheel Forward,012,,move,,,,,,,,,
Wheel Reverse,019,,play,05 - Play,,,,,,,,
Adjust Off,238,,pause,03 - Pause (toggle),,,,,,,,
Adjust On,110,,rewind,08 - Fast Rewind,,,,,,,,
Adjust -,049,,fwd,07 - Fast Forward,,,,,,,,
Adjust +,177,,stop,04 - Stop,,,,,,,,
Index -,126,,record,06 - Record,,,,,,,,09 - Eject
Index +,062,,exit,52 - Cancel,,,,,,,,
Channel Down,127,,surround,,,,,,,,,
Channel Up,063,,input,,,,,,,,,
num: 0,065,,+100,,,,,,,,,
num: 1,189,,fav,,,,,,,,,
num: 2,061,,device button,,,,,,,,,
num: 3,125,,f fwd,37 - Index +,,,,,,,,
num: 4,253,,f rew,36 - Index -,,,,,,,,
num: 5,221,,shift-left,,,,,,,,,
num: 6,093,,shift-right,,,,,,,,,
num: 7,157,,pip freeze,,,,,,,,,
num: 8,029,,slow,,,,,,,,,
num: 9,193,,eject,,,,,,,,,
Display,003,,slow+,,,,,,,,,
Enter,160,,slow-,,,,,,,,,
Cancel,067,,x2,,,,,,,,,
Menu,111,,center,,,,,,,,,
Exit Menu,162,,rear,,,,,,,,,
Input (cycle),031,,phantom1,,,,,,,,,
SP/EP,030,,phantom2,,,,,,,,,
VCR/TV,192,,phantom3,,,,,,,,,
Audio Dubbing (toggle),254,,phantom4,,,,,,,,,
Audio Monitor,195,,phantom5,,,,,,,,,
Audio Function (cycle next),237,,phantom6,,,,,,,,,
Audio Function (cycle prev),109,,phantom7,,,,,,,,,
Video Function (cycle next),045,,phantom8,,,,,,,,,
Video Function (cycle prev),173,,phantom9,,,,,,,,,
Program,163,,phantom10,,,,,,,,,
Timer on/off (toggle),002,,setup,,,,,,,,,
OTR / Off Timer (cycle),098,,light,,,,,,,,,
Reset VCR,161,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
