Name:,RCA VR725HF,,,,v8.12,,,,,,,CURRENT DATA
Devices:,RCA,14,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,48,NO,,,,,,,
Setup:,1060,24 = URC-881x / 801x / 601x,03 - VCR,EFC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 14 24 (VCR/1060),,,,,,,,,,,,
AF 0B 3E FE BA E1 EF 2D 2C 2A C6 06 1C DF E6 08 19 15 17 1D DE 1F BF 3C 27 05 1C 1D,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 20 F3 14 24 46 3C F3 14 24 53,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 AF (S3C8+),,,,,,,,,,,,
28 60 11 8B 12 95 45 04 08 00 FA 03 D4 00 FA 01 E0 0F 8C 07 D0 07 BC 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,147,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,139,,1,01 - 1,,,,,,,,
2,163,,2,02 - 2,,,,,,,,
3,155,,3,03 - 3,,,,,,,,
4,115,,4,04 - 4,,,,,,,,
5,107,,5,05 - 5,,,,,,,,
6,131,,6,06 - 6,,,,,,,,
7,123,,7,07 - 7,,,,,,,,
8,211,,8,08 - 8,,,,,,,,
9,203,,9,09 - 9,,,,,,,,
Ch+,043,,vol up,,,,,,,,,
Ch-,051,,vol down,,,,,,,,,
Power,099,,mute,,,,,,,,,
TV.VCR,234,,channel up,10 - Ch+,,,,,,,,
Prev Ch,251,,channel down,11 - Ch-,,,,,,,,
Menu.Prog,082,,power,12 - Power,,,,,,,,
Up Arrow,183,,enter,,,,,,,,,
Down Arrow,252,,tv/vid,13 - TV.VCR,,,,,,,,
Left Arrow,253,,prev,14 - Prev Ch,,,,,,,,
Right Arrow,188,,menu,15 - Menu.Prog,,,,,,,,
Display,179,,guide,30 - Jog Shuttle,,,,,,,,
Play,106,,up arrow,16 - Up Arrow,,,,,,,,
Pause,202,,down arrow,17 - Down Arrow,,,,,,,,
Rew,170,,left arrow,18 - Left Arrow,,,,,,,,
FF,178,,right arrow,19 - Right Arrow,,,,,,,,
Stop,186,,select,,,,,,,,,
Rec.XPR,122,,sleep,,,,,,,,,
Search,152,,pip,,,,,,,,,
Input,,,info,20 - Display,,,,,,,,
Clear,002,,swap,29 - Speed,,,,,,,,
Speed,000,,move,27 - Search,,,,,,,,
Jog Shuttle,180,,play,21 - Play,,,,,,,,
A.V Dub,,,pause,22 - Pause,,,,,,,,
Slow-,,,rewind,23 - Rew,,,,,,,,
Slow+,,,fwd,24 - FF,,,,,,,,
Tracking-,,,stop,25 - Stop,,,,,,,,
Tracking+,,,record,26 - Rec.XPR,,,,,,,,
,,,exit,28 - Clear,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,24 - FF,,,,,,,,
,,,f rew,23 - Rew,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
