Name:,Toshiba W528 VCR Device Upgrade,,,,v7.09,,,,,,,CURRENT DATA
Devices:,NEC1,68,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1145,02 = URC-7800 / 6800,03 - VCR,EFC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 34 79 (VCR/1145),,,,Upgrade protocol 0 = 00 5A (S3C8),,,,,,,,
5A 1E 7E FE FE F9 00 DD DD 00 00 86 27 07 B7 67,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
57 37 D7 F7 E7 8D 45 77 C5 35 05 2F 08 0D 50 4F,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
C5 57 D7 67 37,,,,33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
KeyMoves,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
2F F3 34 79 3E 30 F3 34 79 97 35 F3 34 79 96,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
End,,,,F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
,,,,01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28,,,,,,,,
,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,230,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,055,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,183,,2,02 - num 2,,,,,,,,
num 3,187,,3,03 - num 3,,,,,,,,
num 4,180,,4,04 - num 4,,,,,,,,
num 5,184,,5,05 - num 5,,,,,,,,
num 6,182,,6,06 - num 6,,,,,,,,
num 7,186,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol up,,,vol up,vol up,,,,,,,,
vol down,,,vol down,vol down,,,,,,,,
mute,254,,mute,10 - mute,,,,,,,,
channel up,251,,channel up,11 - channel up,,,,,,,,
channel down,250,,channel down,12 - channel down,,,,,,,,
power,119,,power,13 - power,,,,,,,,
enter,038,,enter,14 - enter,,,,,,,,
tv/vcr,121,,tv/vcr,15 - tv/vcr,,,,,,,,
last (prev ch),232,,prev ch,16 - last (prev ch),,,,,,,,
menu,228,,menu,17 - menu,,,,,,,,
program guide,228,,prog/guide,18 - program guide,,,,,,,,
up arrow,120,,up arrow,19 - up arrow,,,,,,,,
down arrow,116,,down arrow,20 - down arrow,,,,,,,,
left arrow,249,,left arrow,21 - left arrow,,,,,,,,
right arrow,123,,right arrow,22 - right arrow,,,,,,,,
select,234,,select,23 - select,,,,,,,,
sleep,,,sleep,sleep,,,,,,,,
pip on/off,042,,pip on/off,24 - pip on/off,,,,,,,,
display,059,,display,25 - display,,,,,,,,
pip swap,144,,pip swap,26 - pip swap,,,,,,,,
pip move,056,,pip move,27 - pip move,,,,,,,,
play,120,,play,28 - play,,,,,,,,
pause,117,,pause,29 - pause,,,,,,,,
rewind,249,,rewind,30 - rewind,,,,,,,,
fast fwd,123,,fast fwd,31 - fast fwd,,,,,,,,
stop,116,,stop,32 - stop,,,,,,,,
record,245,,record,33 - record,,,,,,,,
exit,082,,exit,34 - exit,,,,,,,,
surround,107,,surround,35 - surround,,,,,,,,
input toggle,,,input,input toggle,,,,,,,,
+100,,,+100,+100,,,,,,,,
fav/scan,,,fav/scan,fav/scan,,,,,,,,
device button,,,device button,device button,,,,,,,,
shift-up,195,,shift-up,shift-up,,,,,,,,
shift-down,118,,shift-down,shift-down,,,,,,,,
shift-left,126,,shift-left,shift-left,,,,,,,,
shift-right,,,shift-right,shift-right,,,,,,,,
pip freeze,,,pip freeze,pip freeze,,,,,,,,
slow,,,slow,slow,,,,,,,,
eject,,,eject,eject,,,,,,,,
slow+,,,slow+,slow+,,,,,,,,
slow-,,,slow-,slow-,,,,,,,,
X2,,,X2,X2,,,,,,,,
center,,,center,center,,,,,,,,
rear,,,rear,rear,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1L,36 - shift-up,,,,,,,,
,,,2L,37 - shift-down,,,,,,,,
,,,3L,38 - shift-left,,,,,,,,
,,,4L,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
