Name:,NEC N-5400U VCR,,,,v6.12b,,CURRENT DATA
Devices:,NEC1,25,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,
Setup,0038,01 = 15-1994,03 - VCR,EFC,USE,,
15-1994 Device Upgrade Code (34 bytes):,,,,,,,
Upgrade code 0 = 20 26 (VCR/0038),,,,,,,
5A 11 3E FE FE F9 00 67 67 FF 7F EF 9E 9C 09 BE,,,,,,,
2F 06 5F 3F BF 5C 1F 39 DE D9 67 5F 8F 4F CF DF,,,,,,,
9F 6F,,,,,,,
End,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protocol Code:,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Functions,EFC,byte2,Buttons,Functions,Notes,Device Combiner (max 16):,
num 0,247,,0,00 - num 0,,Protocol ID,Fixed Data
num 1,117,,1,01 - num 1,,,
num 2,121,,2,02 - num 2,,,
num 3,119,,3,03 - num 3,,,
num 4,123,,4,04 - num 4,,,
num 5,116,,5,05 - num 5,,,
num 6,120,,6,06 - num 6,,,
num 7,118,,7,07 - num 7,,,
num 8,122,,8,08 - num 8,,,
num 9,245,,9,09 - num 9,,,
channel up,181,,vol up,vol up,,,
channel down,185,,vol down,vol down,,,
power,053,,mute,mute,,,
30 Sec Skip,190,,channel up,10 - channel up,,,
Ch Add/Erase,174,,channel down,11 - channel down,,,
Chan Monitor,074,,power,12 - power,,,
Menu,191,,enter,13 - 30 Sec Skip,,,
Counter/Memory,059,,tv/vcr,14 - Ch Add/Erase,,,
x2 Play,002,,last,15 - Chan Monitor,,,
(Play),184,,menu,16 - menu,,,
Slow -,187,,program / guide,17 - Counter/Memory,,,
Slow +,183,,up arrow,18 - x2 Play,,,
Slow,176,,down arrow,19 - (Play),,,
SR (Rcrd End),186,,left arrow,20 - Slow -,,,
Tracking +,203,,right arrow,21 - Slow +,,,
Display,188,,select,22 - Slow,,,
Tracking -,196,,sleep,23 - SR (Rcrd End),,,
Input Select,249,,pip,24 - Tracking +,,,
Play,184,,display,25 - Display,,,
Pause,054,,swap,26 - Tracking -,,,
Rewind,056,,move,27 - Input Select,,,
FF,052,,play,28 - Play,,,
Stop,180,,pause,29 - Pause,,,
Record,182,,rewind,30 - Rewind,,,
Reset,057,,fast fwd,31 - FF,,,
Channel Search,045,,stop,32 - Stop,,,
TV/VCR,055,,record,33 - Record,,,
Eject,058,,exit,34 - Reset,,,
SP/EP,251,,surround,surround,,,
DSR,254,,input,input toggle,,,
,,,+100,+100,,,
,,,fav/scan,fav/scan,,,
,,,device button,device button,,,
,,,shift-up,shift-up,,,
,,,shift-down,shift-down,,,
,,,shift-left,shift-left,,,
,,,shift-right,shift-right,,,
,,,pip freeze,pip freeze,,,
,,,slow,slow,,,
,,,eject,eject,,,
,,,slow+,slow+,,,
,,,slow-,slow-,,,
,,,X2,X2,,,
,,,center,center,,,
,,,rear,rear,,,
,,,Phantom1,Phantom1,,,
,,,Phantom2,Phantom2,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Line Notes:,,,,Free-form Notes:,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,EOF Marker - DO NOT DELETE
