Name:,Panasonic VCR Master2,,,,v9.16,,,,,,,,CURRENT DATA
Devices:,Panasonic Combo,144,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1162,27 = URC-9910 / 8910 / UEI HTPro,03 - VCR,OBC,USE,BF FB F6,2,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 14 8A (VCR/1162) Panasonic VCR Master2 (KM v9.16),,,,,,,,,,,,,
CD 00 BE FE FA 0D BF FB F6 FF 67 FF F7 FF 77 FF B7 FF 37 FF D7 FF 57 FF 97 FF 17 FF E7 FF D3 FF 53 FF 43 FF AF FF 9F FF BF FF 3F FF FF FF EF 7F 95 7F BF 7F 3F 7F 5F 7F DF 7F 99 7F E5 FF 93 7F 05 7F 45 FF 5F FF DF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,,
Upgrade Protocol 0 = 00 CD (S3C8+) Panasonic Combo (KM v9.16),,,,,,,,,,,,,
45 91 32 8B 12 8F 45 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 E4 05 08 B4 06 08 B4 07 08 20 11 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
Stop,000,0,0,23 - 0,,Protocol ID,Fixed Data,,,,,,1F
Eject,001,0,1,14 - 1,Prog / Check,,,,,,,,15
Rewind,002,0,2,15 - 2,,,,,,,,,16
Fast fwd,003,0,3,16 - 3,,,,,,,,,17
Rewind when held,004,0,4,17 - 4,,,,,,,,,19
FF when held,005,0,5,18 - 5,,,,,,,,,1A
Pause toggle,006,0,6,19 - 6,,,,,,,,,1B
Slow -,007,0,7,20 - 7,,,,,,,,,1C
Record,008,0,8,21 - 8,Record button on remote,,,,,,,,1D
Play,010,0,9,22 - 9,Play button on remote,,,,,,,,1E
Play reverse,011,0,vol up,,,,,,,,,,04
Single frame advance,012,0,vol down,,Only works in pause mode,,,,,,,,05
Slow frame rewind,013,0,mute,,Only works in pause mode,,,,,,,,08
Slow+,015,0,channel up,25 - channel up,Slow on remote,,,,,,,,06
1,016,0,channel down,26 - channel down,,,,,,,,,07
2,017,0,power,29 - power toggle,,,,,,,,,03
3,018,0,enter,,,,,,,,,,18
4,019,0,tv/vid,27 - tv/vcr,,,,,,,,,20
5,020,0,prev,,,,,,,,,,38
6,021,0,menu,93 - Menu,,,,,,,,,14
7,022,0,guide,95 - show view,,,,,,,,,36
8,023,0,up arrow,86 - Up arrow,,,,,,,,,31
9,024,0,down arrow,87 - Down arrow,,,,,,,,,32
0,025,0,left arrow,89 - Left arrow,,,,,,,,,33
Audio out,051,0,right arrow,88 - Right arrow,,,,,,,,,34
Channel up,052,0,select,94 - Enter,,,,,,,,,35
Channel down,053,0,sleep,,,,,,,,,,30
tv/vcr,054,0,pip,,,,,,,,,,3A
-/--,059,0,info,96 - display,,,,,,,,,13
Power Toggle,061,0,swap,,,,,,,,,,3C
Power On,062,0,move,,,,,,,,,,3B
Power Off,063,0,play,09 - Play,,,,,,,,,0C
Index search back,073,0,pause,06 - Pause toggle,index down,,,,,,,,0F
Index search forward,074,0,rewind,02 - Rewind,index up,,,,,,,,0B
Tape counter reset,084,0,fwd,03 - Fast fwd,R.A.Z.,,,,,,,,0D
Display Remain toggle,085,0,stop,00 - Stop,,,,,,,,,0E
Display counter toggle,086,0,record,08 - record,,,,,,,,,10
On screen display,087,0,exit,97 - Exit,,,,,,,,,37
G-code,093,0,,,,,,,,,,,
Pause/play,128,0,,,Front panel pause,,,,,,,,
Pause discreet,129,0,,,,,,,,,,,
Slow frame advance when held,131,0,,,Only works in pause mode,,,,,,,,
fast playback when held,135,0,,,Only works in pause mode,,,,,,,,
Slow frame rewind when held,136,0,f fwd,05 - FF when held,Only works in pause mode,,,,,,,,2A
Slow frame advance when held,137,0,f rew,04 - Rewind when held,Only works in pause mode,,,,,,,,29
3 frames advance when held,138,0,,,Only works in pause mode,,,,,,,,
Slow frame advance when held,139,0,,,Only works in pause mode,,,,,,,,
Fast frame rewind when held,140,0,,,Only works in pause mode,,,,,,,,
Fast frame advance when held,141,0,,,Only works in pause mode,,,,,,,,
very slow frame advance when held,142,0,,,Only works in pause mode,,,,,,,,
Very slow frame advance when held,143,0,,,Only works in pause mode,,,,,,,,
Tuner Monitor,145,0,,,,,,,,,,,
Program date -,147,0,,,,,,,,,,,
Start+,148,0,,,,,,,,,,,
Start-,149,0,,,,,,,,,,,
Finish+,150,0,phantom1,,,,,,,,,,3D
Finish-,151,0,phantom2,,,,,,,,,,3E
Slow frame rewind when held,152,0,phantom3,,Only works in pause mode,,,,,,,,3F
Frame advance,153,0,,,Only works in pause mode,,,,,,,,
Crystal View Control (CVC) toggle,154,0,,,,,,,,,,,
Crystal View Control (CVC) Discreet on,155,0,,,,,,,,,,,
Crystal View Control (CVC) discreet off,156,0,,,,,,,,,,,
Insert edit when held,157,0,,,Only works in pause mode,,,,,,,,
Record while held,158,0,,,Only works in pause mode,,,,,,,,
2 second rewind,159,0,,,Only works in pause mode,,,,,,,,
2 second audio dub in pause,169,0,setup,,Only works in pause mode,,,,,,,,02
2 second audio dub in pause,171,0,light,,Only works in pause mode,,,,,,,,39
auto align,176,0,home theater,,,,,,,,,,24
V-lock +,177,0,M1,,,,,,,,,,2D
V-lock -,178,0,M2,,,,,,,,,,2E
Insert edit,179,0,M3,,Only works in pause mode,,,,,,,,2F
Timer record,180,0,,,,,,,,,,,
AV toggle,192,0,L1,,,,,,,,,,25
enr direct,194,0,L2,,,,,,,,,,26
Tuner Discrete,202,0,L3,,,,,,,,,,27
AV1 discrete,203,0,L4,,,,,,,,,,28
AV2 discrete,204,0,,,,,,,,,,,
Play from zero,244,0,,,,,,,,,,,
Stop at zero,245,0,,,,,,,,,,,
relecture,247,0,,,,,,,,,,,
Fast Fwd 30 seconds,248,0,,,,,,,,,,,
Play,249,0,,,Unsure how it is different from EFC 055,,,,,,,,
Unskipp all channels,250,0,,,Clears the skip function from all channels. Every channel from 1 to 99 will be shown when channel up or down is presed,,,,,,,,
Service Menu,252,0,,,Access only for servicing purposes.,,,,,,,,
Display segment check,253,0,,,,,,,,,,,
Program,001,1,,,verif,,,,,,,,
Up arrow,002,1,,,,,,,,,,,
Down arrow,003,1,,,,,,,,,,,
Right arrow,004,1,com/skip,,,,,,,,,,2B
Left arrow,005,1,,,,,,,,,,,
Cancel,009,1,,,annul,,,,,,,,
Speed,010,1,,,vitesse,,,,,,,,
last (prev ch),056,1,,,,,,,,,,,
Menu,086,1,,,,,,,,,,,
Enter,088,1,,,,,,,,,,,
show view,093,1,,,video+,,,,,,,,
Display,095,1,,,osd,,,,,,,,
Exit,102,1,,,sortie,,,,,,,,
Program ch up,144,1,,,(rouge) +,,,,,,,,
Program ch Down,145,1,,,(rouge) -,,,,,,,,
Program date +,146,1,,,(vert) date +,,,,,,,,
Program date +,147,1,,,(vert) date -,,,,,,,,
Program Time start +,148,1,,,(jaune) deb +,,,,,,,,
Program Time start -,149,1,,,(jaune) deb -,,,,,,,,
Program Time stop +,150,1,,,(bleu) fin +,,,,,,,,
Program Time stop -,151,1,,,(bleu) fin -,,,,,,,,
search,157,1,,,recherche,,,,,,,,
select/av,192,1,,,,,,,,,,,
format,222,4,,,,,,,,,,,
mode photo,035,5,,,,,,,,,,,
tv/text,087,5,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
This upgrade is for NV-FJ___ players,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
