Name:,Sharp VCR,,,,v7.21,,,,,,,CURRENT DATA
Devices:,Sharp,3,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,58,NO,,,,,,,
Setup,0048,01 = 15-1994,03 - VCR,OBC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 20 30 (VCR/0048),,,,Upgrade protocol 0 = 00 1C (S3C8),,,,,,,,
1C 0D 3E FE FE F9 3C 88 48 68 2C C8 08 B8 38 99,,,,3D 92 11 8B 16 49 05 08 00 84 01 75 00 84 03 87,,,,,,,,
39 B9 D9 59 CC B1 31 13 09 44 A4 C4 84 E4 14 21,,,,83 C2 00 00 00 00 00 00 03 5F A0 0C 05 76 03 01,,,,,,,,
KeyMoves,,,,6B 0D E4 25 1C E4 26 1D 0C 03 09 12 E6 24 02 18,,,,,,,,
30 F3 20 30 C1 21 F3 20 30 94 22 F3 20 30 0C 23,,,,03 90 C1 0A FC 19 05 B0 C6 60 04 60 05 F6 01 33,,,,,,,,
F3 20 30 F4 24 F3 20 30 F8,,,,60 C6 EB F5 F6 01 0A 7B EE AF,,,,,,,,
End,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,224,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,010,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,,,,,,,,
num 2,002,,2,02 - num 2,,,,,,,,
num 3,003,,3,03 - num 3,,,,,,,,
num 4,004,,4,04 - num 4,,,,,,,,
num 5,005,,5,05 - num 5,,,,,,,,
num 6,006,,6,06 - num 6,,,,,,,,
num 7,007,,7,07 - num 7,,,,,,,,
num 8,008,,8,08 - num 8,,,,,,,,
num 9,009,,9,09 - num 9,,,,,,,,
100,136,,vol up,,,,,,,,,
Arrow Down,156,,vol down,,,,,,,,,
Arrow Left,157,,mute,,,,,,,,,
Arrow Right,155,,channel up,18 - Ch+,,,,,,,,
Arrow Up,153,,channel down,17 - Ch-,,,,,,,,
Auto Repeat,016,,power,29 - Power,,,,,,,,
Cancel,132,,enter,24 - Input,,,,,,,,
Ch-,018,,tv/vcr,40 - TV/VCR,,,,,,,,
Ch+,017,,last,15 - Auto Repeat,,,,,,,,
Display,140,,menu,25 - Menu,,,,,,,,
DPSS-,048,,program / guide,30 - Program,,,,,,,,
DPSS+,047,,up arrow,14 - Arrow Up,,,,,,,,
Eject,051,,down arrow,11 - Arrow Down,,,,,,,,
Fwd,033,,left arrow,12 - Arrow Left,,,,,,,,
Input,052,,right arrow,13 - Arrow Right,,,,,,,,
Menu,029,,select,34 - Set,,,,,,,,
On Screen,141,,sleep,22 - Eject,,,,,,,,
Pause,037,,pip,26 - On Screen,,,,,,,,
Play,034,,display,19 - display,,,,,,,,
Power,022,,swap,32 - Replay,,,,,,,,
Program,028,,move,35 - Skip Search,,,,,,,,
Rec,040,,play,28 - Play,,,,,,,,
Replay,200,,pause,27 - Pause,,,,,,,,
Rew,035,,rewind,33 - Rew,,,,,,,,
Set,154,,fast fwd,23 - Fwd,,,,,,,,
Skip Search,144,,stop,37 - Stop,,,,,,,,
Slow,041,,record,31 - Rec,,,,,,,,
Stop,039,,exit,16 - Cancel,,,,,,,,
Tamper Proof,013,,surround,41 - Zero Back,,,,,,,,
Tape Speed,031,,input,,,,,,,,,
TV/VCR,019,,+100,+100,,,,,,,,
Zero Back,131,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,eject,,,,,,,,
,,,slow+,slow+,,,,,,,,
,,,slow-,slow-,,,,,,,,
,,,X2,X2,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1s,36 - Slow,,,,,,,,
,,,2s,20 - DPSS-,,,,,,,,
,,,3s,21 - DPSS+,,,,,,,,
,,,4s,39 - Tape Speed,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
