Name:,Sanyo VCR VHR-778,,,,v8.10,,,,,,,CURRENT DATA
Devices:,NEC1,49,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2001,06 = URC-7560,01 - Cable,EFC,USE,,,,,,,
URC-7560 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 07 D1 (Cable/2001),,,,,,,,,,,,
5A 45 56 BC FE 86 FD 00 73 73 00 00 2D 25 86 87 AC FE DD 15 0D D7 F7 B7 37 57 77 85 67 A7 CD 3F CE 2F AD 3D E7,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 3E F3 07 D1 98 3F F3 07 D1 D8,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Input,246,,0,35 - num 0,,Protocol ID,Fixed Data,,,,,
Preset,254,,1,26 - num 1,,,,,,,,
Clear,039,,2,27 - num 2,,,,,,,,
OK,043,,3,28 - num 3,,,,,,,,
Index,249,,4,29 - num 4,,,,,,,,
Power,235,,5,30 - num 5,,,,,,,,
Ch - (Down),183,,6,31 - num 6,,,,,,,,
Ch + (UP),185,,7,32 - num 7,,,,,,,,
Record,120,,8,33 - num 8,,,,,,,,
Pause/Still,121,,9,34 - num 9,,,,,,,,
Rewind,119,,vol up,,,,,,,,,
Play,116,,vol down,,,,,,,,,
Fast Forward,123,,mute,03 - OK,,,,,,,,
Stop,117,,channel up,,,,,,,,,
VideoPlus+,060,,channel down,,,,,,,,,
Slow,247,,power,05 - power,,,,,,,,
X2,059,,auto,04 - Index,,,,,,,,
Menu/TV,047,,tv/vcr,,,,,,,,,
Type,245,,prev ch,,,,,,,,,
Display,036,,menu,17 - Menu/TV,,,,,,,,
SP/LP,230,,guide,,,,,,,,,
Remain,106,,up arrow,38 - eject,,,,,,,,
Reset,164,,down arrow,22 - Reset,,,,,,,,
Memory,171,,left arrow,21 - Remain,,,,,,,,
PDC,042,,right arrow,24 - PDC,,,,,,,,
Audio,187,,enter,,,,,,,,,
Num 1,180,,sleep,,,,,,,,,
Num 2,184,,pip on/off,,,,,,,,,
Num 3,182,,display,,,,,,,,,
Num 4,186,,pip swap,,,,,,,,,
Num 5,052,,pip move,,,,,,,,,
Num 6,056,,play,11 - play,,,,,,,,
Num 7,054,,pause,09 - Pause/Still,,,,,,,,
Num 8,058,,rewind,10 - rewind,,,,,,,,
Num 9,244,,fast fwd,12 - Fast Forward,,,,,,,,
Num 0,248,,stop,13 - stop,,,,,,,,
Discrete Off,204,,record,08 - record,,,,,,,,
Discrete On,206,,exit,,,,,,,,,
eject,feh,,surround,,,,,,,,,
,,,av,00 - Input,,,,,,,,
,,,+10,01 - Preset,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,sp/lp,20 - SP/LP,,,,,,,,
,,,shift-left,,,,,,,,,
,,,normalize,,,,,,,,,
,,,a,15 - Slow,,,,,,,,
,,,b,19 - Display,,,,,,,,
,,,c,25 - Audio,,,,,,,,
,,,color+ ($_vol+),,,,,,,,,
,,,color- ($_vol-),,,,,,,,,
