Name:,Panasonic NVFJ622F,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,Panasonic Combo2,144,0,,,,,,,,,,
Manual:,00 FF,0 = 1-byte,LSB,88,NO,,,,,,,,
Setup:,1666,06 = URC-7560 / 7562,03 - VCR,EFC,USE,BF FB F6 FF,2,No,,,,,
URC-7560 / 7562 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 26 82 (VCR/1666) Panasonic NVFJ622F (KM v9.19),,,,,,,,,,,,,
FF 00 BA FE FF BF FB F6 FF 67 FF F7 FF 77 FF B7 FF 37 FF D7 FF 57 FF 97 FF 17 FF E7 FF D3 FF 53 FF 43 FF 23 FF 95 7F 99 7F AF FF FF FF BF FF 3F FF E5 7F AF FF FF FF BF FF 3F FF EF FF 9F FF AF 7F 05 7F,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,,
Upgrade Protocol 0 = 00 FF (S3C8+) Panasonic Combo2 (KM v9.19),,,,,,,,,,,,,
45 91 42 8B 12 8F 44 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 E6 0C E8 08 08 09 06 08 05 B4 06 C0 B4 07 C0 09 08 F6 01 46 F6 01 0A FB 0D 00 0C EB F4 C6 3E 00 00 B0 4A F6 01 0A AF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,249,0,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,117,0,1,01 - num 1,,,,,,,,,15
num 2,121,0,2,02 - num 2,,,,,,,,,16
num 3,119,0,3,03 - num 3,,,,,,,,,17
num 4,123,0,4,04 - num 4,,,,,,,,,19
num 5,116,0,5,05 - num 5,,,,,,,,,1A
num 6,120,0,6,06 - num 6,,,,,,,,,1B
num 7,118,0,7,07 - num 7,,,,,,,,,1C
num 8,122,0,8,08 - num 8,,,,,,,,,1D
num 9,245,0,9,09 - num 9,,,,,,,,,1E
,,,vol up,,,,,,,,,,04
power toggle,024,0,vol down,,,,,,,,,,05
power on,022,0,mute,,,,,,,,,,08
channel up,148,0,channel up,12 - channel up,,,,,,,,,06
channel down,152,0,channel down,13 - channel down,,,,,,,,,07
power off,026,0,power,10 - power toggle,,,,,,,,,03
enter,229,1,auto,60 - osd,,,,,,,,,13
tv/vcr,150,0,,,,,,,,,,,
last (prev ch),021,1,,,,,,,,,,,
menu,102,1,menu,18 - menu,,,,,,,,,20
auto align,157,0,,,,,,,,,,,
up arrow,055,0,up arrow,20 - up arrow,,,,,,,,,29
down arrow,181,0,down arrow,21 - down arrow,,,,,,,,,2A
left arrow,183,0,left arrow,22 - left arrow,,,,,,,,,2B
right arrow,187,0,right arrow,23 - right arrow,,,,,,,,,2C
select/av,173,0,enter,15 - enter,,,,,,,,,88
slow,058,0,sleep,,,,,,,,,,C3
pause play,193,0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
play,055,0,play,27 - play,,,,,,,,,0C
pause,182,0,pause,28 - pause,,,,,,,,,0F
rewind,183,0,rewind,29 - rewind,,,,,,,,,0B
fast fwd,187,0,fast fwd,30 - fast fwd,,,,,,,,,0D
stop,181,0,stop,31 - stop,,,,,,,,,0E
record,053,0,record,32 - record,,,,,,,,,10
exit,100,0,exit,45 - sortie,,,,,,,,,98
,,,,,,,,,,,,,
,,,av,,,,,,,,,,18
eject,185,0,+10,38 - -/--,,,,,,,,,2F
enr direct,175,0,,,,,,,,,,,
format,238,4,,,,,,,,,,,
tv/text,106,5,,,,,,,,,,,
-/--,027,0,,,,,,,,,,,
recherche,000,1,,,,,,,,,,,
index down,041,0,,,,,,,,,,,
index up,039,0,,,,,,,,,,,
show view,232,1,,,,,,,,,,,
mode photo,219,5,sp/lp,56 - vitesse,,,,,,,,,14
relecture,146,0,bright+ ($_ch+),,,,,,,,,,C6
sortie,198,1,bright- ($_ch-),,,,,,,,,,C7
rouge +,125,1,,,,,,,,,,,
rouge -,129,1,,,,,,,,,,,
date +,127,1,,,,,,,,,,,
date -,131,1,phantom1,,,,,,,,,,3A
deb +,124,0,phantom2,,,,,,,,,,3B
deb -,128,0,phantom3,,,,,,,,,,3C
fin +,126,0,phantom4,,,,,,,,,,3D
fin -,130,0,,,,,,,,,,,
verif,185,1,,,,,,,,,,,
annul,057,1,,,,,,,,,,,
vitesse,055,1,,,,,,,,,,,
prog,156,0,,,,,,,,,,,
R.A.Z.,100,0,,,,,,,,,,,
audio,155,0,setup,,,,,,,,,,02
osd,234,1,light,,,,,,,,,,30
,,,home theater,,,,,,,,,,12
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,E,,,,,,,,,,27
,,,F,,,,,,,,,,28
,,,G,,,,,,,,,,2D
,,,H,,,,,,,,,,2E
,,,A,,,,,,,,,,23
,,,B,,,,,,,,,,24
,,,C,,,,,,,,,,25
,,,D,,,,,,,,,,26
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,color+ ($_vol+),,,,,,,,,,C4
,,,color- ($_vol-),,,,,,,,,,C5
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
