Name:,PANASONIC PV-V4521K VCR CODE 1579,,,,v8.11,,,,,,,CURRENT DATA
Devices:,Panasonic Combo2,144,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1579,01 = 15-1994,03 - VCR,EFC,USE,,,,,,,
15-1994 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 26 2B (VCR/1579),,,,,,,,,,,,
42 00 BE FE 76 F9 BF FB F6 FF 67 FF F7 FF 77 FF B7 FF 37 FF D7 FF 57 FF 97 FF 17 FF E7 FF D3 FF 53 FF 43 FF 73 7F 93 FF 50 FF 7F 7F 95 7F AF FF FF FF BF FF 3F FF 7F 7F FD FF 63 FF AF 7F AF FF 9F FF BF FF 3F FF FF FF EF FF D5 FF,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 9F F4 26 2B 58 FF AD F4 26 2B E0 FF AF F4 26 2B 2B 5F AB F4 26 2B 7F FF,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 00 42 (S3C8),,,,,,,,,,,,
45 91 42 8B 12 8F 44 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 E6 0C E8 08 08 09 06 08 05 B4 06 C0 B4 07 C0 09 08 F6 01 33 F6 01 0A FB 0D 00 0C EB F4 C6 3E 00 00 B0 4A F6 01 0A AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,249,0,0,00 - num 0,,Protocol ID,Fixed Data,,,,,26 - +100
num 1,117,0,1,01 - num 1,,,,,,,,
num 2,121,0,2,02 - num 2,,,,,,,,
num 3,119,0,3,03 - num 3,,,,,,,,
num 4,123,0,4,04 - num 4,,,,,,,,
num 5,116,0,5,05 - num 5,,,,,,,,
num 6,120,0,6,06 - num 6,,,,,,,,
num 7,118,0,7,07 - num 7,,,,,,,,
num 8,122,0,8,08 - num 8,,,,,,,,
num 9,245,0,9,09 - num 9,,,,,,,,
channel up,148,0,vol up,,,,,,,,,
channel down,152,0,vol down,,,,,,,,,
power,024,0,mute,,,,,,,,,
up arrow,055,0,channel up,10 - channel up,,,,,,,,
down arrow,181,0,channel down,11 - channel down,,,,,,,,
left arrow,183,0,power,12 - power,,,,,,,,
right arrow,187,0,enter,31 - ADD/DLT,,,,,,,,
tv/vcr,150,0,tv/vcr,17 - tv/vcr,,,,,,,,
display/info,025,0,last,38 - SKIP,,,,,,,,
sleep,058,0,menu,30 - PROGRAM,,,,,,,,
play,055,0,program / guide,29 - ACTION,,,,,,,,
pause,182,0,up arrow,13 - up arrow,,,,,,,,
rewind,183,0,down arrow,14 - down arrow,,,,,,,,
fast fwd,187,0,left arrow,15 - left arrow,,,,,,,,
stop,181,0,right arrow,16 - right arrow,,,,,,,,
record,053,0,select,30 - PROGRAM,,,,,,,,
+100,208,0,sleep,,,,,,,,,
EJECT,185,0,pip,33 - SEARCH,,,,,,,,32 - CM/ZERO
INPUT,173,0,display,18 - display/info,,,,,,,,
ACTION,102,1,swap,36 - SPEED,,,,,,,,34 - TAPE POSITION
PROGRAM,185,1,move,,,,,,,,,
ADD/DLT,153,1,play,20 - play,,,,,,,,
CM/ZERO,013,0,pause,21 - pause,,,,,,,,
SEARCH,165,0,rewind,22 - rewind,,,,,,,,
TAPE POSITION,091,5,fast fwd,23 - fast fwd,,,,,,,,
SAP/Hi-Fi,206,0,stop,24 - stop,,,,,,,,
SPEED,055,1,record,25 - record,,,,,,,,
COUNTER RESET,100,0,exit,37 - COUNTER RESET,,,,,,,,27 - EJECT
SKIP,144,0,surround,,,,,,,,,
