Name:,Sharp vcr 0048,,,,v7.07,,,,,,,CURRENT DATA
Devices:,Sharp,3,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,58,NO,,,,,,,
Setup,0048,18 = 15-2104,03 - VCR,EFC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 20 30 (VCR/0048),,,,Upgrade protocol 0 = 00 1C (S3C8+),,,,,,,,
1C 0D 3E FE 7E E1 3C 88 48 68 2C C8 38 B8 38 99,,,,3D 92 11 8B 16 49 05 08 00 84 01 75 00 84 03 87,,,,,,,,
39 B9 D9 59 B1 44 A4 C4 84 E4 14 04 11,,,,83 C2 00 00 00 00 00 00 03 5F A0 0C 05 76 03 01,,,,,,,,
KeyMoves,,,,6B 0D E4 25 1C E4 26 1D 0C 03 09 12 E6 24 02 18,,,,,,,,
2A F3 20 30 94 2B F3 20 30 0C 2C F3 20 30 F4 2D,,,,03 90 C1 0A FC 19 05 B0 C6 60 04 60 05 F6 01 46,,,,,,,,
F3 20 30 F8,,,,60 C6 EB F5 F6 01 0A 7B EE AF,,,,,,,,
End,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,224,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,144,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,014,,1,01 - num 1,,,,,,,,
num 2,016,,2,02 - num 2,,,,,,,,
num 3,012,,3,03 - num 3,,,,,,,,
num 4,019,,4,04 - num 4,,,,,,,,
num 5,015,,5,05 - num 5,,,,,,,,
num 6,017,,6,06 - num 6,,,,,,,,
num 7,013,,7,07 - num 7,,,,,,,,
num 8,146,,8,08 - num 8,,,,,,,,
num 9,142,,9,09 - num 9,,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,,,mute,,,,,,,,,
channel up,078,,channel up,10 - channel up,,,,,,,,
channel down,080,,channel down,11 - channel down,,,,,,,,
power,081,,power,12 - power,,,,,,,,
enter,006,,enter,32 - input,,,,,,,,
tv/vcr,076,,tv/vcr,14 - tv/vcr,,,,,,,,
last (prev ch),211,,last,15 - last (prev ch),,,,,,,,
menu,207,,menu,16 - menu,,,,,,,,
program guide,211,,guide,17 - program guide,,,,,,,,
up arrow,198,,up arrow,18 - up arrow,,,,,,,,
down arrow,203,,down arrow,19 - down arrow,,,,,,,,
left arrow,199,,left arrow,20 - left arrow,,,,,,,,
right arrow,196,,right arrow,21 - right arrow,,,,,,,,
select,200,,select,22 - select,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,176,,pip on/off,,,,,,,,,
display,135,,info,24 - display,,,,,,,,
pip swap,,,pip swap,,,,,,,,,
pip move,,,pip move,,,,,,,,,
play,240,,play,25 - play,,,,,,,,
pause,239,,pause,26 - pause,,,,,,,,
rewind,236,,rewind,27 - rewind,,,,,,,,
fast fwd,238,,fast fwd,28 - fast fwd,,,,,,,,
stop,237,,stop,29 - stop,,,,,,,,
record,114,,record,30 - record,,,,,,,,
exit,242,,exit,31 - exit,,,,,,,,
surround,,,surround,,,,,,,,,
input,051,,input,,,,,,,,,
+100,138,,+100,33 - +100,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
shift-up,,,shift-up,,,,,,,,,
shift-down,,,shift-down,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,pip freeze,,,,,,,,,
slow,110,,slow,,,,,,,,,
eject,044,,eject,eject,,,,,,,,
slow+,109,,slow+,slow+,,,,,,,,
slow-,050,,slow-,slow-,,,,,,,,
X2,,,X2,X2,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
Tape Speed,205,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,music,,,,,,,,,
,,,movie,,,,,,,,,
,,,sport,,,,,,,,,
,,,news,,,,,,,,,
,,,1s,34 - slow,,,,,,,,
,,,2s,37 - slow-,,,,,,,,
,,,3s,36 - slow+,,,,,,,,
,,,4s,38 - Tape Speed,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
