Name:,Panasonic VCR PV-4551,,,,v8.16,,,,,,,CURRENT DATA
Devices:,Panasonic VCR Combo,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1162,24 = URC-881x / 801x / 601x,03 - VCR,EFC,USE,BF FB F6 FF,2,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 14 8A (VCR/1162),,,,,,,,,,,,
1F 00 BE FE FE E1 BF FB F6 FF 67 00 F7 00 77 00 B7 00 37 00 D7 00 57 00 97 00 17 00 E7 00 D3 00 53 00 43 00 3F 40 5F 40 3F 00 7F 40 D5 00 95 40 9F 00 AF 00 EF 00 BF 00 AF 40 DF 40 FF 00 BF 40 63 00 73 40 E3 40 93 00 50 00 0F 00,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 88 F4 14 8A 98 00 8E F4 14 8A 7F 00,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 1F (S3C8+),,,,,,,,,,,,
45 91 42 8B 12 8F 45 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 08 08 37 0E 06 18 05 77 17 19 05 37 0C 06 18 06 77 1E 19 06 08 05 54 06 C0 60 C0 B4 07 C0 09 08 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
VCR num 0,249,0,0,00 - VCR num 0,,Protocol ID,Fixed Data,,,,,
VCR num 1,117,0,1,01 - VCR num 1,,,,,,,,
VCR num 2,121,0,2,02 - VCR num 2,,,,,,,,
VCR num 3,119,0,3,03 - VCR num 3,,,,,,,,
VCR num 4,123,0,4,04 - VCR num 4,,,,,,,,
VCR num 5,116,0,5,05 - VCR num 5,,,,,,,,
VCR num 6,120,0,6,06 - VCR num 6,,,,,,,,
VCR num 7,118,0,7,07 - VCR num 7,,,,,,,,
VCR num 8,122,0,8,08 - VCR num 8,,,,,,,,
VCR num 9,245,0,9,09 - VCR num 9,,,,,,,,
VCR power,024,0,vol up,,,,,,,,,
VCR vcr / tv,150,0,vol down,,,,,,,,,
VCR counter reset,100,0,mute,,,,,,,,,32 - VCR SAP
VCR speed,055,2,channel up,29 - VCR chn + / track +,,,,,,,,
VCR rewind,183,0,channel down,30 - VCR chn - / track -,,,,,,,,
VCR play,055,0,power,10 - VCR power,,,,,,,,
VCR fast forward,187,0,enter,33 - VCR add / delete,,,,,,,,
VCR stop,181,0,tv/vid,11 - VCR vcr / tv,,,,,,,,
VCR zero / 1 minute,144,0,prev,31 - VCR R-tune,,,,,,,,
VCR slow,058,0,menu,22 - VCR menu,,,,,,,,
VCR pause,182,0,guide,24 - VCR program,,,,,,,,
VCR record / time,053,0,up arrow,26 - VCR advance fwd (whl),,,,,,,,
VCR menu,102,2,down arrow,28 - VCR advance bwd (whl),,,,,,,,
VCR clear,184,2,left arrow,12 - VCR counter reset,,,,,,,,
VCR program,185,2,right arrow,13 - VCR speed,,,,,,,,
VCR display,025,0,select,27 - VCR select (whl press),,,,,,,,
VCR advance fwd (whl),183,2,sleep,,,,,,,,,
VCR select (whl press),180,2,pip,,,,,,,,,
VCR advance bwd (whl),187,2,info,25 - VCR display,,,,,,,,
VCR chn + / track +,148,0,swap,,,,,,,,,
