Name:,RCA VCR VR503,,,,v8.15,,,,,,,CURRENT DATA
Devices:,RCA,14,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,48,NO,,,,,,,
Setup:,1060,99 = URC-6131 PVR,03 - VCR,EFC,USE,EF,1,,,,,
URC-6131 PVR Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 24 24 (VCR/1060),,,,,,,,,,,,
AF 0C 3E FE FA 28 61 EF 2D 2C 2A 15 19 1D 1C 1F 17 05 3C 08 06 0B 0A E6 DE 53 27 20 10 40 1D,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 2F F4 24 24 00 F8 20 F4 24 24 00 00,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 AF (S3C8+),,,,,,,,,,,,
28 60 11 8B 12 95 45 04 08 00 FA 03 D4 00 FA 01 E0 0F 8C 07 D0 07 BC 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,147,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,139,,1,01 - 1,,,,,,,,
2,163,,2,02 - 2,,,,,,,,
3,155,,3,03 - 3,,,,,,,,
4,115,,4,04 - 4,,,,,,,,
5,107,,5,05 - 5,,,,,,,,
6,131,,6,06 - 6,,,,,,,,
7,123,,7,07 - 7,,,,,,,,
8,211,,8,08 - 8,,,,,,,,
9,203,,9,09 - 9,,,,,,,,
Ch+,043,,vol up,,,,,,,,,
Ch-,051,,vol down,,,,,,,,,
Power,099,,mute,,,,,,,,,
TV/VCR,234,,channel up,10 - Ch+,,,,,,,,
Prev Ch,251,,channel down,11 - Ch-,,,,,,,,
Menu/Prog,082,,power,12 - Power,,,,,,,,
Tracking+,090,,enter,,,,,,,,,
Tracking-,098,,tv/vid,13 - TV/VCR,,,,,,,,
Slow,146,,prev,14 - Prev Ch,,,,,,,,
Frame Advance,019,,menu,15 - Menu/Prog,,,,,,,,
Display,179,,guide,27 - Search,,,,,,,,
Play,106,,up arrow,16 - Tracking+,,,,,,,,
Pause,202,,down arrow,17 - Tracking-,,,,,,,,
Rew,170,,left arrow,36 - Left Arrow,,,,,,,,
Fast Fwd,178,,right arrow,37 - Right Arrow,,,,,,,,
Stop,186,,select,,,,,,,,,
Rec/XPR,122,,angle/sleep,,,,,,,,,
Search,152,,pip,28 - Input,,,,,,,,
Input,248,,info,20 - Display,,,,,,,,
Clear,002,,swap,30 - Speed,,,,,,,,
Speed,000,,move,,,,,,,,,
,,,play,21 - Play,,,,,,,,
sleep,146,,pause,22 - Pause,,,,,,,,
eject,016,,rewind,23 - Rew,,,,,,,,
Jog Shuttle,180,,fast fwd,24 - Fast Fwd,,,,,,,,
Up Arrow,183,,stop,25 - Stop,,,,,,,,
Down Arrow,252,,record,26 - Rec/XPR,,,,,,,,
Left Arrow,253,,exit,29 - Clear,,,,,,,,
Right Arrow,188,,surround,,,,,,,,,
,,,audio/CC,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,advance,32 - eject,,,,,,,,
,,,replay,23 - Rew,,,,,,,,
,,,next track,19 - Frame Advance,,,,,,,,
,,,prev track,,,,,,,,,
,,,PVR menu,,,,,,,,,
,,,subtitle,,,,,,,,,
,,,slow,18 - Slow,,,,,,,,
,,,thumbs up,,,,,,,,,
,,,thumbs down,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
