Name:,Tomacro limHD200i,,,,v9.10,,,,,,,CURRENT DATA
Devices:,NEC1,230,8,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1200,02 = URC-7800 / 6800,01 - Cable,EFC,USE,20 98 EF,1,No,,,,
URC-7800 / 6800 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 04 B0 (Cable/1200) Tomacro limHD200i (KM v9.10),,,,,,,,,,,,
5A 00 FE FE FE FD 20 98 EF 00 9D 5D DD 00 00 00 00 00 00 AD 6D 00 27 37 E5 55 F5 17 D5 07 3D C5 57 BD 7D B7 25 CD 45 87 4F 95 A5 A7 D7 97 47 77,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NEC1 (KM v9.10),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,230,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
video mode,230,,0,,,Protocol ID,Fixed Data,,,,,
vfd on/off,167,,1,06 - movie,,,,,,,,
power,171,,2,07 - music,,,,,,,,
setup,247,,3,08 - photo,,,,,,,,
device,169,,4,,,,,,,,,
virtual cd,165,,5,,,,,,,,,
movie,166,,6,,,,,,,,,
music,168,,7,,,,,,,,,
photo,164,,8,,,,,,,,,
page up,039,,9,,,,,,,,,
page down,041,,vol up,09 - page up,,,,,,,,
menu,119,,vol down,10 - page down,,,,,,,,
exit,246,,mute,,,,,,,,,
up,116,,channel up,25 - next,,,,,,,,
down,118,,channel down,24 - prev,,,,,,,,
left,248,,power,02 - power,,,,,,,,
right,121,,enter,35 - repeat,,,,,,,,
select,036,,tv/vcr,04 - device,,,,,,,,
image,056,,prev ch,33 - func,,,,,,,,
audio,235,,menu,11 - menu,,,,,,,,
subtitle,102,,prog/guide,03 - setup,,,,,,,,
time,231,,up arrow,13 - up,,,,,,,,
rewind,229,,down arrow,14 - down,,,,,,,,
fast fwd,101,,left arrow,15 - left,,,,,,,,
prev,123,,right arrow,16 - right,,,,,,,,
next,251,,select,17 - select,,,,,,,,
play,104,,sleep,01 - vfd on/off,,,,,,,,
pause,122,,pip on/off,18 - image,,,,,,,,
stop,100,,display,34 - info,,,,,,,,
vol +,057,,pip swap,20 - subtitle,,,,,,,,
vol -,117,,pip move,21 - time,,,,,,,,
zoom +,037,,play,26 - play,,,,,,,,
zoom -,040,,pause,27 - pause,,,,,,,,
func,120,,rewind,22 - rewind,,,,,,,,
info,232,,fast fwd,23 - fast fwd,,,,,,,,
repeat,228,,stop,28 - stop,,,,,,,,
mute,249,,record,38 - eject,,,,,,,,
rotate,234,,exit,12 - exit,,,,,,,,
eject,250,,surround,19 - audio,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
