Name:,Apex PD10,,,,v7.58,,,,,,,CURRENT DATA
Devices:,Apex 1100W,0,0,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1011,24 = URC-881x / 801x / 601x,06 - DVD,EFC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 1B F3 (DVD/1011),,,,,,,,,,,,
46 00 DA FE FC E1 FF FF ED 67 27 77 57 17 B7 97 CD FD 00 00 9F F7 DE 87 3F B6 7F 5F 4D BF AF CC 96 D5 76 6F DF FF A7 8F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 01 46 (S3C8+),,,,,,,,,,,,
43 8B 21 8B 12 ED 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 76 05 01 6B 09 F6 01 46 46 29 0D 8D 01 49 46 05 01 00 10 F6 01 46 20 10 F6 01 46 00 10 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
power,117,,0,17 - 0,,Protocol ID,Fixed Data,,,,,
setup,187,,1,08 - 1,,,,,,,,
menu,185,,2,09 - 2,,,,,,,,
mute,182,,3,10 - 3,,,,,,,,
display,057,,4,11 - 4,,,,,,,,
title,248,,5,12 - 5,,,,,,,,
sub-t,250,,6,13 - 6,,,,,,,,
audio,056,,7,14 - 7,,,,,,,,
1,249,,8,15 - 8,,,,,,,,
2,251,,9,16 - 9,,,,,,,,
3,121,,vol up,,,,,,,,,
4,120,,vol down,,,,,,,,,
5,122,,mute,03 - mute,,,,,,,,
6,119,,channel up,,,,,,,,,
7,118,,channel down,,,,,,,,,
8,036,,power,00 - power,,,,,,,,
9,165,,enter,18 - +10,,,,,,,,
0,037,,tv/vid,19 - shift,,,,,,,,
+10,180,,prev,,,,,,,,,
shift,181,,menu,02 - menu,,,,,,,,
slow,183,,guide,01 - setup,,,,,,,,
pause/step,184,,up arrow,32 - up,,,,,,,,
stop,100,,down arrow,33 - down,,,,,,,,
play,040,,left arrow,34 - left,,,,,,,,
rewind,055,,right arrow,35 - right,,,,,,,,
forward,246,,select,36 - enter,,,,,,,,
previous,054,,sleep,,,,,,,,,
next,247,,pip,,,,,,,,,
repeat,244,,info,04 - display,,,,,,,,
a-b,116,,swap,,,,,,,,,
mark,058,,move,,,,,,,,,
prgm,052,,play,23 - play,,,,,,,,
up,129,,pause,21 - pause/step,,,,,,,,
down,188,,rewind,24 - rewind,,,,,,,,
left,127,,fwd,25 - forward,,,,,,,,
right,044,,stop,22 - stop,,,,,,,,
enter,126,,record,20 - slow,,,,,,,,
angle,001,,exit,,,,,,,,,
zoom,003,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,27 - next,,,,,,,,
,,,f rew,26 - previous,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
