Name:,AD-1130W,,,,v8.01,,,,,,,CURRENT DATA
Devices:,NEC1,4,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1130,02 = URC-7800 / 6800,06 - DVD,OBC,USE,,,,,,,
URC-7800 / 6800 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 24 6A (DVD/1130),,,,,,,,,,,,
5A 00 BE FE FE F1 00 DF DF A7 77 8F 0F 57 B7 37 67 97 17 C7 E7 CF F7 47 D7 07 1F AD 47 DF BF FF 2F 47 8D 4F A5 F5 27 D5 45 65 C5,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 2C F3 24 6A 75,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,230,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,026,,0,00 - num 0,Zero,Protocol ID,Fixed Data,,,,,
num 1,017,,1,01 - num 1,One,,,,,,,
num 2,014,,2,02 - num 2,Two,,,,,,,
num 3,015,,3,03 - num 3,Three,,,,,,,
num 4,021,,4,04 - num 4,Four,,,,,,,
num 5,018,,5,05 - num 5,Five,,,,,,,
num 6,019,,6,06 - num 6,Six,,,,,,,
num 7,025,,7,07 - num 7,Seven,,,,,,,
num 8,022,,8,08 - num 8,Eight,,,,,,,
num 9,023,,9,09 - num 9,Nine,,,,,,,
vol up,,,vol up,,N/A,,,,,,,
vol down,,,vol down,,N/A,,,,,,,
mute,,,mute,,N/A,,,,,,,
channel up,028,,channel up,10 - channel up,Next Track,,,,,,,
channel down,024,,channel down,11 - channel down,Previous Track,,,,,,,
power,012,,power,12 - power,Power,,,,,,,
enter,029,,enter,13 - enter,Play/Select,,,,,,,
tv/vcr,002,,tv/vcr,14 - tv/vcr,Repeat,,,,,,,
last (prev ch),004,,prev ch,15 - last (prev ch),Goto,,,,,,,
menu,000,,menu,16 - menu,Menu,,,,,,,
program guide,027,,prog/guide,17 - program guide,Setup,,,,,,,
up arrow,084,,up arrow,18 - up arrow,Arrow Up,,,,,,,
down arrow,093,,down arrow,19 - down arrow,Arrow Down,,,,,,,
left arrow,089,,left arrow,20 - left arrow,Arrow Left,,,,,,,
right arrow,092,,right arrow,21 - right arrow,Arrow Right,,,,,,,
select,029,,select,22 - select,Play/Select,,,,,,,
sleep,,,sleep,,N/A,,,,,,,
pip on/off,090,,pip on/off,23 - pip on/off,Zoom,,,,,,,
display,078,,display,24 - display,Display,,,,,,,
pip swap,081,,pip swap,25 - pip swap,Subtitle,,,,,,,
pip move,080,,pip move,26 - pip move,Angle,,,,,,,
play,029,,play,27 - play,Play,,,,,,,
pause,007,,pause,28 - pause,Pause,,,,,,,
rewind,016,,rewind,29 - rewind,Rewind,,,,,,,
fast fwd,020,,fast fwd,30 - fast fwd,Fastforward,,,,,,,
stop,031,,stop,31 - stop,Stop,,,,,,,
record,074,,record,32 - record,Slow,,,,,,,
exit,013,,exit,33 - exit,Eject,,,,,,,
surround,011,,surround,34 - surround,Audio,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
