Name:,Apex ADV3800 DVD/VCR Combo,,,,v8.12,,,,,,,CURRENT DATA
Devices:,NEC1,1,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1061,99 = URC-6131 PVR,06 - DVD,EFC,USE,,,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 24 25 (DVD/1061),,,,,,,,,,,,
5A 00 BE FE F8 FE F9 00 7F 7F 7D 7F 6F 4F BF AF 8F 3F 2F 0F F5 B7 5F 27 27 1F DD DF 47 45 55 9D ED F5 B7 97 17 8D E7 37 0D 3D E5 CD 5D FF 15 D7 07 87,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,169,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,057,,2,02 - num 2,,,,,,,,
num 3,056,,3,03 - num 3,,,,,,,,
num 4,183,,4,04 - num 4,,,,,,,,
num 5,055,,5,05 - num 5,,,,,,,,
num 6,054,,6,06 - num 6,,,,,,,,
num 7,187,,7,07 - num 7,,,,,,,,
num 8,059,,8,08 - num 8,,,,,,,,
num 9,058,,9,09 - num 9,,,,,,,,
CH+ / Menu Up,101,,vol up,,,,,,,,,
Menu Left,118,,vol down,,,,,,,,,
CH- / Menu Down,119,,mute,,,,,,,,,
Menu Right,122,,channel up,10 - CH+ / Menu Up,,,,,,,,
Power,184,,channel down,12 - CH- / Menu Down,,,,,,,,
Eject,249,,power,14 - Power,,,,,,,,
Subtitle,245,,enter,33 - Enter,,,,,,,,
Step,229,,tv/vid,43 - TV/VCR,,,,,,,,
Angle,168,,prev,,,,,,,,,
Interlace/Progrsv,100,,menu,30 - Menu,,,,,,,,
Repeat,116,,guide,31 - Setup,,,,,,,,
Shuffle,120,,up arrow,10 - CH+ / Menu Up,,,,,,,,
Zoom,106,,down arrow,12 - CH- / Menu Down,,,,,,,,
AFF,121,,left arrow,11 - Menu Left,,,,,,,,
Repeat A-B,117,,right arrow,13 - Menu Right,,,,,,,,
Audio,036,,select,,,,,,,,,
Display,104,,angle/sleep,18 - Angle,,,,,,,,
VCR,246,,pip,,,,,,,,,
DVD,250,,info,26 - Display,,,,,,,,
Record,248,,swap,,,,,,,,,
Menu,166,,move,,,,,,,,,
Setup,038,,play,34 - Play/Pause,,,,,,,,
Title,039,,pause,34 - Play/Pause,,,,,,,,
Enter,123,,rewind,36 - Search Reverse,,,,,,,,
Play/Pause,251,,fast fwd,37 - Search Forward,,,,,,,,
Stop,180,,stop,35 - Stop,,,,,,,,
Search Reverse,186,,record,29 - Record,,,,,,,,
Search Forward,164,,exit,47 - Clear,,,,,,,,
Previous,171,,surround,,,,,,,,,
Next,042,,audio/CC,25 - Audio,,,,,,,,
Search,231,,+100,,,,,,,,,
Program,181,,fav/scan,,,,,,,,,
Speed,228,,device button,,,,,,,,,
TV/VCR,232,,advance,22 - Zoom,,,,,,,,
Counter/Clock,230,,replay,20 - Repeat,,,,,,,,
Input Select,234,,next track,39 - Next,,,,,,,,
100,041,,prev track,38 - Previous,,,,,,,,
Clear,037,,PVR menu,41 - Program,,,,,,,,
,,,subtitle,16 - Subtitle,,,,,,,,
,,,slow,17 - Step,,,,,,,,
,,,thumbs up,28 - DVD,,,,,,,,
,,,thumbs down,27 - VCR,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
