Name:,Apex 1225,,,,v8.16,,,,,,,CURRENT DATA
Devices:,NEC1,1,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2000,99 = 15-2117 / 15-2116,06 - DVD,OBC,USE,00 7F 7F,1,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 D0 (DVD/2000),,,,,,,,,,,,
5A 00 FE FE FD 00 7F 7F 7D 7F 6F 4F BF AF 8F 3F 2F 0F 75 B5 4D 0D 3D 5F 37 DF 1F DD 25 9D F5 B7 97 17 37 8D 15 65 55 ED,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 38 F3 27 D0 D7 27 F3 27 D0 57 10 F3 27 D0 FF 2F F3 27 D0 6D 28 F3 27 D0 BD B8 F3 27 D0 F7 8E F3 27 D0 67,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,065,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,,,,,,,,
num 2,009,,2,02 - num 2,,,,,,,,
num 3,013,,3,03 - num 3,,,,,,,,
num 4,002,,4,04 - num 4,,,,,,,,
num 5,010,,5,05 - num 5,,,,,,,,
num 6,014,,6,06 - num 6,,,,,,,,
num 7,003,,7,07 - num 7,,,,,,,,
num 8,011,,8,08 - num 8,,,,,,,,
num 9,015,,9,09 - num 9,,,,,,,,
vol up,081,,vol up,10 - vol up,,,,,,,,
vol down,082,,vol down,11 - vol down,,,,,,,,
mute,077,,mute,12 - mute,,,,,,,,
,,,channel up,26 - skip forward,,,,,,,,
,,,channel down,25 - skip back,,,,,,,,
power,005,,power,13 - power,,,,,,,,
menu,070,,enter,15 - display,,,,,,,,
,,,tv/video,43 - clear,,,,,,,,
display,085,,last,39 - repeat,,,,,,,,40 - a-b repeat
,,,menu,14 - menu,,,,,,,,
up arrow,080,,guide,35 - setup,,,,,,,,
down arrow,018,,up arrow,16 - up arrow,,,,,,,,
left arrow,022,,down arrow,17 - down arrow,,,,,,,,
right arrow,023,,left arrow,18 - left arrow,,,,,,,,
,,,right arrow,19 - right arrow,,,,,,,,
enter/play,019,,select,20 - enter/play,,,,,,,,
,,,sleep,,,,,,,,,
,,,pip,,,,,,,,,
,,,info,34 - zoom,,,,,,,,
,,,swap,41 - shuffle,,,,,,,,
pause,091,,move,,,,,,,,,
Rev,007,,play,20 - enter/play,,,,,,,,
fwd,068,,pause,21 - pause,,,,,,,,
stop,004,,rewind,22 - Rev,,,,,,,,
,,,fast fwd,23 - fwd,,,,,,,,
skip back,067,,stop,24 - stop,,,,,,,,30 - eject
skip forward,079,,record,42 - program,,,,,,,,
10+,073,,exit,46 - resume,,,,,,,,
title,074,,surround,,,,,,,,,
AFF,028,,input,,,,,,,,,
,,,+100,27 - 10+,,,,,,,,
eject,025,,fav/scan,,,,,,,,,
slow,066,,device button,,,,,,,,,
step,086,,next track,,,,,,,,,
p/n,017,,prev track,,,,,,,,,
zoom,087,,shift-left,,,,,,,,,
setup,078,,shift-right,,,,,,,,,
audio,076,,freeze,31 - slow,,,,,,,,
sub-t,024,,slow,,,,,,,,,
angle,069,,eject,,,,,,,,,
repeat,020,,slow+,,,,,,,,,
a-b repeat,016,,slow-,,,,,,,,,
shuffle,021,,x2,,,,,,,,,
program,000,,center,,,,,,,,,
clear,072,,rear,,,,,,,,,
goto,012,,phantom1,,,,,,,,,
kodak t.e.,006,,phantom2,,,,,,,,,
