Name:,SONY RM-1271,,,,v8.02,,,,,,,CURRENT DATA
Devices:,Sony 12/15,84,82,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,57,NO,,,,,,,
Setup:,1271,02 = URC-7800 / 6800,02 - TV,EFC,USE,,,,,,,
URC-7800 / 6800 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 14 F7 (TV/1271),,,,,,,,,,,,
CA 00 FE FE FF 2A 4A C0 1A 6A 32 B2 72 F2 0A 8A CA 4A 48 C8 28 18 98 74 7A DE 8C 54 94 92 7A E2 F4 A4 D4 12 4C AC 6C 2C CC,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 26 F3 14 F7 52 27 F3 14 F7 D2 2F F3 14 F7 7E 30 F3 14 F7 82 35 F3 14 F7 42 36 F3 14 F7 C2 88 F3 14 F7 24 86 F3 14 F7 78 87 F3 14 F7 F8 93 F3 14 F7 3E AB F3 14 F7 64 AC F3 14 F7 34 AF F3 14 F7 BE B0 F3 14 F7 22 B5 F3 14 F7 A2 B6 F3 14 F7 62,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 CA (S3C8),,,,,,,,,,,,
3A 8A 31 8B 14 F5 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 00 03 08 05 76 06 01 6B 04 20 01 10 C0 10 C0 FB 03 E6 12 08 8D 01 36,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,230,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Memory,225,,0,50 - Blanking,,Protocol ID,Fixed Data,,,,,
Enter,225,,1,61 - Zone,,,,,,,,
Status on,239,,2,55 - Size,,,,,,,,
Status off,241,,3,56 - Linearity,,,,,,,,
Secam,237,,4,57 - Skew,,,,,,,,
Clear Blue,114,,5,58 - Bow,,,,,,,,
RGB Size,029,,6,59 - Keystone,,,,,,,,
Shift,162,,7,60 - Pin Cushion,,,,,,,,
Center Red,158,,8,51 - Bias,,,,,,,,
Center Blue,156,,9,52 - Gain,,,,,,,,
Center Green,160,,vol up,42 - Volume +,,,,,,,,
Up Arrow,047,,vol down,43 - Volume -,,,,,,,,
Down Arrow,049,,mute,21 - Audio Mute,,,,,,,,20 - Pic Mute
Right Arrow,044,,channel up,40 - Contrast +,,,,,,,,36 - Brightness +
Left Arrow,051,,channel down,41 - Contrast -,,,,,,,,37 - Brightness -
Video Input,112,,power,23 - Power On,,,,,,,,
Input A,108,,enter,01 - Enter,,,,,,,,
Input B,115,,tv/vcr,15 - Video Input,,,,,,,,
Page,110,,prev ch,19 - Reset,,,,,,,,64 - Right and Left Arrows Togeater
Reset,188,,menu,18 - Page,,,,,,,,
Pic Mute,243,,prog/guide,63 - Position -,,,,,,,,
Audio Mute,083,,up arrow,11 - Up Arrow,,,,,,,,
Power Off,109,,down arrow,12 - Down Arrow,,,,,,,,
Power On,113,,left arrow,14 - Left Arrow,,,,,,,,
Switcher 1,144,,right arrow,13 - Right Arrow,,,,,,,,
Switcher 2,140,,select,00 - Memory,,,,,,,,
Switcher 3,147,,sleep,62 - Position +,,,,,,,,
Switcher 4,143,,pip on/off,02 - Status on,,,,,,,,03 - Status off
Switcher 5,145,,display,06 - RGB Size,,,,,,,,
Switcher 6,141,,pip swap,16 - Input A,,,,,,,,17 - Input B
Switcher 7,082,,pip move,07 - Shift,,,,,,,,
Switcher 8,078,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
Hue +,242,,fast fwd,,,,,,,,,
Hue -,238,,stop,,,,,,,,,
Sharp +,240,,record,,,,,,,,,
Sharp -,236,,exit,22 - Power Off,,,,,,,,
Brightness +,209,,surround,08 - Center Red,,,,,,,,
Brightness -,205,,input,,,,,,,,,
Color +,208,,+100,,,,,,,,,
Color -,204,,fav/scan,,,,,,,,,
Contrast +,210,,device button,,,,,,,,,
Contrast -,206,,next track,,,,,,,,,
Volume +,080,,prev track,,,,,,,,,
Volume -,076,,shift-left,,,,,,,,,
Cutoff Red,035,,shift-right,,,,,,,,,
Cutoff Green,031,,pip freeze,,,,,,,,,
Cutoff Blue,033,,slow,,,,,,,,,
Adjust Red,030,,eject,,,,,,,,,
Adjust Green,032,,slow+,,,,,,,,,
Adjust Blue,028,,slow-,,,,,,,,,
Blanking,226,,x2,,,,,,,,,
Bias,092,,center,,,,,,,,,
Gain,096,,rear,,,,,,,,,
Test,193,,phantom1,,,,,,,,,
Normal,191,,phantom2,,,,,,,,,
Size,163,,phantom3,,,,,,,,,
Linearity,159,,phantom4,,,,,,,,,
Skew,161,,discreteON,,,,,,,,,
Bow,157,,discreteOFF,,,,,,,,,
Keystone,098,,phantom7,,,,,,,,,
Pin Cushion,094,,phantom8,,,,,,,,,
Zone,097,,phantom9,,,,,,,,,
Position +,046,,phantom10,,,,,,,,,
Position -,048,,setup,,,,,,,,,
Right and Left Arrows Togeater,195,,light,,,,,,,,,
Index 1,254,,theater,,,,,,,,,
Index 2,248,,macro1,10 - Center Green,,,,,,,,
Index 3,252,,macro2,09 - Center Blue,,,,,,,,
Index 4,251,,macro3,,,,,,,,,
Index 5,255,,macro4,,,,,,,,,
Index 6,249,,1L,53 - Test,,,,,,,,54 - Normal
Index 7,245,,2L,47 - Adjust Red,,,,,,,,44 - Cutoff Red
Index 8,130,,3L,48 - Adjust Green,,,,,,,,45 - Cutoff Green
Index 9,126,,4L,49 - Adjust Blue,,,,,,,,46 - Cutoff Blue
Index Second / 0 (All),250,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
