Name:,3M Projectors,,,,v8.20,,,,,,,CURRENT DATA
Devices:,NEC1,80,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0737,01 = 15-1994,02 - TV,OBC,USE,00 F5 F5,1,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 12 E1 (TV/0737),,,,,,,,,,,,
5A 00 FE BE DD 00 F5 F5 00 00 F8 00 38 05 78 00 B8 00 B7 57 2F F1 71 17 37 FB A3 29 8D 35 45 C5 05 2D D9 99 59 FD,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Mute,011,,0,,,Protocol ID,Fixed Data,,,,,
vol+,018,,1,,,,,,,,,
RGB,019,,2,22 - Mouse Up,,,,,,,,
vol-,021,,3,,,,,,,,,
Power,023,,4,25 - Mouse Left,,,,,,,,
VIDEO,032,,5,13 - ok,,,,,,,,
Blank Screen,058,,6,23 - Mouse Right,,,,,,,,
Reset / Right Mouse,064,,7,,,,,,,,,
Timer,075,,8,24 - Mouse Down,,,,,,,,
Arrow Up,078,,9,,,,,,,,,
Arrow Down,083,,vol up,01 - vol+,,,,,,,,
Arrow Right,092,,vol down,03 - vol-,,,,,,,,
Arrow Left,093,,mute,00 - mute,,,,,,,,
ok,095,,channel up,18 - Zoom +,,,,,,,,
Magnify Off,100,,channel down,19 - Zoom -,,,,,,,,
Magnify+,101,,power,04 - power,,,,,,,,
Magnify-,102,,enter,02 - RGB,,,,,,,,
Menu,107,,tv/vcr,05 - VIDEO,,,,,,,,
Zoom +,112,,last,06 - Blank Screen,,,,,,,,
Zoom -,113,,menu,17 - menu,,,,,,,,
Focus +,114,,program / guide,,,,,,,,,
Focus -,115,,up arrow,09 - arrow up,,,,,,,,
Mouse Up,224,,down arrow,10 - arrow down,,,,,,,,
Mouse Right,225,,left arrow,12 - arrow left,,,,,,,,
Mouse Down,226,,right arrow,11 - arrow right,,,,,,,,
Mouse Left,227,,select,13 - ok,,,,,,,,
,,,sleep,08 - Timer,,,,,,,,
,,,pip,14 - Magnify Off,,,,,,,,
,,,display,,,,,,,,,
,,,swap,16 - Magnify-,,,,,,,,
,,,move,15 - Magnify+,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fast fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,exit,07 - Reset / Right Mouse,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
