Name:,Electrohome Marquee 8500 CRT projector,,,,v9.07,,,,,,,CURRENT DATA
Devices:,Manual Settings,,,,BF BE,,,,,,,
Manual:,0084,0 = 1-byte,LSB,87,NO,,,,,,,
Setup:,1761,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,EFC,USE,BF BE,1,No,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 06 E1 (TV/1761) Electrohome Marquee 8500 CRT projector (KM v9.07),,,,,,,,,,,,
84 00 DE FC 8D BF BE E0 E6 A6 C6 8A CA AA 9A DA BA D8 D8 A0 80 90 B0 86 B4 BC EC CC E4 C0 84 D0 FA,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 00 84 (S3C8+) Custom Protocol for TV/1761 Electrohome Marquee 8500 CRT projector (KM v9.07),,,,,,,,,,,,
3B 7B 21 8B 14 84 85 90 18 00 07 00 BA 00 AB 00 BA 00 AB 4B 33 00 BA 03 96 76 03 01 6B 09 E6 0E 09 E6 0F 09 F6 01 55 E4 03 08 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,013,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,253,,1,01 - 1,,,,,,,,
2,255,,2,02 - 2,,,,,,,,
3,252,,3,03 - 3,,,,,,,,
4,094,,4,04 - 4,,,,,,,,
5,092,,5,05 - 5,,,,,,,,
6,095,,6,06 - 6,,,,,,,,
7,222,,7,07 - 7,,,,,,,,
8,220,,8,08 - 8,,,,,,,,
9,223,,9,09 - 9,,,,,,,,
# (hash),221,,vol up,34 - Volume,,,,,,,,
* (star),143,,vol down,34 - Volume,,,,,,,,
Back / Recall,254,,mute,26 - mute,,,,,,,,
Brightness,207,,channel up,,,,,,,,,
Color,077,,channel down,,,,,,,,,
Contrast,205,,power,28 - power,,,,,,,,
Convergence,206,,enter,10 - # (hash),,,,,,,,
Detail,076,,tv/vid,11 - * (star),,,,,,,,
Enter,237,,prev,12 - Back / Recall,,,,,,,,
Exit,238,,menu,27 - Picture Menu,,,,,,,,
Geometry,078,,guide,33 - Utilities Menu,,,,,,,,
Help,093,,up arrow,25 - Menu Up,,,,,,,,
Menu Down,175,,down arrow,22 - Menu Down,,,,,,,,
Menu Left,045,,left arrow,23 - Menu Left,,,,,,,,
Menu Right,044,,right arrow,24 - Menu Right,,,,,,,,
Menu Up,111,,select,18 - Enter,,,,,,,,
Mute,015,,sleep,31 - Standby,,,,,,,,
Picture Menu,142,,pip,,,,,,,,,
Power,014,,info,,,,,,,,,
Projector,141,,swap,,,,,,,,,
Source,158,,move,,,,,,,,,
Standby,012,,play,,,,,,,,,
Tint,079,,pause,,,,,,,,,
Utilities Menu,140,,rewind,,,,,,,,,
Volume,204,,fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,exit,19 - exit,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,,,,,,,,,
,,,f rew,,,,,,,,,
,,,com/skip,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 84 (S3C8+) ,,,,,,,,,,,,,
3B 7B 21 8B 14 84 85 90 18 00 07 00 BA 00 AB 00 ,,,,,,,,,,,,,
BA 00 AB 4B 33 00 BA 03 96 76 03 01 6B 09 E6 0E ,,,,,,,,,,,,,
09 E6 0F 09 F6 01 55 E4 03 08 8D 01 46 ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
