Name:,Christie LWU505,,,,v9.22,,,,,,,,CURRENT DATA
Devices:,NEC1,51,0,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0372,99 = RCA RCRP05B,02 - TV,OBC,USE,20 33 FF,1,No,,,,,
RCA RCRP05B Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 11 74 (TV/0372) Christie LWU505 (KM v9.22),,,,,,,,,,,,,
00 5A 00 DE FA 00 44 CE 39 20 33 FF 2D 3D EE 63 FD 25 9F 1D AD 97 47 87 4E 77 C7 5F CE 4E 87 47 0F E3 1F F7 2E 97 DE AE BE 4F 9D A7 CF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.22),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,439,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
ON,017,,0,27 - num 0 / FOCUS -,,Protocol ID,Fixed Data,,,,,,1F
STAND-BY,016,,1,17 - num 1 / FREEZE,,,,,,,,,15
SHUTTER,139,,2,18 - num 2 / D. ZOOM,,,,,,,,,16
INPUT,005,,3,19 - num 3 / INPUT 2,,,,,,,,,17
MENU,028,,4,20 - num 4 / LENS SHIFT,,,,,,,,,19
AUTO PC,137,,5,21 - num 5 / KEYSTONE,,,,,,,,,1A
CURSOR UP,140,,6,22 - num 6 / INPUT 3,,,,,,,,,1B
CURSOR LEFT / VOLUME –,030,,7,23 - num 7 / ZOOM +,,,,,,,,,1C
SELECT / JOYSTICK,015,,8,24 - num 8 / FOCUS +,,,,,,,,,1D
CURSOR RIGHT / VOLUME +,029,,9,25 - num 9 / INFORMATION,,,,,,,,,1E
CURSOR DOWN / MUTE,141,,vol up,09 - CURSOR RIGHT / VOLUME +,,,,,,,,,04
P-TIMER,138,,vol down,07 - CURSOR LEFT / VOLUME –,,,,,,,,,05
POINTER,132,,mute,10 - CURSOR DOWN / MUTE,,,,,,,,,33
SCREEN,130,,channel up,,,,,,,,,,06
IMAGE SELECT,013,,channel down,,,,,,,,,,07
IMAGE ADJUST,012,,power,00 - ON,,,,,,,,,03
INPUT 1,056,,,,,,,,,,,,
num 1 / FREEZE,067,,,,,,,,,,,,
num 2 / D. ZOOM,136,,last,16 - INPUT 1,,,,,,,,,08
num 3 / INPUT 2,057,,menu,04 - MENU,,,,,,,,,2E
num 4 / LENS SHIFT,064,,guide,12 - POINTER,,,,,,,,,21
num 5 / KEYSTONE,091,,up arrow,06 - CURSOR UP,,,,,,,,,29
num 6 / INPUT 3,006,,down arrow,10 - CURSOR DOWN / MUTE,,,,,,,,,2A
num 7 / ZOOM +,071,,left arrow,07 - CURSOR LEFT / VOLUME –,,,,,,,,,2B
num 8 / FOCUS +,074,,right arrow,09 - CURSOR RIGHT / VOLUME +,,,,,,,,,2C
num 9 / INFORMATION,022,,ok,08 - SELECT / JOYSTICK,,,,,,,,,2D
ZOOM -,070,,,,,,,,,,,,
num 0 / FOCUS -,075,,pip on/off,29 - PIP,,,,,,,,,38
FILTER,026,,info,25 - num 9 / INFORMATION,,,,,,,,,13
PIP,007,,pip swap,,,,,,,,,,39
,,,pip move,,,,,,,,,,3A
,,,play,,,,,,,,,,0C
,,,pause,,,,,,,,,,0F
,,,rewind,,,,,,,,,,0B
,,,fast fwd,,,,,,,,,,0D
,,,stop,01 - STAND-BY,,,,,,,,,0E
,,,record,,,,,,,,,,10
,,,exit,,,,,,,,,,14
,,,,,,,,,,,,,
,,,input,03 - INPUT,,,,,,,,,30
,,,dash,26 - ZOOM -,,,,,,,,,20
,,,fav,,,,,,,,,,22
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3F
,,,phantomF1,,,,,,,,,,F1
,,,phantomF2,,,,,,,,,,F2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,macro1,,,,,,,,,,34
,,,macro2,,,,,,,,,,36
,,,on demand,,,,,,,,,,35
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,pip channel up,,,,,,,,,,3B
,,,pip channel down,,,,,,,,,,3C
,,,page up,,,,,,,,,,23
,,,page down,,,,,,,,,,24
,,,day+,,,,,,,,,,31
,,,day-,,,,,,,,,,32
,,,A/yellow,11 - P-TIMER,,,,,,,,,25
,,,B/blue,13 - SCREEN,,,,,,,,,26
,,,C/red,14 - IMAGE SELECT,,,,,,,,,27
,,,D/green,15 - IMAGE ADJUST,,,,,,,,,3D
,,,list,,,,,,,,,,28
,,,skip back,,,,,,,,,,37
