Name:,Sharp Projector PG-B10S,,,,v8.24,,,,,,,CURRENT DATA
Devices:,Sharp,13,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,58,NO,,,,,,,
Setup:,0810,06 = URC-7560 / 7562,02 - TV,EFC,USE,4C,1,,,,,
URC-7560 / 7562 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 13 2A (TV/0810) Sharp Projector PG-B10S (KM v8.24),,,,,,,,,,,,
1C 00 F6 BE 76 81 4C 7A AC 4C CC 00 00 00 00 00 00 28 E3 EA B6 B5 6A 5F 96 23 39 B9 0A F2 EA 69 F5 75 B1 D1 9A,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 1C (S3C8+) Sharp (KM v8.24),,,,,,,,,,,,
3D 92 11 8B 16 49 05 08 00 84 01 75 00 84 03 87 83 C2 00 00 00 00 00 00 03 5F A0 0C 05 76 03 01 6B 0D E4 25 1C E4 26 1D 0C 03 09 12 E6 24 02 18 03 90 C1 0A FC 19 05 B0 C6 60 04 60 05 F6 01 46 60 C6 EB F5 F6 01 0A 7B EE AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
RESIZE,225,,0,00 - RESIZE,,Protocol ID,Fixed Data,RESIZE,,,,
INPUT 1,047,,1,01 - INPUT 1,,,,INPUT 1,,,,
INPUT 2,048,,2,02 - INPUT 2,,,,INPUT 2,,,,
INPUT 3,044,,3,03 - INPUT 3,,,,INPUT 3,,,,
NUM 4,,,4,,,,,VOL +,,,,
num 5,,,5,,,,,VOL -,,,,
num 6,,,6,,,,,AV MUTE,,,,
num 7,,,7,,,,,ENLARGE +,,,,
num 8,,,8,,,,,ENLARGE -,,,,
num 9,,,9,,,,,ON,,,,
VOL +,083,,vol up,04 - VOL +,,,,MENU,,,,
VOL -,021,,vol down,05 - VOL -,,,,up arrow,,,,
AV MUTE,126,,mute,15 - ENTER,,,,down arrow,,,,
ENLARGE +,127,,channel up,07 - ENLARGE +,,,,left arrow,,,,
ENLARGE -,103,,channel down,08 - ENLARGE -,,,,right arrow,,,,
ON,097,,power,09 - ON,,,,ENTER,,,,
MENU,027,,auto,22 - UNDO,,,,KEYSTONE,,,,
program/guide,,,tv/vcr,,,,,FREEZE,,,,
display/info,,,prev ch,,,,,BACK,,,,
exit,,,menu,10 - MENU,,,,FORWARD,,,,
up arrow,203,,guide,,,,,STANDBY,,,,
down arrow,199,,up arrow,11 - up arrow,,,,AUTO SYNC,,,,
left arrow,098,,down arrow,12 - down arrow,,,,UNDO,,,,
right arrow,157,,left arrow,13 - left arrow,,,,,,,,
ENTER,093,,right arrow,14 - right arrow,,,,,,,,
enter,,,enter,15 - ENTER,,,,,,,,
KEYSTONE,132,,sleep,,,,,,,,,
last/prev ch,,,pip on/off,,,,,,,,,
sleep,,,display,,,,,,,,,
play,,,pip swap,,,,,,,,,
FREEZE,135,,pip move,,,,,,,,,
BACK,101,,play,,,,,,,,,
FORWARD,105,,pause,17 - FREEZE,,,,,,,,
STANDBY,073,,rewind,18 - BACK,,,,,,,,
record,,,fast fwd,19 - FORWARD,,,,,,,,
f.fwd/next track,,,stop,20 - STANDBY,,,,,,,,
f.rew/prev track,,,record,,,,,,,,,
AUTO SYNC,184,,exit,,,,,,,,,
UNDO,222,,surround,,,,,,,,,
pip swap,,,av,06 - AV MUTE,,,,,,,,
pip move,,,+10,21 - AUTO SYNC,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
