Name:,Seagate Theater +,,,,v9.18,,,,,,,,CURRENT DATA
Devices:,NEC1,134,226,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2007,27 = URC-9910 / 8910 / UEI HTPro,14 - Video Acc,EFC,USE,20 9E B8,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 87 D7 (Video Acc/2007) Seagate Theater + (KM v9.18),,,,,,,,,,,,,
5A 00 7E FE DE 81 20 9E B8 B3 33 65 53 EF E3 27 1D FD 7D 1F 9F 8F A7 63 27 F3 73 0D 0D B5 75 D5,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.18),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,,,0,,,Protocol ID,Fixed Data,,,,,,1F
num 1,,,1,,,,,,,,,,15
num 2,,,2,,,,,,,,,,16
num 3,,,3,,,,,,,,,,17
num 4,,,4,,,,,,,,,,19
num 5,,,5,,,,,,,,,,1A
num 6,,,6,,,,,,,,,,1B
num 7,,,7,,,,,,,,,,1C
num 8,,,8,,,,,,,,,,1D
num 9,,,9,,,,,,,,,,1E
vol up,151,,vol up,00 - vol up,,,,,,,,,04
vol down,155,,vol down,01 - vol down,,,,,,,,,05
mute,233,,mute,02 - mute,,,,,,,,,08
channel up,,,channel up,19 - zoom +,,,,,,,,,06
channel down,,,channel down,20 - zoom -,,,,,,,,,07
power,021,,power,03 - power,,,,,,,,,03
sleep,,,enter,,,,,,,,,,18
enter,,,tv/vid,,,,,,,,,,20
+100,,,prev,06 - exit,,,,,,,,,38
prev ch/last,,,menu,04 - menu,,,,,,,,,14
fav,,,guide,21 - home,,,,,,,,,36
tv/vcr,,,up arrow,07 - up arrow,,,,,,,,,31
input,,,down arrow,08 - down arrow,,,,,,,,,32
option,,,left arrow,09 - left arrow,,,,,,,,,33
menu,247,,right arrow,10 - right arrow,,,,,,,,,34
guide,,,select,11 - ok/select,,,,,,,,,35
info/display,170,,sleep,,,,,,,,,,30
exit,251,,pip,,,,,,,,,,3A
up arrow,165,,info,05 - info/display,,,,,,,,,13
down arrow,169,,swap,,,,,,,,,,3C
left arrow,186,,move,,,,,,,,,,3B
right arrow,182,,play,12 - play,,,,,,,,,0C
ok/select,054,,pause,13 - pause,,,,,,,,,0F
yellow/A,,,rewind,14 - rewind,,,,,,,,,0B
blue/B,,,fwd,15 - fast fwd,,,,,,,,,0D
red/C,,,stop,16 - stop,,,,,,,,,0E
green/D,,,record,,,,,,,,,,10
page up,,,exit,06 - exit,,,,,,,,,37
page down,,,,,,,,,,,,,
day+,,,,,,,,,,,,,
day-,,,,,,,,,,,,,
play,042,,,,,,,,,,,,
pause,042,,,,,,,,,,,,
rewind,103,,f fwd,17 - skip+/next+,,,,,,,,,2A
fast fwd,105,,f rew,18 - skip-/next-,,,,,,,,,29
stop,100,,,,,,,,,,,,
record,,,,,,,,,,,,,
skip+/next+,149,,,,,,,,,,,,
skip-/next-,153,,,,,,,,,,,,
list/PVR menu,,,,,,,,,,,,,
replay,,,,,,,,,,,,,
advance/jump,,,,,,,,,,,,,
live TV,,,,,,,,,,,,,
thumbs up,,,,,,,,,,,,,
thumbs down,,,,,,,,,,,,,
open-close/eject,,,phantom1,,,,,,,,,,3D
pip on/off,,,phantom2,,,,,,,,,,3E
pip swap,,,phantom3,,,,,,,,,,3F
pip move,,,,,,,,,,,,,
pip freeze,,,,,,,,,,,,,
pip channel up,,,,,,,,,,,,,
pip channel down,,,,,,,,,,,,,
caption,,,,,,,,,,,,,
aspect,,,,,,,,,,,,,
zoom +,152,,,,,,,,,,,,
zoom -,053,,setup,,,,,,,,,,02
home,025,,light,,,,,,,,,,39
,,,home theater,,,,,,,,,,24
,,,M1,,,,,,,,,,2D
,,,M2,,,,,,,,,,2E
,,,M3,,,,,,,,,,2F
,,,,,,,,,,,,,
,,,L1,,,,,,,,,,25
,,,L2,,,,,,,,,,26
,,,L3,,,,,,,,,,27
,,,L4,,,,,,,,,,28
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,com/skip,,,,,,,,,,2B
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
