Name:,XMS 007 DVB,,,,v8.06,,,,,,,CURRENT DATA
Devices:,NEC1,8,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1007,27 = URC-9910 / 8910,07 - SAT,EFC,USE,,,,,,,
URC-9910 / 8910 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 73 EF (SAT/1007),,,,,,,,,,,,
5A 03 7E FE 28 2F 00 EF EF D7 37 2F 77 B7 AF 4F F7 77 B7 37 D7 57 8F E7 97 CF 7B 57 A7 07 87,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 25 F3 73 EF 87 26 F3 73 EF 7B 27 F3 73 EF C7 28 F3 73 EF 47,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,181,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,183,,2,02 - num 2,,,,,,,,
num 3,187,,3,03 - num 3,,,,,,,,
num 4,180,,4,04 - num 4,,,,,,,,
num 5,184,,5,05 - num 5,,,,,,,,
num 6,182,,6,06 - num 6,,,,,,,,
num 7,186,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol up,116,,vol up,10 - vol up,,,,,,,,
vol down,123,,vol down,11 - vol down,,,,,,,,
mute,059,,mute,12 - mute,,,,,,,,
channel up,121,,channel up,13 - channel up,,,,,,,,
channel down,119,,channel down,14 - channel down,,,,,,,,
power,055,,power,15 - power,,,,,,,,
enter,120,,enter,16 - enter,,,,,,,,
tv/vcr,052,,tv/vid,17 - tv/vcr,,,,,,,,
last (prev ch),056,,prev,18 - last (prev ch),,,,,,,,
menu,054,,menu,19 - menu,,,,,,,,
program guide,245,,guide,20 - program guide,,,,,,,,
up arrow,121,,up arrow,21 - up arrow,,,,,,,,
down arrow,119,,down arrow,22 - down arrow,,,,,,,,
left arrow,123,,left arrow,23 - left arrow,,,,,,,,
right arrow,116,,right arrow,24 - right arrow,,,,,,,,
select,120,,select,25 - select,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,247,,pip,26 - pip on/off,,,,,,,,
display,117,,info,27 - display,,,,,,,,
pip swap,246,,swap,28 - pip swap,,,,,,,,
pip move,250,,move,29 - pip move,,,,,,,,
play,,,play,,,,,,,,,
pause,217,,pause,30 - pause,,,,,,,,
rewind,246,,rewind,,Teletext Red,,,,,,,
fast fwd,217,,fwd,,Teletext Green,,,,,,,
stop,244,,stop,,Teletext Yellow,,,,,,,
record,248,,record,,Teletext Blue,,,,,,,
exit,118,,exit,35 - exit,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,f fwd,,,,,,,,,
prev track,,,f rew,,,,,,,,,
shift-left,,,com/skip,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,pip freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
x2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
