Name:,Hyundai LCD 320WR,,,,v8.31,,,,,,,CURRENT DATA
Devices:,NEC1,69,22,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1849,24 = URC-881x / 801x / 601x,02 - TV,OBC,USE,20 5D 97,1,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 07 39 (TV/1849) Hyundai LCD 320WR (KM v8.31),,,,,,,,,,,,
5A 06 78 FA FD 20 5D 97 27 A7 07 E7 67 F7 67 A7 97 27 17 E7 17 87 D7 77 0F CB 0B,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 25 F3 07 39 4B«pip input» ¦26 F3 07 39 8B«pip size»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.31),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,,,,,,,,
num 2,002,,2,02 - num 2,,,,,,,,
num 3,003,,3,03 - num 3,,,,,,,,
num 4,004,,4,04 - num 4,,,,,,,,
num 5,005,,5,05 - num 5,,,,,,,,
num 6,006,,6,06 - num 6,,,,,,,,
num 7,007,,7,07 - num 7,,,,,,,,
num 8,008,,8,08 - num 8,,,,,,,,
num 9,009,,9,09 - num 9,,,,,,,,
vol up,027,,vol up,10 - vol up,,,,,,,,
vol down,026,,vol down,11 - vol down,,,,,,,,
mute,031,,mute,12 - mute,,,,,,,,
channel up,024,,channel up,13 - channel up,,,,,,,,
channel down,025,,channel down,14 - channel down,,,,,,,,
power,016,,power,15 - power,,,,,,,,
menu,022,,enter,21 - select,,,,,,,,
program/guide,,,tv/vid,22 - tv/vcr,,,,,,,,
display/info,,,prev,29 - Fav,,,,,,,,
exit,,,menu,16 - menu,,,,,,,,
up arrow,024,,guide,,,,,,,,,
down arrow,025,,up arrow,13 - channel up,,,,,,,,
left arrow,026,,down arrow,14 - channel down,,,,,,,,
right arrow,027,,left arrow,11 - vol down,,,,,,,,
select,023,,right arrow,10 - vol up,,,,,,,,
enter,,,select,21 - select,,,,,,,,
tv/vcr,020,,sleep,23 - sleep,,,,,,,,
last/prev ch,,,pip,24 - pip on/off,,,,,,,,
