Name:,TEAC DV-B420 STB,,,,v8.32,,,,,,,CURRENT DATA
Devices:,NEC1,4,250,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1100,27 = URC-9910 / 8910 / UEI HTPro,07 - SAT,OBC,USE,20 DF A0,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 74 4C (SAT/1100) TEAC DV-B420 STB (KM v8.32),,,,,,,,,,,,
5A 03 7E FE 36 2F 20 DF A0 57 37 27 B7 97 AF C7 8F B7 97 37 57 D7 77 17 2F A7 47 BD 87 7D 4F 07 F7,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 88 F3 74 4C 0F«Audio/Yellow» ¦B1 F3 74 4C CF«Page +» ¦B2 F3 74 4C E7«Page -» ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.32),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,,,,,,,,
num 2,002,,2,02 - num 2,,,,,,,,
num 3,003,,3,03 - num 3,,,,,,,,
num 4,004,,4,04 - num 4,,,,,,,,
num 5,005,,5,05 - num 5,,,,,,,,
num 6,006,,6,06 - num 6,,,,,,,,
num 7,007,,7,07 - num 7,,,,,,,,
num 8,008,,8,08 - num 8,,,,,,,,
num 9,009,,9,09 - num 9,,,,,,,,
vol up,021,,vol up,10 - vol up,,,,,,,,
vol down,019,,vol down,11 - vol down,,,,,,,,
mute,027,,mute,12 - mute,,,,,,,,32 - Audio/Yellow
channel up,018,,channel up,13 - channel up,,,,,,,,
channel down,022,,channel down,14 - channel down,,,,,,,,
power,010,,power,15 - power,,,,,,,,
menu,017,,enter,27 - Event,,,,,,,,
EPG/guide,023,,tv/vid,28 - TV/STB,,,,,,,,
exit,011,,prev,36 - Jump,,,,,,,,
up arrow,018,,menu,16 - menu,,,,,,,,
down arrow,022,,guide,17 - EPG/guide,,,,,,,,
left arrow,019,,up arrow,19 - up arrow,,,,,,,,34 - Page +
right arrow,021,,down arrow,20 - down arrow,,,,,,,,35 - Page -
OK,020,,left arrow,21 - left arrow,,,,,,,,
M-View,066,,right arrow,22 - right arrow,,,,,,,,
TV/Radio,030,,select,23 - OK,,,,,,,,
Aspect/Screen fit,031,,sleep,,,,,,,,,
Event,065,,pip,30 - Subtitle/Red,,,,,,,,
TV/STB,026,,info,31 - Info/Green,,,,,,,,
Teletext,029,,swap,33 - Previous Ch/Blue,,,,,,,,
Subtitle/Red,013,,move,26 - Aspect/Screen fit,,,,,,,,
Info/Green,014,,play,29 - Teletext,,,,,,,,
