Name:,Dgtec_DH2000A,,,,v8.17,,,,,,,CURRENT DATA
Devices:,Manual Settings,2,,,,,,,,,,
Manual:,016A,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1701,24 = URC-881x / 801x / 601x,07 - SAT,EFC,USE,BF,1,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 3E A5 (SAT/1701),,,,,,,,,,,,
6A 06 7E FE D9 BF 2F AF 77 CF 4F F7 4F 97 D7 B7 8F 67 0F CF 17 F5 A7 3D 37 57,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 6A (S3C8+),,,,,,,,,,,,
43 8B 11 8B 12 CF 4D 08 08 01 14 01 06 01 14 03 3F D2 E2 11 94 08 BA E4 04 05 60 05 20 10 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,181,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,183,,2,02 - num 2,,,,,,,,
num 3,187,,3,03 - num 3,,,,,,,,
num 4,180,,4,04 - num 4,,,,,,,,
num 5,184,,5,05 - num 5,,,,,,,,
num 6,182,,6,06 - num 6,,,,,,,,
num 7,186,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol up,059,,vol up,10 - vol up,,,,,,,,
vol down,055,,vol down,11 - vol down,,,,,,,,
mute,121,,mute,12 - mute,,,,,,,,
channel up,052,,channel up,13 - channel up,,,,,,,,
channel down,056,,channel down,14 - channel down,,,,,,,,
power,117,,power,15 - power,,,,,,,,
On (Discrete),171,,enter,17 - Off (Discrete),,,,,,,,
Off (Discrete),101,,tv/vid,16 - On (Discrete),,,,,,,,
select,058,,prev,26 - Prev.,,,,,,,,
menu,054,,menu,19 - menu,,,,,,,,
sleep,120,,guide,24 - Service List (S.L.),,,,,,,,
up arrow,052,,up arrow,21 - up arrow,,,,,,,,
down arrow,056,,down arrow,22 - down arrow,,,,,,,,
exit,118,,left arrow,27 - Freeze,,,,,,,,
,,,right arrow,28 - Wide,,,,,,,,
Service List (S.L.),116,,select,18 - select,,,,,,,,
Teletext (TTX.),123,,sleep,20 - sleep,,,,,,,,
Prev.,247,,pip,,,,,,,,,
Freeze,119,,info,29 - Display,,,,,,,,
Wide,249,,swap,,,,,,,,,
Display,122,,move,,,,,,,,,
ProLogic,245,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,exit,23 - exit,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,20,,,,,,,,
,,,f rew,25 - Teletext (TTX.),,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
