Name:,Hitachi HDTV Upgrade,,,,v7.53,,,,,,,CURRENT DATA
Devices:,NEC1,80,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1145,05 = RCU810,02 - TV,EFC,USE,,,,,,,
RCU810 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 34 68 (TV/1145),,,,,,,,,,,,
5A 10 32 2E F1 00 F5 F5 67 E7 17 AF 35 8B D9 F1 71 31 B1 6F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Num 0,052,,0,00 - Num 0,,Protocol ID,Fixed Data,,,,,
Num 1,056,,1,01 - Num 1,,,,,,,,
Num 2,054,,2,02 - Num 2,,,,,,,,
Num 3,058,,3,03 - Num 3,,,,,,,,
Num 4,244,,4,04 - Num 4,,,,,,,,
Num 5,248,,5,05 - Num 5,,,,,,,,
Num 6,246,,6,06 - Num 6,,,,,,,,
Num 7,250,,7,07 - Num 7,,,,,,,,
Num 8,180,,8,08 - Num 8,,,,,,,,
Num 9,184,,9,09 - Num 9,,,,,,,,
Channel Up,249,,vol up,,,,,,,,,
Channel Down,245,,vol down,,,,,,,,,
Power,122,,mute,,,,,,,,,
Input,057,,channel up,10 - Channel Up,,,,,,,,
Go Back,055,,channel down,11 - Channel Down,,,,,,,,
Menu,107,,on/off,12 - Power,,,,,,,,
Up Arrow,133,,enter,,,,,,,,,
Down Arrow,137,,tv/vcr,,,,,,,,,
Left Arrow,139,,go back,14 - Go Back,,,,,,,,
Right Arrow,135,,menu,15 - Menu,,,,,,,,
Select,086,,guide,,,,,,,,,
Clear,196,,up arrow,16 - Up Arrow,,,,,,,,
,,,down arrow,17 - Down Arrow,,,,,,,,
,,,left arrow,18 - Left Arrow,,,,,,,,
,,,right arrow,19 - Right Arrow,,,,,,,,
,,,select,20 - Select,,,,,,,,
,,,sleep,,,,,,,,,
,,,pip on/off,,,,,,,,,
,,,info,,,,,,,,,
,,,pip swap,,,,,,,,,
,,,pip move,,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fast fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,clear,21 - Clear,,,,,,,,
,,,surround,,,,,,,,,
,,,input,13 - Input,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
