Name:,Echostar DTV PAL,,,,v9.13,,,,,,,CURRENT DATA,
Devices:,Manual Settings,255,,,,,,,,,,,
Manual:,00F0,0 = 1-byte,MSB-COMP,55,NO,,,,,,,,
Setup:,2000,27 = URC-9910 / 8910 / UEI HTPro,07 - SAT,OBC,USE,00,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 77 D0 (SAT/2000) Echostar DTV PAL (KM v9.13),,,,,,,,,,,,,
F0 00 FE FE C0 27 00 88 20 28 30 40 48 50 60 68 70 C8 E8 A8 D0 D0 10 A0 00 D0 F0 E0 C0 80 58 B8 90 18 78 F8 B0 D8,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,,
Upgrade Protocol 0 = 00 F0 (S3C8+) Custom Protocol for SAT/2000 Echostar DTV PAL (KM v9.13),,,,,,,,,,,,,
28 60 11 8B 12 B4 41 05 05 00 C6 05 49 00 C6 08 63 12 1E 00 C6 12 1E 76 04 01 EB 06 46 28 01 46 29 08 8D 01 49,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,014,,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,027,,1,01 - 1,,,,,,,,,15
2,026,,2,02 - 2,,,,,,,,,16
3,025,,3,03 - 3,,,,,,,,,17
4,023,,4,04 - 4,,,,,,,,,19
5,022,,5,05 - 5,,,,,,,,,1A
6,021,,6,06 - 6,,,,,,,,,1B
7,019,,7,07 - 7,,,,,,,,,1C
8,018,,8,08 - 8,,,,,,,,,1D
9,017,,9,09 - 9,,,,,,,,,1E
analog pass-through,000,,vol up,28 - VOL+,,,,,,,,,04
cancel,013,,vol down,27 - VOL-,,,,,,,,,05
CC / Page Down,016,,mute,20 - mute,page down works in menus,,,,,,,,08
ch- / arrow down,001,,channel up,14 - ch+ / arrow up,,,,,,,,,06
ch+ / arrow up,005,,channel down,14 - ch+ / arrow up,,,,,,,,,07
Enter / Select,015,,power,22 - power,,,,,,,,,03
Guide,008,,enter,10 - analog pass-through,,,,,,,,,18
Info,031,,tv/vid,,,,,,,,,,20
Arrow Left / Search,003,,prev,23 - Prev,search brings up special screen,,,,,,,,38
Menu,020,,menu,19 - menu,,,,,,,,,14
Mute,010,,guide,16 - Guide,,,,,,,,,36
pic format / Page Up,028,,up arrow,14 - ch+ / arrow up,page up works in menus,,,,,,,,31
Power,029,,down arrow,13 - ch- / arrow down,,,,,,,,,32
Prev,011,,left arrow,18 - Arrow Left / Search,,,,,,,,,33
Arrow Right / Browse,007,,right arrow,24 - Arrow Right / Browse,browse brings up special screen,,,,,,,,34
system info,004,,select,15 - Enter / Select,,,,,,,,,35
view tv,009,,sleep,,,,,,,,,,30
VOL-,002,,pip,,,,,,,,,,3A
VOL+,006,,info,17 - Info,,,,,,,,,13
unknown 1,012,,swap,25 - system info,not used at this time,,,,,,,,3C
unknown 2,024,,move,26 - view tv,not used at this time,,,,,,,,3B
unknown 3,030,,play,,not used at this time,,,,,,,,0C
,,,pause,,,,,,,,,,0F
,,,rewind,,,,,,,,,,0B
