Name:,Next Level G2200,,,,v8.28,,,,,,,CURRENT DATA
Devices:,Manual Settings,3,0,,,,,,,,,
Manual:,1FF,0 = 1-byte,LSB,56,NO,,,,,,,
Setup:,2000,27 = URC-9910 / 8910 / UEI HTPro,01 - Cable,OBC,USE,C0 00,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 6F D0 (Cable/2000) Next Level G2200 (KM v8.28),,,,,,,,,,,,
FF 00 BE FE F6 A1 C0 00 24 F0 88 48 E8 98 D8 50 90 70 D0 08 60 18 E4 C4 04 B8 80 30 54 78 58 38 F8 94 28 68 A8 14 A0,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 FF (S3C8+) Custom Protocol for Cable/2000 Next Level G2200 (KM v8.28),,,,,,,,,,,,
3C 90 21 8B 12 F7 45 05 06 01 FB 05 C1 01 EE 01 E6 B1 BC 09 CD 05 C4 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,036,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,015,,1,01 - num 1,,,,,,,,
num 2,017,,2,02 - num 2,,,,,,,,
num 3,018,,3,03 - num 3,,,,,,,,
num 4,023,,4,04 - num 4,,,,,,,,
num 5,025,,5,05 - num 5,,,,,,,,
num 6,027,,6,06 - num 6,,,,,,,,
num 7,010,,7,07 - num 7,,,,,,,,
num 8,009,,8,08 - num 8,,,,,,,,
num 9,014,,9,09 - num 9,,,,,,,,
channel up,011,,vol up,,,,,,,,,
channel down,016,,vol down,,,,,,,,,
power,006,,mute,,,,,,,,,
