Name:,zenith tv,,,,v8.21,,,,,,,CURRENT DATA
Devices:,NEC1,4,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2019,99 = Atlas DVR,02 - TV,EFC,USE,00 DF DF,1,,,,,
Atlas DVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 07 E3 (TV/2019),,,,,,,,,,,,
5A 0F 7C FE 7E C1 00 DF DF BF 3F 6F FF 7F EF 7D 25 1F 3D 9F DD FD E6 4D 79 F9 B9 39 71 B1 A7 AF,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,227,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,117,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,121,,1,01 - num 1,,,,,,,,
num 2,119,,2,02 - num 2,,,,,,,,
num 3,123,,3,03 - num 3,,,,,,,,
num 4,116,,4,04 - num 4,,,,,,,,
num 5,120,,5,05 - num 5,,,,,,,,
num 6,118,,6,06 - num 6,,,,,,,,
num 7,122,,7,07 - num 7,,,,,,,,
num 8,245,,8,08 - num 8,,,,,,,,
num 9,249,,9,09 - num 9,,,,,,,,
vol up,183,,vol up,10 - vol up,,,,,,,,
vol down,187,,vol down,11 - vol down,,,,,,,,
mute,057,,mute,12 - mute,,,,,,,,
channel up,181,,channel up,13 - channel up,,,,,,,,
channel down,185,,channel down,14 - channel down,,,,,,,,
power,053,,power,15 - power,,,,,,,,
enter,164,,#/enter,32 - audio,,,,,,,,
arc,009,,video source,37 - comp/dvi,,,,,,,,
flashbk,247,,last,18 - flashbk,,,,,,,,
menu,171,,menu,19 - menu,,,,,,,,
position,199,,guide,,,,,,,,,
up arrow,165,,up arrow,21 - up arrow,,,,,,,,
down arrow,169,,down arrow,22 - down arrow,,,,,,,,
left arrow,186,,left arrow,23 - left arrow,,,,,,,,
right arrow,182,,right arrow,24 - right arrow,,,,,,,,
fcr,246,,select,16 - enter,,,,,,,,
sleep,054,,[*],39 - video,,,,,,,,
pip,197,,pip on/off,27 - pip,,,,,,,,
pip ch+,137,,info,,,,,,,,,
pip inp,201,,pip swap,30 - swap,,,,,,,,
swap,203,,pip move,20 - position,,,,,,,,
exit,235,,play,,,,,,,,,
audio,055,,pause,,,,,,,,,
still,200,,rewind,,,,,,,,,
tv/video,059,,fast fwd,,,,,,,,,
cc,025,,stop,,,,,,,,,
mts,055,,record,,,,,,,,,
comp/dvi,253,,exit,31 - exit,,,,,,,,
pip ch-,135,,A,,,,,,,,,
video,040,,B,,,,,exit,,,,
,,,C,,,,,,,,,
,,,fav,29 - pip inp,,,,,,,,
,,,settings,,,,,,,,,
,,,page up,,,,,,,,,
,,,page down,,,,,,,,,
,,,live,,,,,,,,,
,,,replay,,,,,,,,,
,,,list,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,pip ch up,28 - pip ch+,,,,,,,,
,,,pip ch down,38 - pip ch-,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
