Name:,Nokia 110T,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,pid: 00 BD,248,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB,81,NO,,,,,,,,
Setup:,1723,27 = URC-9910 / 8910 / UEI HTPro,07 - SAT,OBC,USE,1F,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 76 BB (SAT/1723) Nokia 110T (KM v9.19),,,,,,,,,,,,,
BD 00 AE FA 20 31 1F 80 C0 A0 E0 90 D0 B0 F0 88 C8 B8 F8 AA DA B8 F8 FA BA EA D5 AA F2 86 E6,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,,
Upgrade Protocol 0 = 00 BD (S3C8+) pid: 00 BD (KM v9.19),,,,,,,,,,,,,
3D 91 11 8B 19 87 84 90 20 08 01 00 F7 00 E3 00 F7 00 E3 1B 46 00 F7 04 C2 00 00 00 D6 F1 08 03 E4 04 03 09 04 B0 05 E6 06 BF E6 07 FF E6 08 80 E6 01 03 E6 10 05 F6 01 46 B0 01 E6 10 02 46 29 01 F6 01 46 E6 01 03 E6 10 05 56 29 FE 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,001,,0,00 - num 0,0,Protocol ID,Fixed Data,,,,,,1F
num 1,003,,1,01 - num 1,1,,,,,,,,15
num 2,005,,2,02 - num 2,2,,,,,,,,16
num 3,007,,3,03 - num 3,3,,,,,,,,17
num 4,009,,4,04 - num 4,4,,,,,,,,19
num 5,011,,5,05 - num 5,5,,,,,,,,1A
num 6,013,,6,06 - num 6,6,,,,,,,,1B
num 7,015,,7,07 - num 7,7,,,,,,,,1C
num 8,017,,8,08 - num 8,8,,,,,,,,1D
num 9,019,,9,09 - num 9,9,,,,,,,,1E
vol up,,,vol up,,,,,,,,,,04
vol down,,,vol down,,,,,,,,,,05
mute,057,,mute,,28,,,,,,,,08
channel up,,,channel up,13 - up arrow,,,,,,,,,06
channel down,,,channel down,14 - down arrow,,,,,,,,,07
power,,,power,,,,,,,,,,03
