Name:,Toshiba RS-TX20,,,,v9.06,,,,,,,CURRENT DATA
Devices:,NEC1,133,48,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2006,27 = URC-9910 / 8910 / UEI HTPro,16 - PVR,EFC,USE,20 5E F3,1,No,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 17 D6 (PVR/2006) Toshiba RS-TX20 (KM v9.06),,,,,,,,,,,,
5A 17 2E FE FA 0D 20 5E F3 87 07 7B 3B BB DB ED FB 6F D7 97 17 57 B3 67 33 77 37 1B 1B,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.06),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,153,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,085,,1,01 - num 1,,,,,,,,
num 2,089,,2,02 - num 2,,,,,,,,
num 3,087,,3,03 - num 3,,,,,,,,
num 4,091,,4,04 - num 4,,,,,,,,
num 5,084,,5,05 - num 5,,,,,,,,
num 6,088,,6,06 - num 6,,,,,,,,
num 7,086,,7,07 - num 7,,,,,,,,
num 8,090,,8,08 - num 8,,,,,,,,
num 9,149,,9,09 - num 9,,,,,,,,
Tivo Button,057,,vol up,,,,,,,,,
Live Tv/Guide,121,,vol down,,,,,,,,,
Blue DVD Button,039,,mute,,,,,,,,,
Channel Up / Page Up,246,,channel up,13 - Channel Up / Page Up,,,,,,,,
Channel Down / Page Down,250,,channel down,14 - Channel Down / Page Down,,,,,,,,
Info,123,,power,,,,,,,,,
Top Menu (DVD),043,,enter,,,,,,,,,
Menu (DVD),119,,tv/vid,25 - Enter,,,,,,,,
Angle,036,,prev,,,,,,,,,
Clear,151,,menu,10 - Tivo Button,,,,,,,,
up arrow,116,,guide,15 - Info,,,,,,,,
down arrow,118,,up arrow,20 - up arrow,,,,,,,,
left arrow,122,,down arrow,21 - down arrow,,,,,,,,
right arrow,120,,left arrow,22 - left arrow,,,,,,,,
select,249,,right arrow,23 - right arrow,,,,,,,,
Enter,155,,select,24 - select,,,,,,,,
Thumbs Down,245,,sleep,,,,,,,,,
Thumbs Up,247,,pip,,,,,,,,,
Slow,216,,info,11 - Live Tv/Guide,,,,,,,,
play,217,,swap,,,,,,,,,
pause,219,,move,,,,,,,,,
rewind,215,,play,29 - play,,,,,,,,
fwd,212,,pause,30 - pause,,,,,,,,
Blue Stop Key,037,,rewind,31 - rewind,,,,,,,,
record,213,,fwd,32 - fwd,,,,,,,,
Tivo Jump To Key,218,,stop,33 - Blue Stop Key,,,,,,,,
Tivo Replay,214,,record,34 - record,,,,,,,,
,,,exit,19 - Clear,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,35 - Tivo Jump To Key,,,,,,,,
,,,f rew,35 - Tivo Jump To Key,,,,,,,,
,,,com/skip,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
