Name:,Tivo Premiere,,,,v9.21,,,,,,,,CURRENT DATA
Devices:,TiVo (Official),133,48,0,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1618,99 = URC-6131 PVR,16 - PVR,EFC,USE,5E F3 FF,1,No,,,,,
URC-6131 PVR Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code 0 = 2E 52 (PVR/1618) Tivo Premiere (KM v9.21),,,,,,,,,,,,,
11 17 3E EE FE 7A F9 5E F3 FF 87 07 53 7B 3B BB DB B3 FB 37 CF 77 D7 97 17 57 93 67 33 33 1B 9B 5B DD CF 1B 9B A7 E7,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 2F F4 26 52 00 C5«yellow/A»  ¦20 F4 26 52 00 C9«blue/B» ¦30 F4 26 52 00 C7«red/C»  ¦02 F4 26 52 00 CB«green/D»,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 01 11 (S3C8+) TiVo (Official) (KM v9.21),,,,,,,,,,,,,
43 8D 31 8B 15 CA 5D 08 08 01 21 01 06 01 21 03 31 D4 FD 11 A7 08 B7 08 02 08 E4 05 07 56 07 F0 08 06 60 C0 56 C0 0F 44 C0 07 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,153,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,085,,1,01 - num 1,,,,,,,,,15
num 2,089,,2,02 - num 2,,,,,,,,,16
num 3,087,,3,03 - num 3,,,,,,,,,17
num 4,091,,4,04 - num 4,,,,,,,,,19
num 5,084,,5,05 - num 5,,,,,,,,,1A
num 6,088,,6,06 - num 6,,,,,,,,,1B
num 7,086,,7,07 - num 7,,,,,,,,,1C
num 8,090,,8,08 - num 8,,,,,,,,,1D
num 9,149,,9,09 - num 9,,,,,,,,,1E
channel up,246,,vol up,,,,,,,,,,04
channel down,250,,vol down,,,,,,,,,,05
standby,152,,mute,,,,,,,,,,08
enter/last,155,,channel up,10 - channel up,,,,,,,,,06
tivo central,052,,channel down,11 - channel down,,,,,,,,,07
guide,150,,power,12 - standby,,,,,,,,,03
info/display,123,,enter,13 - enter/last,,,,,,,,,12
up arrow,116,,tv/vid,,,,,,,,,,13
down arrow,118,,prev,13 - enter/last,,,,,,,,,23
left arrow,122,,menu,14 - tivo central,,,,,,,,,21
right arrow,120,,guide,15 - guide,,,,,,,,,14
ok/select,249,,up arrow,17 - up arrow,,,,,,,,,31
yellow/A,197,,down arrow,18 - down arrow,,,,,,,,,32
blue/B,201,,left arrow,19 - left arrow,,,,,,,,,33
red/C,199,,right arrow,20 - right arrow,,,,,,,,,34
green/D,203,,select,21 - ok/select,,,,,,,,,35
play,217,,angle/sleep,37 - zoom,,,,,,,,,26
pause,219,,pip,22 - yellow/A,,,,,,,,,2F
rewind,215,,info,16 - info/display,,,,,,,,,18
fast fwd,212,,swap,23 - blue/B,,,,,,,,,20
record,213,,move,24 - red/C,,,,,,,,,30
replay,214,,play,26 - play,,,,,,,,,0C
advance/jump,218,,pause (yellow),27 - pause,,,,,,,,,0F
live tv / exit,121,,rewind,28 - rewind,,,,,,,,,0B
thumbs up,247,,fast fwd,29 - fast fwd,,,,,,,,,0D
thumbs down,245,,stop,36 - clear,,,,,,,,,0E
clear,151,,record,30 - record,,,,,,,,,10
zoom,164,,exit,33 - live tv / exit,,,,,,,,,24
slow,216,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,next track,32 - advance/jump,,,,,,,,,2B
,,,prev track,31 - replay,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,slow,38 - slow,,,,,,,,,2E
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,phantom4,,,,,,,,,,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,25 - green/D,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subtitle,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,PVR menu (blue),14 - tivo central,,,,,,,,,36
,,,replay,31 - replay,,,,,,,,,27
,,,advance,32 - advance/jump,,,,,,,,,29
,,,,,,,,,,,,,
,,,thumbs up (green),34 - thumbs up,,,,,,,,,2C
,,,thumbs down (red),35 - thumbs down,,,,,,,,,2D
,,,audio/CC,,,,,,,,,,37
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
