Name:,TiVo HD for 6131,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,TiVo (Official),,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1619,99 = URC-6131 PVR,16 - PVR,EFC,USE,5E F3 FF,1,No,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 2E 53 (PVR/1619) TiVo HD for 6131 (KM v9.19),,,,,,,,,,,,,
11 17 2E EE FE 4A F9 5E F3 FF 87 07 7B 3B BB DB 5B FB 37 37 B3 D7 97 17 57 93 67 77 33 5B DD 2F 1B 9B A7 E7,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 01 11 (S3C8+) TiVo (Official) (KM v9.19),,,,,,,,,,,,,
43 8D 31 8B 15 CA 5D 08 08 01 21 01 06 01 21 03 31 D4 FD 11 A7 08 B7 08 02 08 E4 05 07 56 07 F0 08 06 60 C0 56 C0 0F 44 C0 07 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,153,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,085,,1,01 - num 1,,,,,,,,,15
num 2,089,,2,02 - num 2,,,,,,,,,16
num 3,087,,3,03 - num 3,,,,,,,,,17
num 4,091,,4,04 - num 4,,,,,,,,,19
num 5,084,,5,05 - num 5,,,,,,,,,1A
num 6,088,,6,06 - num 6,,,,,,,,,1B
num 7,086,,7,07 - num 7,,,,,,,,,1C
num 8,090,,8,08 - num 8,,,,,,,,,1D
num 9,149,,9,09 - num 9,,,,,,,,,1E
Enter/Last,155,,vol up,,,,,,,,,,04
channel up,246,,vol down,,,,,,,,,,05
channel down,250,,mute,,,,,,,,,,08
TiVo central,059,,channel up,11 - channel up,,,,,,,,,06
guide,150,,channel down,12 - channel down,,,,,,,,,07
info,123,,power,,,,,,,,,,03
up arrow,116,,enter,10 - Enter/Last,,,,,,,,,12
down arrow,118,,tv/vid,,,,,,,,,,13
left arrow,122,,prev,33 - Live TV,,,,,,,,,23
right arrow,120,,menu,15 - info,,,,,,,,,21
Aspect,164,,guide,14 - guide,,,,,,,,,14
Select,249,,up arrow,16 - up arrow,,,,,,,,,31
Thumbs down,245,,down arrow,17 - down arrow,,,,,,,,,32
Thumbs up,247,,left arrow,18 - left arrow,,,,,,,,,33
Record,213,,right arrow,19 - right arrow,,,,,,,,,34
