Name:,Toshiba Tivo / DVD,,,,v8.23,,,,,,,CURRENT DATA
Devices:,NEC1,69,,,,,,,,,,
Manual:,,0 = 1-byte,0 = 1-byte,88,NO,,,,,,,
Setup:,1503,99 = URC-6131 PVR,16 - PVR,EFC,USE,00 5D 5D,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 25 DF (PVR/1503) Toshiba Tivo / DVD (KM v8.23),,,,,,,,,,,,
5A 20 3E FE FE FE F9 00 5D 5D 07 27 B7 57 FF 67 37 D7 A2 CB 97 DE 08 FE 7E 75 4D 32 7B 22 EB 5B DB 3B 4F 1B 6B E2 62 2F 70 F0,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.23),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,055,,0,00 - num 0,,Protocol ID,Fixed Data,num 0,,,,
num 1,185,,1,01 - num 1,season pass manager,,,num 1,,,,
num 2,183,,2,02 - num 2,to do list,,,num 2,,,,
num 3,187,,3,03 - num 3,,,,num 3,,,,
num 4,180,,4,04 - num 4,search by title,,,num 4,,,,
num 5,184,,5,05 - num 5,browse by channel,,,num 5,,,,
num 6,182,,6,06 - num 6,search by time,,,num 6,,,,
num 7,186,,7,07 - num 7,,,,num 7,,,,
num 8,053,,8,08 - num 8,TiVo suggestions,,,num 8,,,,
num 9,057,,9,09 - num 9,,,,num 9,,,,
3D,171,,vol up,,,,,3D,,,,
A-B rpt,084,,vol down,,sp/slp,,,A-B rpt,,,,
angle,089,,mute,,,,,angle,,,,
arrow down,193,,channel up,19 - channel up,,,,arrow down,,,,
arrow left,105,,channel down,18 - channel down,,,,arrow left,,,,
arrow right,040,,power,44 - power,,,,arrow right,,,,
arrow up,189,,enter,27 - enter,,,,arrow up,,,,
audio,218,,tv/vid,11 - A-B rpt,,,,audio,,,,
channel down,251,,prev,45 - prev ch,,,,channel down,,,,
channel up,250,,menu,37 - menu,,,,channel up,,,,
chapter down,219,,guide,30 - guide,,,,chapter down,,,,
chapter up,212,,up arrow,16 - arrow up,,,,chapter up,,,,
clear,082,,down arrow,13 - arrow down,delete,,,clear,,,,
disc select,039,,left arrow,14 - arrow left,,,,disc select,,,,
display,118,,right arrow,15 - arrow right,,,,display,,,,
dvd,044,,select,51 - select/enter,,,,dvd,,,,
dvd switch,156,,angle/sleep,12 - angle,,,,dvd switch,,,,
enter,216,,pip,,,,,enter,,,,
fast fwd,123,,info,24 - display,,,,fast fwd,,,,
fl. Dimmer,169,,swap,,,,,fl. Dimmer,,,,
guide,163,,move,,,,,guide,,,,
guide options,159,,play,43 - play,,,,guide options,,,,
instant replay,059,,pause,42 - pause,,,,instant replay,,,,
last (prev ch),215,,rewind,50 - rewind,,,,last (prev ch),,,,
last play,088,,fast fwd,28 - fast fwd,,,,last play,,,,
live tv,033,,stop,55 - stop,,,,live tv,,,,
memory,087,,record,47 - record,,,,memory,,,,
menu,188,,exit,22 - clear,,,,menu,,,,
open/close 1,144,,surround,,,,,open/close 1,,,,
open/close 2,147,,audio/CC,17 - audio,,,,open/close 2,,,,
Page Down in now playing,093,,+100,,return,,,Page Down in now playing,,,,
Page Up in now playing,097,,fav/scan,,,,,Page Up in now playing,,,,
pause,181,,device button,,,,,pause,,,,
play,120,,advance,35 - live tv,,,,play,,,,
power,119,,replay,32 - instant replay,,,,power,,,,
prev ch,035,,next track,21 - chapter up,"""ent""",,,prev ch,,,,
random,086,,prev track,20 - chapter down,,,,random,,,,
record,031,,PVR menu,59 - TiVo button,,,,record,,,,
record tape,077,,subtitle,56 - subtitles,,,,record tape,,,,
repeat,091,,slow,53 - slow forward,,,,repeat,,,,
rewind,249,,thumbs up,58 - thumbs up,,,,rewind,,,,
select/enter,217,,thumbs down,57 - thumbs down,,,,select/enter,,,,
setup,213,,x2,,,,,setup,,,,
slow forward,056,,center,,,,,slow forward,,,,
slow reverse,054,,rear,,,,,slow reverse,,,,
stop,116,,phantom1,,,,,stop,,,,
subtitles,085,,phantom2,,,,,subtitles,,,,
thumbs down,141,,phantom3,,,,,thumbs down,,,,
thumbs up,145,,phantom4,,,,,thumbs up,,,,
TiVo button,029,,phantom5,,,,,TiVo button,,,,
top menu,238,,phantom6,,,,,top menu,,,,
vcr,048,,phantom7,,,,,vcr,,,,
viss,214,,phantom8,,,,,viss,,,,
zoom,165,,phantom9,,,,,zoom,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
