Name:,"30PW9110D/37 - Philips 30"" widescreen",,,,v9.01,,,,,,,CURRENT DATA
Devices:,RC-5/5x Combo,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,80,NO,,,,,,,
Setup:,2001,99 = 15-2117 / 15-2116,02 - TV,OBC,USE,00 00 00 00,2,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
"Upgrade Code 0 = 07 D1 (TV/2001) 30PW9110D/37 - Philips 30"" widescreen (KM v9.01)",,,,,,,,,,,,
73 00 FE FA 3E 81 00 00 00 00 1F FC 1F F8 1F F4 1F F0 1F EC 1F E8 1F E4 1F E0 1F DC 1F D8 1F BC 1F B8 1F C8 1F 7C 1F 78 1F CC 1F 1C 5F B4 1F 74 1F C0 5F BC 5F B8 5F A8 5F A4 5F A0 1C 4C 5F 9C 5F 88 5F 94 1F 14 5C 24,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 0C F4 07 D1 1F AC«auto sound»¦0F F4 07 D1 5C 30«remove favorite» ¦0B F4 07 D1 5F 04«format» ¦0D F4 07 D1 1F A8«auto pic»  ¦0E F4 07 D1 5C 34«add favorite» ¦10 F4 07 D1 5C 1C«.»,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 73 (S3C8+) RC-5/5x Combo (KM v9.01),,,,,,,,,,,,
40 9A 42 8B 17 C8 81 10 00 08 01 C2 01 A4 01 C2 01 A4 DE 2C 00 00 06 C2 94 01 06 00 28 08 37 21 18 E4 07 03 E4 08 04 E6 10 00 28 03 76 00 01 6B 45 B6 C2 20 29 03 8D 01 49 E6 25 09 E6 24 04 E6 28 89 E6 12 08 E4 22 1C E4 23 1D 28 08 37 22 08 37 24 0D E4 06 03 8B 0B 37 24 08 E4 05 03 8B 03 E4 04 03 E4 07 04 E4 08 05 76 00 01 6B 03 B6 03 20 77 77 E6 10 01 8D 01 49,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,0,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,0,1,01 - num 1,,,,,,,,
num 2,002,0,2,02 - num 2,,,,,,,,
num 3,003,0,3,03 - num 3,,,,,,,,
num 4,004,0,4,04 - num 4,,,,,,,,
num 5,005,0,5,05 - num 5,,,,,,,,
num 6,006,0,6,06 - num 6,,,,,,,,
num 7,007,0,7,07 - num 7,,,,,,,,
num 8,008,0,8,08 - num 8,,,,,,,,
num 9,009,0,9,09 - num 9,,,,,,,,
vol up,016,0,vol up,10 - vol up,,,,,,,,
vol down,017,0,vol down,11 - vol down,,,,,,,,
mute,013,0,mute,12 - mute,,,,,,,,
channel up,032,0,channel up,13 - channel up,,,,,,,,
channel down,033,0,channel down,14 - channel down,,,,,,,,
power,012,0,power,15 - power,,,,,,,,
menu,082,0,enter,19 - A/D,,,,,,,,
guide,044,3,tv/video,33 - AV,,,,,,,,
info,015,0,last,25 - A/CH,,,,,,,,
A/D,118,3,menu,16 - menu,,,,,,,,
up arrow,080,0,guide,17 - guide,,,,,,,,
down arrow,081,0,up arrow,20 - up arrow,,,,,,,,
left arrow,085,0,down arrow,21 - down arrow,,,,,,,,
right arrow,086,0,left arrow,22 - left arrow,,,,,,,,
ok,087,0,right arrow,23 - right arrow,,,,,,,,
A/CH,034,0,select,24 - ok,,,,,,,,
play - green,108,0,sleep,,,,,,,,,
pause - blue,110,0,pip,30 - pip,,,,,,,,
stop - red,107,0,info,18 - info,,,,,,,,
record - yellow,109,0,swap,31 - swap,,,,,,,,
pip,088,0,move,35 - CC,,,,,,,,
swap,090,0,play,36 - auto sound,,,,,,,,
freeze,093,0,pause,39 - remove favorite,,,,,,,,
AV,056,0,rewind,40 - format,,,,,,,,
.,120,3,fast fwd,37 - auto pic,,,,,,,,
CC,058,0,stop,38 - add favorite,,,,,,,,
auto sound,020,0,record,34 - .,,,,,,,,
auto pic,021,0,exit,,,,,,,,,
add favorite,114,3,surround,,,,,,,,,
remove favorite,115,3,input,,,,,,,,,
format,126,0,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,freeze,32 - freeze,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,DiscreteON,,,,,,,,,
,,,DiscreteOFF,,,,,,,,,
,,,phantom8,,,,,,,,,
