Name:,Syntax Olevia LT 27 HV,,,,v8.31,,,,,,,CURRENT DATA
Devices:,NEC1,4,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1241,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,EFC,USE,00 DF DF,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 04 D9 (TV/1241) Syntax Olevia LT 27 HV (KM v8.31),,,,,,,,,,,,
5A 09 7E FE FD 00 DF DF BF 3F 6F FF 7F EF DF 2F A7 FF 7F 3F BF DF 2D 87 9F 1F AF ED FD 27,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 2B F3 04 D9 5D«favorite»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.31),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,117,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,121,,1,01 - num 1,,,,,,,,
num 2,119,,2,02 - num 2,,,,,,,,
num 3,123,,3,03 - num 3,,,,,,,,
num 4,116,,4,04 - num 4,,,,,,,,
num 5,120,,5,05 - num 5,,,,,,,,
num 6,118,,6,06 - num 6,,,,,,,,
num 7,122,,7,07 - num 7,,,,,,,,
num 8,245,,8,08 - num 8,,,,,,,,
num 9,249,,9,09 - num 9,,,,,,,,
vol up,183,,vol up,10 - vol up,,,,,,,,
vol down,187,,vol down,11 - vol down,,,,,,,,
mute,057,,mute,12 - mute,,,,,,,,
channel up,181,,channel up,13 - channel up,,,,,,,,
channel down,185,,channel down,14 - channel down,,,,,,,,
power,053,,power,15 - power,,,,,,,,
menu,180,,enter,25 - enter,,,,,,,,
source,059,,tv/vid,17 - source,,,,,,,,
display/info,246,,prev,27 - ch rtn/prev,,,,,,,,
tv/video,182,,menu,16 - menu,,,,,,,,
up arrow,181,,guide,26 - MTS,,,,,,,,
down arrow,185,,up arrow,20 - up arrow,,,,,,,,
left arrow,187,,down arrow,21 - down arrow,,,,,,,,
right arrow,183,,left arrow,22 - left arrow,,,,,,,,
menu2,180,,right arrow,23 - right arrow,,,,,,,,
enter,251,,select,24 - menu2,,,,,,,,
MTS,165,,sleep,28 - sleep,,,,,,,,
ch rtn/prev,247,,pip,29 - pip/view,,,,,,,,
sleep,043,,info,18 - display/info,,,,,,,,
play,,,swap,30 - pip swap,,,,,,,,
pause,,,move,31 - closed caption,,,,,,,,
rewind,,,play,,,,,,,,,
fast fwd,,,pause,,,,,,,,,
stop,,,rewind,,,,,,,,,
record,,,fwd,,,,,,,,,
f.fwd/next track,,,stop,,,,,,,,,
f.rew/prev track,,,record,,,,,,,,,
+100,,,exit,19 - tv/video,,,,,,,,
pip/view,186,,surround,,,,,,,,,
pip swap,055,,input,,,,,,,,,
closed caption,037,,+100,,,,,,,,,
favorite,168,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,,,,,,,,,
,,,f rew,,,,,,,,,
,,,com/skip,32 - favorite,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
