Name:,1171 Sanyo DS31590,,,,v6.03,,
Devices:,NEC1,56,,,,,
Manual:,,0 = 1-byte,LSB-COMP,,NO,,
Setup,1171,05 = RCU810,02 - TV,EFC,USE,,
,,,,,,,
RCU810 Device Upgrade Code (30 bytes):,,,,,,,
Upgrade code = 34 82 (TV/1171),,,,,,,
5A 05 7A BE FC 09 00 E3 E3 8F 0F E7 AF 2F B7 B7,,,,,,,
67 4F 17 CF 47 17 87 07 07 87 37 CD 77 C7,,,,,,,
End,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protocol Code:,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Functions,EFC,byte2,Buttons,Functions,Notes,Device Combiner (max 16):,
0,181,,0,00 - 0,,Protocol ID,Fixed Data
1,185,,1,01 - 1,,,
2,183,,2,02 - 2,,,
3,187,,3,03 - 3,,,
4,180,,4,04 - 4,,,
5,184,,5,05 - 5,,,
6,182,,6,06 - 6,,,
7,186,,7,07 - 7,,,
8,053,,8,08 - 8,,,
9,057,,9,09 - 9,,,
VOL +,054,,vol up,10 - VOL +,,,
VOL -,058,,vol down,11 - VOL -,,,
MUTE,245,,mute,12 - MUTE,,,
CH +,055,,channel up,13 - CH +,,,
CH -,059,,channel down,14 - CH -,,,
POWER,119,,on/off,15 - POWER,,,
RESET,244,,enter,,,,
INPUT,123,,tv/vcr,,,,
RECALL,249,,goback,18 - RECALL,,,
MENU,122,,menu,19 - MENU,,,
V-GUIDE,036,,guide,22 - DISPLAY,,,
SLEEP,056,,up arrow,24 - Up,,,
DISPLAY,052,,down arrow,25 - Down,,,
CAPTION,121,,left arrow,26 - Left,,,
Up,246,,right arrow,27 - Right,,,
Down,250,,select,28 - SELECT,,,
Left,250,,sleep,26 - sleep,,,
Right,246,,pip on/off,20 - V-GUIDE,,,
SELECT,248,,info,21 - SLEEP,,,
EXIT,122,,pip swap,23 - CAPTION,,,
,,,pip move,30 - pip move,,,
,,,play,,,,
,,,pause,,,,
,,,rewind,,,,
,,,fast fwd,,,,
,,,stop,,,,
,,,record,16 - RESET,,,
,,,clear,29 - EXIT,,,
,,,surround,38 - surround,,,
,,,input,17 - INPUT,,,
,,,+100,40 - +100,,,
,,,,,,,
,,,device button,15 - POWER,,,
,,,shift-up,42 - shift-up,,,
,,,shift-down,43 - shift-down,,,
,,,shift-left,44 - shift-left,,,
,,,shift-right,45 - shift-right,,,
,,,pip freeze,46 - pip freeze,,,
,,,slow,47 - slow,,,
,,,eject,48 - eject,,,
,,,slow+,49 - slow+,,,
,,,slow-,50 - slow-,,,
,,,X2,51 - X2,,,
,,,center,52 - center,,,
,,,rear,53 - rear,,,
,,,Phantom1,54 - Phantom1,,,
,,,Phantom2,55 - Phantom2,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Line Notes:,,,,Free-form Notes:,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,EOF Marker - DO NOT DELETE
