Name:,sony kdl40vl160 for 15-100 june 2 2009,,,,v9.17,,,,,,,,CURRENT DATA
Devices:,Sony Combo (12/15/20),,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,87,NO,,,,,,,,
Setup:,2000,99 = 15-100,02 - TV,OBC,USE,00 00 00 00,2,No,,,,,
15-100 Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 17 D0 (TV/2000) sony kdl40vl160 for 15-100 june 2 2009 (KM v9.17),,,,,,,,,,,,,
00 27 00 BE FE F0 8D 00 00 00 00 90 80 00 80 80 80 40 80 C0 80 20 80 A0 80 60 80 E0 80 10 80 08 80 88 80 A8 80 06 80 5C 80 70 80 C5 E9 2E 80 AE 80 2C 80 CC 80 A6 80 DC 80 92 80 02 80 D0 80 A4 80 3A 80 6C 80 DA 80,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 39 F0 04 17 D0 B9 E9«dot» ¦88 F0 04 17 D0 09 25«close caption»¦98 F0 04 17 D0 BD 25«wide mode» ¦94 F0 04 17 D0 6D E9«options»¦AA F0 04 17 D0 24 80«tv tuner»  ¦AB F0 04 17 D0 A7 EE«video 8 (hdmi 3)»,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 27 (S3C8+) Sony Combo (12/15/20) (KM v9.17),,,,,,,,,,,,,
3A 8A 42 8B 15 F8 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 08 03 08 76 07 01 EB 17 76 08 01 6B 0F E6 28 F9 E6 12 08 08 08 E0 C0 56 C0 03 09 01 E6 24 05 8D 01 49,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,473,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,009,1,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,000,1,1,01 - 1,,,,,,,,,15
2,001,1,2,02 - 2,,,,,,,,,16
3,002,1,3,03 - 3,,,,,,,,,17
4,003,1,4,04 - 4,,,,,,,,,19
5,004,1,5,05 - 5,,,,,,,,,1A
6,005,1,6,06 - 6,,,,,,,,,1B
7,006,1,7,07 - 7,,,,,,,,,1C
8,007,1,8,08 - 8,,,,,,,,,1D
9,008,1,9,09 - 9,,,,,,,,,1E
vol up,018,1,vol up,,,,,,,,,,04
vol down,019,1,vol down,,,,,,,,,,05
mute,020,1,mute,,,,,,,,,45 - close caption,08
channel up,016,1,channel up,13 - channel up,,,,,,,,,06
channel down,017,1,channel down,14 - channel down,,,,,,,,,07
power,021,1,power,15 - power,,,,,,,,,03
enter,011,1,enter,16 - enter,,,,,,,,47 - wide mode,18
Input (toggle/cycle),037,1,tv/vcr,17 - Input (toggle/cycle),,,,,,,,,20
last (prev ch),059,1,last,18 - last (prev ch),,,,,,,,,38
home,096,1,menu,19 - home,,,,,,,,44 - options,14
program guide,014,1,guide,20 - program guide,,,,,,,,,36
up arrow,116,1,up arrow,21 - up arrow,,,,,,,,,31
down arrow,117,1,down arrow,22 - down arrow,,,,,,,,,32
left arrow,052,1,left arrow,23 - left arrow,,,,,,,,,33
right arrow,051,1,right arrow,24 - right arrow,,,,,,,,,34
select,101,1,ok,25 - select,,,,,,,,,35
sleep,054,1,sleep,26 - sleep,,,,,,,,,30
pip on/off,091,1,pip,27 - pip on/off,,,,,,,,,25
display,058,1,info,28 - display,,,,,,,,,13
return,035,151,swap,,,,,,,,,,27
fav/scan,118,119,move,,,,,,,,,,26
power on,046,1,play,,,,,,,,,,0C
power off,047,1,pause,50 - freeze,,,,,,,,,0F
tv tuner,036,1,rewind,,,,,,,,,,0B
video 1,064,1,fast fwd,,,,,,,,,,0D
video 2,065,1,stop,,,,,,,,,,0E
video 3,066,1,record,,,,,,,,,,10
video 4 (component 1),071,1,exit,29 - return,,,,,,,,,37
video 5 (component 2),072,1,,,,,,,,,,,
video 6 (hdmi 1),073,1,,,,,,,,,,,
video 7 (hdmi 2),066,151,,,,,,,,,,,
video 8 (hdmi 3),101,119,fav,,,,,,,,,,2C
video 9 (hdmi 4),102,119,,,,,,,,,,,
video 10 (PC - RGB - VGA),067,1,,,,,,,,,,,
options,054,151,,,,,,,,,,,
close caption,016,164,,,,,,,,,,,
picture,100,1,,,,,,,,,,,
wide mode,061,164,,,,,,,,,,,
dot,029,151,,,,,,,,,,,
theater,096,119,,,,,,,,,,,
freeze,092,1,,,,,,,,,,,
Dmex,107,26,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
