Name:,Mitsubishi XC-3730C TV,,,,v7.42,,,,,,,CURRENT DATA
Devices:,NEC1,130,100,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,0358,24 = URC-881x / 801x / 601x,02 - TV,EFC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade Code 0 = 01 66 (TV/0358),,,,Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,
5A 00 F8 FE 5D 20 BE D9 F7 9D 1D F5 D5 55 95 35,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
B5 77 DF 00 EF 97 E7 DD CD 87 5D 8F 7F 37 27 17,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
97 BF 5D 7F,,,,46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
End,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
,,,,F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
,,,,01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,
,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,220,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,117,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,166,,1,01 - num 1,,,,,,,,
num 2,170,,2,02 - num 2,,,,,,,,
num 3,101,,3,03 - num 3,,,,,,,,
num 4,100,,4,04 - num 4,,,,,,,,
num 5,104,,5,05 - num 5,,,,,,,,
num 6,102,,6,06 - num 6,,,,,,,,
num 7,107,,7,07 - num 7,,,,,,,,
num 8,103,,8,08 - num 8,,,,,,,,
num 9,121,,9,09 - num 9,,,,,,,,
vol up,180,,vol up,10 - vol up,,,,,,,,
vol down,018,,vol down,11 - vol down,,,,,,,,
mute,053,,mute,12 - mute,,,,,,,,
channel up,,,channel up,25 - video1,,,,,,,,
channel down,,,channel down,26 - video2,,,,,,,,
power,164,,power,13 - power,,,,,,,,
enter,122,,enter,14 - enter,,,,,,,,
tv/vcr,118,,tv/vid,15 - tv/vcr,,,,,,,,
last (prev ch),,,prev,,,,,,,,,
menu,168,,menu,16 - menu,,,,,,,,
program guide,,,guide,,,,,,,,,
up arrow,123,,up arrow,17 - up arrow,,,,,,,,
down arrow,036,,down arrow,18 - down arrow,,,,,,,,
left arrow,,,left arrow,27 - RGB1,,,,,,,,
right arrow,,,right arrow,23 - RGB2,,,,,,,,
select,,,select,22 - center,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,183,,pip,19 - pip on/off,,,,,,,,
display,,,info,24 - Info,,,,,,,,
pip swap,185,,swap,20 - pip swap,,,,,,,,
pip move,168,,move,21 - pip move,,,,,,,,
play,,,play,,,,,,,,,
pause,,,pause,,,,,,,,,
rewind,,,rewind,,,,,,,,,
fast fwd,,,fwd,,,,,,,,,
stop,,,stop,,,,,,,,,
record,,,record,,,,,,,,,
exit,,,exit,,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
device button,,,fav,,,,,,,,,
shift-up,,,device button,,,,,,,,,
shift-down,,,f fwd,,,,,,,,,
shift-left,,,f rew,,,,,,,,,
shift-right,,,shift-left,,,,,,,,,
pip freeze,,,shift-right,,,,,,,,,
slow,,,pip freeze,,,,,,,,,
eject,,,slow,,,,,,,,,
slow+,,,eject,,,,,,,,,
slow-,,,slow+,,,,,,,,,
X2,,,slow-,,,,,,,,,
center,185,,x2,,,,,,,,,
rear,,,center,center,,,,,,,,
Phantom1,,,rear,,,,,,,,,
Phantom2,,,phantom1,,,,,,,,,
RGB2,054,,phantom2,,,,,,,,,
Info,251,,phantom3,,,,,,,,,
video1,118,,phantom4,,,,,,,,,
video2,245,,phantom5,,,,,,,,,
RGB1,246,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
