Name:,Panasonic TH-42PWD5,,,,v7.27,,,,,,,CURRENT DATA
Devices:,Panasonic Combo2,128,0,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1250,02 = URC-7800 / 6800,02 - TV,EFC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 14 E2 (TV/1250),,,,Upgrade protocol 0 = 00 42 (S3C8),,,,,,,,
42 00 5A FC 3F BF FB FE FF FB FF 7B FF B3 FF 43,,,,45 91 42 8B 12 8F 44 08 08 00 DA 00 C6 00 DA 02,,,,,,,,
FF 63 FF 0F FF 5F FF B5 FF 73 FF 6D FF 84 DF D4,,,,7B 90 C9 06 D0 03 54 E6 0C E8 08 08 09 06 08 05,,,,,,,,
FF 9F FF AD FF 2D FF 8D FF 0D FF,,,,B4 06 C0 B4 07 C0 09 08 F6 01 33 F6 01 0A FB 0D,,,,,,,,
End,,,,00 0C EB F4 C6 3E 00 00 B0 4A F6 01 0A AF,,,,,,,,
,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,230,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
Normalize,052,,0,,,Protocol ID,Fixed Data,,,,,
Return,108,,1,,,,,,,,,
Select,041,,2,,,,,,,,,
Picture Setup,182,,3,,,,,,,,,
Sound Setup,186,,4,,,,,,,,,
Setup,103,,5,,,,,,,,,
Surround,153,,6,,,,,,,,,
Picture Pos/Size,208,4,7,,,,,,,,,
Off Timer,058,,8,,,,,,,,,
Power,024,,9,,,,,,,,,
Vol Up,213,,vol up,10 - Vol Up,,,,,,,,
Vol Down,217,,vol down,11 - Vol Down,,,,,,,,
Mute,151,,mute,12 - Mute,,,,,,,,
Up Arrow,039,,channel up,,,,,,,,,
Down Arrow,043,,channel down,,,,,,,,,
Left Arrow,038,,power,09 - Power,,,,,,,,
Right Arrow,042,,enter,18 - Display,,,,,,,,
Input,184,,tv/vcr,17 - Input,,,,,,,,
Display,025,,prev ch,,,,,,,,,
Aspect,238,4,menu,05 - Setup,,,,,,,,
Discrete Aspect - Full,113,4,prog/guide,03 - Picture Setup,,,,,,,,
Discrete Aspect - Zoom,049,4,up arrow,13 - Up Arrow,,,,,,,,
Discrete Input - Component,004,4,down arrow,14 - Down Arrow,,,,,,,,
Discrete Input - Svid/Comp,185,,left arrow,15 - Left Arrow,,,,,,,,
Discrete Input - PC,007,,right arrow,16 - Right Arrow,,,,,,,,
Discrete Power Off,026,,select,02 - Select,,,,,,,,
Discrete Power On,022,,sleep,08 - Off Timer,,,,,,,,
,,,pip on/off,,,,,,,,,
,,,display,19 - Aspect,,,,,,,,
,,,pip swap,,,,,,,,,
,,,pip move,,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fast fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,exit,01 - Return,,,,,,,,
,,,surround,06 - Surround,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,X2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1L,,,,,,,,,
,,,2L,,,,,,,,,
,,,3L,,,,,,,,,
,,,4L,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
