Name:,LG_LCD_Device,,,,v7.41a,,,,,,,CURRENT DATA
Devices:,NEC1,4,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1667,06 = URC-7560,02 - TV,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 16 83 (TV/1667),,,,Upgrade protocol 0 = 00 5A (S3C8+),,,,,,,,
5A 00 FE BE E6 81 00 DF DF DD E6 A5 02 B9 D9 79,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
F9 39 29 BF 3F 6F FF 7F EF 8F 61 2F BD FF 7F 3F,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
BF DD DC 5C 75 59 11 91,,,,46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
End,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
,,,,F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
,,,,01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,
,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,224,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,016,,0,22 - select,,Protocol ID,Fixed Data,,,,,
num 1,017,,1,35 - RGB,,,,,,,,
num 2,018,,2,36 - Video,,,,,,,,
num 3,019,,3,38 - Component,,,,,,,,
num 4,020,,4,26 - pip move,,,,,,,,
num 5,021,,5,30 - pip arc,,,,,,,,
num 6,022,,6,31 - pip input,,,,,,,,
num 7,023,,7,24 - pip on/off,,,,,,,,
num 8,024,,8,25 - pip swap,,,,,,,,
num 9,025,,9,32 - twin,,,,,,,,
vol up,002,,vol up,10 - vol up,,,,,,,,
vol down,003,,vol down,11 - vol down,,,,,,,,
mute,009,,mute,12 - mute,,,,,,,,
channel up,000,,channel up,13 - channel up,,,,,,,,
channel down,001,,channel down,14 - channel down,,,,,,,,
power,008,,power,15 - power,,,,,,,,
enter,,,auto,40 - Arc 4_3,,,,,,,,
tv/vcr,011,,tv/vcr,,,,,,,,,
last (prev ch),,,prev ch,,,,,,,,,
menu,066,,menu,17 - menu,,,,,,,,
program guide,,,guide,,,,,,,,,
up arrow,000,,up arrow,18 - up arrow,,,,,,,,
down arrow,001,,down arrow,19 - down arrow,,,,,,,,
left arrow,003,,left arrow,20 - left arrow,,,,,,,,
right arrow,002,,right arrow,21 - right arrow,,,,,,,,
select,068,,enter,22 - select,,,,,,,,
sleep,014,,sleep,23 - sleep,,,,,,,,
pip on/off,096,,pip on/off,,,,,,,,,
display,,,display,,,,,,,,,
pip swap,099,,pip swap,,,,,,,,,
pip move,098,,pip move,,,,,,,,,
play,010,,play,33 - Power On,,,,,,,,
pause,,,pause,42 - Still,,,,,,,,
rewind,,,rewind,37 - S-Video,,,,,,,,
fast fwd,,,fast fwd,,,,,,,,,
stop,,,stop,34 - System Off,,,,,,,,
record,,,record,,,,,,,,,
exit,,,exit,,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,011,,av,28 - input toggle,,,,,,,,
+100,,,+10,29 - arc,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,sp/lp,39 - Arc 16_9,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,normalize,,,,,,,,,
pip freeze,,,a,,,,,,,,,
slow,,,b,,,,,,,,,
eject,,,c,,,,,,,,,
slow+,,,color+ ($_vol+),,,,,,,,,
slow-,,,color- ($_vol-),,,,,,,,,
x2,,,bright+ ($_ch+),,,,,,,,,
center,,,bright- ($_ch-),,,,,,,,,
rear,,,d,,,,,,,,,
arc,121,,e,,,,,,,,,
