Name:,Samsung HLN TV,,,,v8.20,,,,,,,CURRENT DATA
Devices:,NECx2,7,7,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0060,99 = 15-2117 / 15-2116,02 - TV,OBC,USE,31 1F 1F,1,,,,,
15-2117 / 15-2116 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 00 3C (TV/0060),,,,,,,,,,,,
5A 13 7E FE FE 81 31 1F 1F 1F 2F 0F B7 F7 BF 7F A7 37 07 B7 F7 2F 1F 3F 1B 49 BD EB FB BD 7B 83 97,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,017,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,004,,1,01 - num 1,,,,,,,,
num 2,005,,2,02 - num 2,,,,,,,,
num 3,006,,3,03 - num 3,,,,,,,,
num 4,008,,4,04 - num 4,,,,,,,,
num 5,009,,5,05 - num 5,,,,,,,,
num 6,010,,6,06 - num 6,,,,,,,,
num 7,012,,7,07 - num 7,,,,,,,,
num 8,013,,8,08 - num 8,,,,,,,,
num 9,014,,9,09 - num 9,,,,,,,,
vol up,007,,vol up,10 - vol up,,,,,,,,
vol down,011,,vol down,11 - vol down,,,,,,,,
mute,015,,mute,12 - mute,,,,,,,,
channel up,018,,channel up,13 - channel up,,,,,,,,
channel down,016,,channel down,14 - channel down,,,,,,,,
power,002,,power,15 - power,,,,,,,,
enter,022,,enter,16 - enter,,,,,,,,
tv/vcr,001,,tv/video,17 - tv/vcr,,,,,,,,
last (prev ch),019,,last,18 - last (prev ch),,,,,,,,
menu,026,,menu,19 - menu,,,,,,,,
program guide,,,guide,31 - Pic Mode,,,,,,,,
up arrow,018,,up arrow,20 - up arrow,,,,,,,,
down arrow,016,,down arrow,21 - down arrow,,,,,,,,
left arrow,011,,left arrow,22 - left arrow,,,,,,,,
right arrow,007,,right arrow,23 - right arrow,,,,,,,,
select,039,,select,24 - select,,,,,,,,
sleep,003,,sleep,25 - sleep,,,,,,,,
pip on/off,032,,pip,26 - pip on/off,,,,,,,,
display,031,,info,27 - display,,,,,,,,
pip swap,033,,swap,28 - pip swap,,,,,,,,
pip move,,,move,29 - Aspect,,,,,,,,
play,,,play,,,,,,,,,
pause,,,pause,,,,,,,,,
rewind,,,rewind,,,,,,,,,
fast fwd,,,fast fwd,,,,,,,,,
stop,,,stop,,,,,,,,,
record,,,record,,,,,,,,,
Aspect,062,,exit,34 - Freeze Frame,,,,,,,,
DNIe,109,,surround,,,,,,,,,
Pic Mode,040,,input,,,,,,,,,
2s,,,+100,30 - DNIe,,,,,,,,
PIP Ch -,051,,fav/scan,,,,,,,,,
PIP Ch +,050,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
Freeze Frame,066,,freeze,34 - Freeze Frame,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
x2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
Discrete On,153,,phantom1,,Works,,,,,,,
Discrete Off,152,,phantom2,,Works,,,,,,,
Comp-1,134,,phantom3,,Works,,,,,,,
Comp-2,136,,phantom4,,Works,,,,,,,
Comp-3,232,,phantom5,,Works,,,,,,,
S-Video-1,133,,DiscreteON,,Works,,,,,,,
S-Video-2,237,,DiscreteOFF,,Works,,,,,,,
S-Video-3,251,,phantom8,,Works,,,,,,,
Video-1,132,,phantom9,,Works,,,,,,,
Video-2,,,phantom10,,,,,,,,,
Video-3,236,,setup,,Works,,,,,,,
Ant,,,light,,,,,,,,,
DVI,140,,my system,,Works,,,,,,,
PC,105,,macro1,,Works,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
