Name:,TV/1755,,,,v9.06,,,,,,,CURRENT DATA
Devices:,Manual Settings,,,,02 4B 00 00,,,,,,,
Manual:,0165,0 = 1-byte,LSB-COMP,66,NO,,,,,,,
Setup:,1755,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,OBC,USE,02 4B 00 00,1,No,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 0E DB (TV/1755) TV/1755 (KM v9.06),,,,,,,,,,,,
65 00 FE FE 7D 02 4B 00 00 74 EC 6C AC 2C CC 4C 8C 0C F4 9C 1C 5C 34 D4 1D 24 BC D0 28 A8 C8 48 38 84 3C 50 10 18 54 B4,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 65 (S3C8+) Custom Protocol for TV/1755 TV/1755 (KM v9.06),,,,,,,,,,,,
43 8B 41 8B 12 C3 45 06 06 01 A3 01 90 01 A3 04 D3 C4 36 06 8E 06 78 18 07 56 C1 03 87 21 03 29 03 E4 07 04 E4 07 06 60 06 37 20 05 B6 C2 E4 8B 02 60 C2 29 05 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Direct DVI,002,2,0,28 - num 0,,Protocol ID,Fixed Data,,,,,
CCD,005,2,1,19 - num 1,,,,,,,,
POWER OFF,006,2,2,20 - num 2,,,,,,,,
POWER ON,007,2,3,21 - num 3,,,,,,,,
Direct TV,008,2,4,22 - num 4,,,,,,,,
Direct AV3,010,2,5,23 - num 5,,,,,,,,
Component 2,012,2,6,24 - num 6,,,,,,,,
Component 1,013,2,7,25 - num 7,,,,,,,,
Direct AV1,014,2,8,26 - num 8,,,,,,,,
Direct AV2,015,2,9,27 - num 9,,,,,,,,
Direct RGB,016,2,vol up,17 - Vol UP,,,,,,,,
,,,vol down,18 - Vol DOWN,,,,,,,,
Factory (reset?),000,0,mute,16 - MUTE,,,,,,,,
Power,001,0,channel up,30 - Channel UP,,,,,,,,
INPUT SELECT,002,0,channel down,31 - Channel DOWN,,,,,,,,
Display,003,0,power,03 - power on,,,,,,,,
Q.V,004,0,enter,29 - +100,,,,,,,,
MUTE,005,0,tv/vid,13 - input select,,,,,,,,
vol up,006,0,prev,46 - recall,,,,,,,,
vol down,007,0,menu,35 - MENU,,,,,,,,
num 1,008,0,guide,32 - fav channel,,,,,,,,
num 2,009,0,up arrow,42 - MENU up,,,,,,,,
num 3,010,0,down arrow,41 - MENU down,,,,,,,,
num 4,011,0,left arrow,43 - ADJ left,,,,,,,,
num 5,012,0,right arrow,44 - ADJ right,,,,,,,,
num 6,013,0,select,38 - V-Chip Set,,,,,,,,
num 7,014,0,sleep,36 - Sleep Timer,,,,,,,,
num 8,015,0,pip,47 - PIP on/off,,,,,,,,
num 9,016,0,info,14 - display,,,,,,,,
num 0,017,0,swap,48 - pip swap,,,,,,,,
+100,018,0,move,40 - PIP position,,,,,,,,
channel up,019,0,play,,,,,,,,,
channel down,020,0,pause,,,,,,,,,
fav channel,021,0,rewind,,,,,,,,,
MTS,024,0,fwd,,,,,,,,,
FAV SET,026,0,stop,,,,,,,,,
MENU,027,0,record,,,,,,,,,
Sleep Timer,030,0,exit,,,,,,,,,
p-mode,032,0,surround,,,,,,,,,
V-Chip Set,035,0,input,,,,,,,,,
Ch. Lock,037,0,+100,,,,,,,,,
PIP position,039,0,fav/scan,,,,,,,,,
MENU down,042,0,device button,,,,,,,,,
MENU up,043,0,f fwd,,,,,,,,,
ADJ left,044,0,f rew,,,,,,,,,
ADJ right,045,0,com/skip,,,,,,,,,
wide,048,0,shift-right,,,,,,,,,
RECALL,052,0,pip freeze,,,,,,,,,
PIP on/off,053,0,slow,,,,,,,,,
PIP swap,055,0,eject,,,,,,,,,
V-Chip,057,0,slow+,,,,,,,,,
PIP source,060,0,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
