Name:,Fluid 720p Plasma,,,,v9.17,,,,,,,,CURRENT DATA
Devices:,NEC1,8,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0835,01 = 15-1994,02 - TV,EFC,USE,00 EF EF,1,No,,,,,
15-1994 Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code 0 = 13 43 (TV/0835) Fluid 720p Plasma (KM v9.17),,,,,,,,,,,,,
5A 06 7E FE BD 00 EF EF FF 7F 2F BF 3F 5F 27 FD CF 87 DF 9F 1F 7D 3D BD EF A7 8F 1D 07,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 0F F3 13 43 6F«Freeze» ¦30 F3 13 43 DD«MTS» ¦B0 F3 13 43 C7«EQ»  ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NEC1 (KM v9.17),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,117,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,121,,1,01 - num 1,,,,,,,,,15
num 2,119,,2,02 - num 2,,,,,,,,,16
num 3,123,,3,03 - num 3,,,,,,,,,17
num 4,116,,4,04 - num 4,,,,,,,,,19
num 5,120,,5,05 - num 5,,,,,,,,,1A
num 6,118,,6,06 - num 6,,,,,,,,,1B
num 7,122,,7,07 - num 7,,,,,,,,,1C
num 8,245,,8,08 - num 8,,,,,,,,,1D
num 9,249,,9,09 - num 9,,,,,,,,,1E
vol up,181,,vol up,10 - vol up,,,,,,,,,04
vol down,185,,vol down,11 - vol down,,,,,,,,,05
mute,059,,mute,12 - mute,,,,,,,,,08
channel up,183,,channel up,13 - channel up,,,,,,,,,06
channel down,187,,channel down,14 - channel down,,,,,,,,,07
power,184,,power,15 - power,,,,,,,,,03
menu,246,,enter,26 - +100,,,,,,,,,12
display/info,247,,tv/vcr,27 - Source,,,,,,,,,18
exit,250,,last,24 - last/prev ch,,,,,,,,,13
up arrow,182,,menu,16 - menu,,,,,,,,,29
down arrow,186,,program / guide,33 - Closed Caption,,,,,,,,,28
left arrow,169,,up arrow,19 - up arrow,,,,,,,,,31
right arrow,171,,down arrow,20 - down arrow,,,,,,,,,32
select,167,,left arrow,21 - left arrow,,,,,,,,,33
last/prev ch,052,,right arrow,22 - right arrow,,,,,,,,,34
sleep,053,,select,23 - select,,,,,,,,,35
+100,251,,sleep,25 - sleep,,,,,,,,,2C
Source,165,,pip,,,,,,,,,,2D
MTS,164,,display,17 - display/info,,,,,,,,,2A
picture size,058,,swap,34 - TV,,,,,,,,,2F
Freeze,057,,move,36 - Picture Mode,,,,,,,,,2E
EQ,244,,play,,,,,,,,,,0C
AutoScan,056,,pause,30 - Freeze,,,,,,,,,0F
Closed Caption,180,,rewind,,,,,,,,,,0B
TV,054,,fast fwd,,,,,,,,,,0D
Sound Mode,168,,stop,,,,,,,,,,0E
Picture Mode,170,,record,,,,,,,,,,10
,,,exit,18 - exit,,,,,,,,,2B
,,,surround,28 - MTS,,,,,,,,31 - EQ,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3A
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
