Name:,Syntax Olevia 237V,,,,v9.05,,,,,,,CURRENT DATA
Devices:,NEC1,4,185,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0237,99 = 15-2117 / 15-2116,02 - TV,EFC,USE,20 DF 62,1,No,,,,
15-2117 / 15-2116 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 00 ED (TV/0237) Syntax Olevia 237V (KM v9.05),,,,,,,,,,,,
5A 00 FE FE E8 81 20 DF 62 7F BF 3F DF 5F 9F 1F EF 6F AF 97 17 A7 D7 57 FF 67 27 E7 FB F7 77 B7 37 EB C7 07 2B 47 6B 5B,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.05),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fNo,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,185,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,183,,1,01 - num 1,,,,,,,,
num 2,187,,2,02 - num 2,,,,,,,,
num 3,180,,3,03 - num 3,,,,,,,,
num 4,184,,4,04 - num 4,,,,,,,,
num 5,182,,5,05 - num 5,,,,,,,,
num 6,186,,6,06 - num 6,,,,,,,,
num 7,053,,7,07 - num 7,,,,,,,,
num 8,057,,8,08 - num 8,,,,,,,,
num 9,055,,9,09 - num 9,,,,,,,,
vol up,118,,vol up,10 - vol up,,,,,,,,
vol down,122,,vol down,11 - vol down,,,,,,,,
mute,247,,mute,12 - mute,,,,,,,,
channel up,116,,channel up,13 - channel up,,,,,,,,
channel down,120,,channel down,14 - channel down,,,,,,,,
power,181,,power,15 - power,,,,,,,,
menu,251,,enter,30 - aspect,,,,,,,,
program/guide,,,tv/video,27 - audio,,,,,,,,
display/info,213,,last,23 - last/prev ch,,,,,,,,
exit,,,menu,16 - menu,,,,,,,,
up arrow,117,,guide,28 - source,,,,,,,,
down arrow,121,,up arrow,18 - up arrow,,,,,,,,
left arrow,119,,down arrow,19 - down arrow,,,,,,,,
right arrow,123,,left arrow,20 - left arrow,,,,,,,,
select,244,,right arrow,21 - right arrow,,,,,,,,
enter,,,select,22 - select,,,,,,,,
tv/vcr,,,sleep,24 - sleep,,,,,,,,
last/prev ch,245,,pip,,,,,,,,,
sleep,085,,info,17 - display/info,,,,,,,,
play,,,swap,,,,,,,,,
pause,,,move,,,,,,,,,
rewind,,,play,,,,,,,,,
fast fwd,,,pause,,,,,,,,,
stop,,,rewind,,,,,,,,,
record,,,fast fwd,,,,,,,,,
f.fwd/next track,,,stop,,,,,,,,,
f.rew/prev track,,,record,,,,,,,,,
+100,,,exit,26 - time,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,32 - favorite,,,,,,,,
pip freeze,089,,fav/scan,,,,,,,,,
time,091,,device button,,,,,,,,,
audio,249,,next track,,,,,,,,,
source,248,,prev track,,,,,,,,,
lighting,219,,shift-left,,,,,,,,,
aspect,216,,shift-right,,,,,,,,,
auto,212,,freeze,25 - pip freeze,,,,,,,,
favorite,250,,slow,,,,,,,,,
cc,087,,eject,,,,,,,,,
-,058,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,DiscreteON,,,,,,,,,
,,,DiscreteOFF,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
