Name:,RCA TV with slower Protocol,,,,v9.17,,,,,,,,CURRENT DATA
Devices:,Manual Settings,15,,,,,,,,,,,
Manual:,,0 = 1-byte,MSB,48,NO,,,,,,,,
Setup:,2000,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,OBC,USE,F0,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 0F D0 (TV/2000) RCA TV with slower Protocol (KM v9.17),,,,,,,,,,,,,
FF 0B 7C 04 05 F0 43 3B 3F 2C 2D 63 08 47 07 F4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,,
Upgrade Protocol 0 = 01 FF (S3C8+) Custom Protocol for TV/2000 RCA TV with slower Protocol (KM v9.17),,,,,,,,,,,,,
3D 92 11 8B 12 95 45 04 08 00 FA 03 D4 00 FA 01 E0 0F 8C 07 D0 07 BC 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,048,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,049,,1,01 - num 1,,,,,,,,,15
num 2,050,,2,02 - num 2,,,,,,,,,16
num 3,051,,3,03 - num 3,,,,,,,,,17
num 4,052,,4,04 - num 4,,,,,,,,,19
num 5,053,,5,05 - num 5,,,,,,,,,1A
num 6,054,,6,06 - num 6,,,,,,,,,1B
num 7,055,,7,07 - num 7,,,,,,,,,1C
num 8,056,,8,08 - num 8,,,,,,,,,1D
num 9,057,,9,09 - num 9,,,,,,,,,1E
vol up,067,,vol up,10 - vol up,,,,,,,,,04
vol down,059,,vol down,11 - vol down,,,,,,,,,05
mute,063,,mute,12 - mute,,,,,,,,,08
channel up,044,,channel up,13 - channel up,,,,,,,,,06
channel down,045,,channel down,14 - channel down,,,,,,,,,07
power,099,,power,15 - power,,,,,,,,,03
sleep,007,,enter,86 - enter,,,,,,,,,18
power off,059,,tv/vid,18 - tv/vcr,,,,,,,,,20
tv/vcr,071,,prev,,,,,,,,,,38
menu,008,,menu,19 - menu,,,,,,,,,14
Band,004,,guide,,,,,,,,,,36
Ant. A/B,005,,up arrow,,,,,,,,,,31
Clear,006,,down arrow,,,,,,,,,,32
Sleep,007,,left arrow,,,,,,,,,,33
Menu,008,,right arrow,,,,,,,,,,34
Tracking Dow,010,,select,,,,,,,,,,35
Tracking Up,011,,sleep,16 - sleep,,,,,,,,,30
Pip Freeze,012,,pip,,,,,,,,,,3A
Slow,016,,info,,,,,,,,,,13
Clear,018,,swap,,,,,,,,,,3C
Pip Move,020,,move,,,,,,,,,,3B
Alarm,022,,play,,,,,,,,,,0C
Record,023,,pause,,,,,,,,,,0F
Program,024,,rewind,,,,,,,,,,0B
Channel Guid,026,,fwd,,,,,,,,,,0D
Pip On/Off,027,,stop,,,,,,,,,,0E
Band Right,032,,record,,,,,,,,,,10
Band Left,034,,exit,,,,,,,,,,37
Erase,035,,,,,,,,,,,,
Add,036,,,,,,,,,,,,
Previous Cha,039,,,,,,,,,,,,
Seek,040,,,,,,,,,,,,
Surr Frz Rig,041,,,,,,,,,,,,
Power Toggle,042,,f fwd,,,,,,,,,,2A
Surr Frz Lef,043,,f rew,,,,,,,,,,29
On/Display,058,,,,,,,,,,,,
Power Off,059,,,,,,,,,,,,
Select/Display,060,,,,,,,,,,,,
Minute,061,,,,,,,,,,,,
Clock,062,,,,,,,,,,,,
Mute,063,,,,,,,,,,,,
Speed,070,,,,,,,,,,,,
Input,071,,,,,,,,,,,,
Pip Recall,073,,,,,,,,,,,,
Ch Memory,074,,,,,,,,,,,,
Call Counter,076,,phantom1,,,,,,,,,,3D
Call Channel,077,,phantom2,,,,,,,,,,3E
Cs,083,,phantom3,,,,,,,,,,3F
Zoom Out,084,,,,,,,,,,,,
Zoom In,085,,,,,,,,,,,,
Menu Left,086,,,,,,,,,,,,
Menu Right,087,,,,,,,,,,,,
Menu Down,088,,,,,,,,,,,,
Menu Up,089,,,,,,,,,,,,
Surr On/Off,090,,,,,,,,,,,,
Surr Frz,091,,setup,,,,,,,,,,02
Sur Zoom Out,092,,light,,,,,,,,,,39
Surr Zoom In,093,,home theater,,,,,,,,,,24
Surr Frz Dow,094,,M1,,,,,,,,,,2D
Surr Frz Up,095,,M2,,,,,,,,,,2E
Favorite,097,,M3,,,,,,,,,,2F
Down,098,,,,,,,,,,,,
Up,099,,L1,,,,,,,,,,25
Menu -,100,,L2,,,,,,,,,,26
Menu +,101,,L3,,,,,,,,,,27
Closed Capti,128,,L4,,,,,,,,,,28
Text On,133,,,,,,,,,,,,
Fetch,147,,,,,,,,,,,,
Input,163,,,,,,,,,,,,
Alt Audio,176,,,,,,,,,,,,
Pip Swap,195,,,,,,,,,,,,
100,209,,,,,,,,,,,,
Help,213,,,,,,,,,,,,
Audio Menu,225,,,,,,,,,,,,
Video Menu,226,,,,,,,,,,,,
Ch. cntrl,229,,,,,,,,,,,,
Enter,244,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,com/skip,,,,,,,,,,2B
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Upgrade protocol 0 = 01 FF (S3C8+) Slow RCA (PB v4.01),,,,,,,,,,,,,
 3D 92 11 8B 12 95 45 04 08 00 FA 03 D4 00 FA 01 ,,,,,,,,,,,,,
