Name:,Samsung LNT4065F,,,,v9.16,,,,,,,,CURRENT DATA
Devices:,NECx2,7,7,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1060,24 = URC-881x / 801x / 601x,02 - TV,EFC,USE,31 1F 1F,1,No,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 04 24 (TV/1060) Samsung LNT4065F (KM v9.16),,,,,,,,,,,,,
5A 13 7E FE FD 31 1F 1F 1F 2F 0F B7 F7 BF 79 4B 93 59 A7 B9 E9 F9 07 3B 37 7F E5 EB 83 BD,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NECx2 (KM v9.16),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,121,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,180,,1,01 - num 1,,,,,,,,,15
num 2,184,,2,02 - num 2,,,,,,,,,16
num 3,182,,3,03 - num 3,,,,,,,,,17
num 4,053,,4,04 - num 4,,,,,,,,,19
num 5,057,,5,05 - num 5,,,,,,,,,1A
num 6,055,,6,06 - num 6,,,,,,,,,1B
num 7,052,,7,07 - num 7,,,,,,,,,1C
num 8,056,,8,08 - num 8,,,,,,,,,1D
num 9,054,,9,09 - num 9,,,,,,,,,1E
vol up,186,,vol up,10 - vol up,,,,,,,,,04
vol down,059,,vol down,11 - vol down,,,,,,,,,05
mute,058,,mute,12 - mute,,,,,,,,,08
channel up,119,,channel up,13 - channel up,,,,,,,,,06
channel down,117,,channel down,14 - channel down,,,,,,,,,07
power,183,,power,15 - power,,,,,,,,,03
menu,247,,enter,33 - dash,,,,,,,,,12
exit,088,,tv/vid,22 - source,,,,,,,,,13
up arrow,197,,prev,23 - previous channel,,,,,,,,,23
down arrow,201,,menu,16 - menu,,,,,,,,,21
left arrow,200,,guide,24 - antenna,,,,,,,,,14
right arrow,199,,up arrow,18 - up arrow,,,,,,,,,31
source,185,,down arrow,19 - down arrow,,,,,,,,,32
previous channel,123,,left arrow,20 - left arrow,,,,,,,,,33
antenna,150,,right arrow,21 - right arrow,,,,,,,,,34
enter,069,,select,25 - enter,,,,,,,,,35
info,250,,sleep,31 - return,,,,,,,,,22
still,167,,pip,28 - pmode,,,,,,,,,3B
pmode,085,,info,26 - info,,,,,,,,,18
smode,091,,swap,27 - still,,,,,,,,,20
MTS (mono/sap/stereo),181,,move,34 - psize,,,,,,,,,3C
return,229,,play,,,,,,,,,,0C
chlist,075,,pause,,,,,,,,,,0F
dash,219,,rewind,,,,,,,,,,0B
psize,022,,fwd,,,,,,,,,,0D
,,,stop,,,,,,,,,,0E
,,,record,,,,,,,,,,10
,,,exit,17 - exit,,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,f fwd,,,,,,,,,,2B
,,,f rew,,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,phantom4,,,,,,,,,,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,39
,,,home theater,,,,,,,,,,38
,,,M1,,,,,,,,,,2C
,,,M2,,,,,,,,,,2D
,,,M3,,,,,,,,,,2E
,,,M4,,,,,,,,,,2F
,,,L1,,,,,,,,,,25
,,,L2,,,,,,,,,,26
,,,L3,,,,,,,,,,27
,,,L4,,,,,,,,,,28
,,,,,,,,,,,,,
,,,,,,,,,,,,,
