Name:,Panasonic CT-27L8G,,,,v9.21 beta,,,,,,,,CURRENT DATA
Devices:,Panasonic,128,0,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0250,01 = 15-1994,02 - TV,EFC,USE,FE BF FB FE FF,1,No,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 10 FA (TV/0250) Panasonic CT-27L8G (KM v9.21 beta),,,,,,,,,,,,,
C9 19 7E FE A5 FE BF FB FE FF FB 7B B3 D3 53 43 B5 5F 13 B5 33 AD 2D 8D 0D B5 03 63 B5,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 C9 (S3C8) Panasonic (KM v9.21 beta),,,,,,,,,,,,,
45 91 51 8B 12 8F 44 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 E6 0C E8 60 03 20 01 E4 08 09 B4 03 09 20 10 F6 01 33 F6 01 0A FB 0D 00 0C EB F4 C6 3E 00 00 B0 4A F6 01 0A AF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,249,,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,117,,1,01 - 1,,,,,,,,,15
2,121,,2,02 - 2,,,,,,,,,16
3,119,,3,03 - 3,,,,,,,,,17
4,123,,4,04 - 4,,,,,,,,,19
5,116,,5,05 - 5,,,,,,,,,1A
6,120,,6,06 - 6,,,,,,,,,1B
7,118,,7,07 - 7,,,,,,,,,1C
8,122,,8,08 - 8,,,,,,,,,1D
9,245,,9,09 - 9,,,,,,,,,1E
VOL +,213,,vol up,10 - VOL +,,,,,,,,,04
VOL -,217,,vol down,11 - VOL -,,,,,,,,,05
MUTE,151,,mute,12 - MUTE,,,,,,,,,08
CH +,148,,channel up,13 - CH +,,,,,,,,,06
CH -,152,,channel down,14 - CH -,,,,,,,,,07
POWER,024,,power,15 - POWER,,,,,,,,,03
MENU,103,,enter,16 - MENU,action,,,,,,,,12
LAST,154,,tv/vcr,19 - INPUT,r-tune,,,,,,,,18
DISPLAY,025,,last,17 - LAST,recall,,,,,,,,13
INPUT,184,,menu,16 - MENU,tv/video,,,,,,,,29
Up,039,,program / guide,24 - SAP,,,,,,,,,28
Down,043,,up arrow,20 - Up,,,,,,,,,31
Left,038,,down arrow,21 - Down,,,,,,,,,32
Right,042,,left arrow,22 - Left,,,,,,,,,33
SAP,155,,right arrow,23 - Right,,,,,,,,,34
DISCRETE ON,022,,select,16 - MENU,,,,,,,,,35
DISCRETE OFF,026,,sleep,26 - DISCRETE OFF,,,,,,,,,2C
,,,pip,,,,,,,,,,2D
,,,display,18 - DISPLAY,,,,,,,,,2A
,,,swap,,,,,,,,,,2F
,,,move,,,,,,,,,,2E
,,,play,,,,,,,,,,0C
,,,pause,,,,,,,,,,0F
,,,rewind,,,,,,,,,,0B
,,,fast fwd,,,,,,,,,,0D
,,,stop,,,,,,,,,,0E
,,,record,,,,,,,,,,10
,,,exit,16 - MENU,,,,,,,,,2B
,,,surround,,,,,,,,,,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3A
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,20
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,1s,,,,,,,,,,21
,,,2s,,,,,,,,,,22
,,,3s,,,,,,,,,,23
,,,4s,,,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
