Name:,Durabrand TV,,,,v8.24,,,,,,,CURRENT DATA
Devices:,Emerson,41,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,66,NO,,,,,,,
Setup:,0171,99 = URC-6131 PVR,02 - TV,OBC,USE,68 68 68,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 10 AB (TV/0171) Durabrand TV (KM v8.24),,,,,,,,,,,,
65 1D 7E FC 09 68 68 68 F0 70 30 F4 EC F8 8C 4C 0C 08 2C F4 EC 70 F0 C8,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 65 (S3C8+) Emerson (KM v8.24),,,,,,,,,,,,
45 91 31 8B 12 D5 45 06 06 01 B3 01 9F 01 B3 05 05 CC 6A 06 CC 06 B8 E4 06 01 56 01 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,041,,0,00 - num 0,,Protocol ID,Fixed Data,num 0,,,,
num 1,031,,1,01 - num 1,,,,num 1,,,,
num 2,033,,2,02 - num 2,,,,num 2,,,,
num 3,034,,3,03 - num 3,,,,num 3,,,,
num 4,035,,4,04 - num 4,,,,num 4,,,,
num 5,036,,5,05 - num 5,,,,num 5,,,,
num 6,037,,6,06 - num 6,,,,num 6,,,,
num 7,038,,7,07 - num 7,,,,num 7,,,,
num 8,039,,8,08 - num 8,,,,num 8,,,,
num 9,040,,9,09 - num 9,,,,num 9,,,,
num 100,044,,vol up,21 - Volume+,,,,num 100,,,,
Channel-,008,,vol down,20 - Volume-,,,,Channel-,,,,
Channel Return,014,,mute,17 - mute,,,,Channel Return,,,,
Channel+,016,,channel up,13 - Channel+,,,,Channel+,,,,
Display,015,,channel down,11 - Channel-,,,,Display,,,,
Game,013,,power,18 - Power,,,,Game,,,,
Menu,047,,enter,10 - num 100,,,,Menu,,,,
Mute,051,,tv/vid,15 - Game,,,,Mute,,,,
Power,032,,prev,12 - Channel Return,,,,Power,,,,
Sleep Timer,011,,menu,16 - menu,,,,Sleep Timer,,,,
Volume-,049,,guide,,,,,Volume-,,,,
Volume+,048,,up arrow,13 - Channel+,,,,Volume+,,,,
