Name:,Gregs XBR,,,,v8.38,,,,,,,CURRENT DATA
Devices:,Sony12/15,1,164,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,57,NO,,,,,,,
Setup:,0000,24 = URC-881x / 801x / 601x,02 - TV,OBC,USE,80 25 40,1,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 00 00 (TV/0000) Gregs XBR (KM v8.38),,,,,,,,,,,,
CA 07 7E FE FD 80 25 40 48 C8 28 08 88 A8 AE C6 89 2C 06 CC 3E 2E 5C D0 DC A4 6C DA 7A FA,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
" 0F F3 00 00 5A«PIP TV/Video» ¦0B F3 00 00 9A«PIP Channel Down»¦0D F3 00 00 1A«PIP Channel Up»  ¦0E F3 00 00 3A«PIP Freeze, Digital Memo» ¦10 F3 00 00 46«Audio»  ",,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 CA (S3C8+) Sony12/15 (KM v8.38),,,,,,,,,,,,
3A 8A 31 8B 14 F5 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 00 03 08 05 76 06 01 6B 04 20 01 10 C0 10 C0 FB 03 E6 12 08 8D 01 49,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
1,000,0,0,09 - 0,,Protocol ID,Fixed Data,,,,,
2,001,0,1,00 - 1,,,,,,,,
3,002,0,2,01 - 2,,,,,,,,
4,003,0,3,02 - 3,,,,,,,,
5,004,0,4,03 - 4,,,,,,,,
6,005,0,5,04 - 5,,,,,,,,
7,006,0,6,05 - 6,,,,,,,,
8,007,0,7,06 - 7,,,,,,,,
9,008,0,8,07 - 8,,,,,,,,
0,009,0,9,08 - 9,,,,,,,,
11,010,0,vol up,18 - Volume Up,,,,,,,,
"Enter, 12",011,0,vol down,19 - Volume Down,,,,,,,,
"1-, 13",012,0,mute,20 - mute,,,,,,,,
"2-, 14",013,0,channel up,16 - channel up,,,,,,,,
"Guide, Channel Guide, P/C",014,0,channel down,17 - channel down,,,,,,,,
Clear,015,0,power,21 - power,,,,,,,,
Channel Up,016,0,enter,"11 - Enter, 12",,,,,,,,
Channel Down,017,0,tv/vid,37 - TV/Video,,,,,,,,
Volume Up,018,0,prev,"56 - Jump, Last",,,,,,,,
Volume Down,019,0,menu,"83 - Menu, Guide",,,,,,,,
Mute,020,0,guide,108- Headphone,,,,,,,,
Power,021,0,up arrow,"101- Up, R, Level Up",,,,,,,,
Reset,022,0,down arrow,"102- Down, L, Level Down",,,,,,,,
"MTS/SAP, Audio Monitor, Nicam",023,0,left arrow,"52 - Left, Clock Clear",,,,,,,,
Picture/Contrast Up,024,0,right arrow,"51 - Right, Clock AM/PM",,,,,,,,
Picture/Contrast Down,025,0,select,105- select,,,,,,,,
Color Up,026,0,sleep,"53 - Sleep, Off Timer",,,,,,,,
Color Down,027,0,pip,79 - PIP On/Toggle,,,,,,,,
Channel Lock,028,0,info,"55 - Display, Info, Teletext Index",,,,,,,,
-/--,029,0,swap,82 - pip swap,,,,,,,,
Bright Up,030,0,move,81 - PIP Position,,,,,,,,
Bright Down,031,0,play,,,,,,,,,
Hue Down,032,0,pause,78 - PIP TV/Video,,,,,,,,
Hue Up,033,0,rewind,77 - PIP Channel Down,,,,,,,,
Sharpness Up,034,0,fwd,76 - PIP Channel Up,,,,,,,,
Sharpness Down,035,0,stop,"80 - PIP Freeze, Digital Memo",,,,,,,,
TV tuner (discrete),036,0,record,85 - Audio,,,,,,,,
TV/Video,037,0,exit,86 - exit,,,,,,,,
Balance Left,038,0,surround,,,,,,,,,
Balance Right,039,0,input,,,,,,,,,
"Bass, Tone, Loudness On/Off, OSE",040,0,+100,,,,,,,,,
"SRS, Surround, 3D Sound On/Off",041,0,fav,,,,,,,,,
Antenna/Aux,042,0,device button,,,,,,,,,
"Clock, Time",043,0,f fwd,,,,,,,,,
External Antenna,044,0,f rew,,,,,,,,,
RGB,045,0,shift-left,,,,,,,,,
Power On (discrete),046,0,shift-right,,,,,,,,,
"Power Off (discrete), System Off",047,0,pip freeze,,,,,,,,,
"Timer, Time, Blk",048,0,slow,,,,,,,,,
Up,049,0,eject,,,,,,,,,
Down,050,0,slow+,,,,,,,,,
"Right, Clock AM/PM",051,0,slow-,,,,,,,,,
"Left, Clock Clear",052,0,x2,,,,,,,,,
"Sleep, Off Timer",054,0,center,,,,,,,,,
"Teletext Off/Out, Power On (discrete), Select Tuner",056,0,rear,,,,,,,,,
"Display, Info, Teletext Index",058,0,phantom1,,,,,,,,,
"Jump, Last",059,0,phantom2,,,,,,,,,
"Timer-Off, Repeat",060,0,phantom3,,,,,,,,,
Pic Off,062,0,phantom4,,,,,,,,,
"Teletext On/Mode, Display",063,0,phantom5,,,,,,,,,
"Video 1 (discrete), Line A, Line",064,0,phantom6,,,,,,,,,
"Video 2 (discrete), Line B",065,0,phantom7,,,,,,,,,
"Video 3 (discrete), VTR",066,0,phantom8,,,,,,,,,
"RGB Input 1 (discrete), Computer (RGB) input (discrete)",067,0,phantom9,,,,,,,,,
RGB Input 2 (discrete),068,0,phantom10,,,,,,,,,
Video 4 (discrete),071,0,setup,,,,,,,,,
"Video 5 (discrete), YUV",072,0,light,,,,,,,,,
"Video 6 (discrete), FM",073,0,home theater,,,,,,,,,
"Teletext Hold, Noise Reduction On/Off",074,0,M1,,,,,,,,,
Fasttext Red (obsolete?),075,0,M2,,,,,,,,,
Fasttext Green (obsolete?),076,0,M3,,,,,,,,,
"S-Video, Y/C, Fasttext Yellow (obsolete?)",077,0,M4,,,,,,,,,
Cable toggle,078,0,L1,,,,,,,,,
"Notch Filter On/Off, Fasttext Blue (obsolete?)",079,0,L2,,,,,,,,,
Internal Speakers On/Off,080,0,L3,,,,,,,,,
Sat (?),081,0,L4,,,,,,,,,
PIP Channel Up,088,0,,,,,,,,,,
PIP Channel Down,089,0,,,,,,,,,,
PIP TV/Video,090,0,,,,,,,,,,
PIP On/Toggle,091,0,,,,,,,,,,
"PIP Freeze, Digital Memo",092,0,,,,,,,,,,
PIP Position,094,0,,,,,,,,,,
PIP Swap,095,0,,,,,,,,,,
"Menu, Guide",096,0,,,,,,,,,,
Video,097,0,,,,,,,,,,
Audio,098,0,,,,,,,,,,
Exit,099,0,,,,,,,,,,
"Picture Mode, ASC, Profile",100,0,,,,,,,,,,
"Return, Select, Enter (menu select key)",101,0,,,,,,,,,,
Output Select,102,0,,,,,,,,,,
PIP source,103,0,,,,,,,,,,
TV System,104,0,,,,,,,,,,
Color System,106,0,,,,,,,,,,
Auto Program,107,0,,,,,,,,,,
Preset,108,0,,,,,,,,,,
Search +,110,0,,,,,,,,,,
Search –,111,0,,,,,,,,,,
Treble Up,112,0,,,,,,,,,,
Treble Down,113,0,,,,,,,,,,
Bass Up,114,0,,,,,,,,,,
Bass Down,115,0,,,,,,,,,,
"Up, R, Level Up",116,0,,,,,,,,,,
"Down, L, Level Down",117,0,,,,,,,,,,
Add,120,0,,,,,,,,,,
Erase,121,0,,,,,,,,,,
Select,124,0,,,,,,,,,,
Trinitron,125,0,,,,,,,,,,
"Music, Surround",031,1,,,,,,,,,,
Headphone,017,1,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
