Name:,Toshiba 37AV500U LCD remote upgrade,,,,v9.10,,,,,,,CURRENT DATA
Devices:,NEC1,64,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1111,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,EFC,USE,00 FD FD,1,No,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 04 57 (TV/1111) Toshiba 37AV500U LCD remote upgrade (KM v9.10),,,,,,,,,,,,
5A 03 7C 0E 89 00 FD FD A7 87 F7 27 07 B7 FE FD 6E 57 DE E5 5E,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 0C F3 04 57 F3«play»¦0F F3 04 57 53«pause»  ¦0B F3 04 57 D3«rewind» ¦0D F3 04 57 33«fast fwd»  ¦0E F3 04 57 73«stop»¦10 F3 04 57 E3«record» ¦2A F3 04 57 93«f.fwd/next track»¦29 F3 04 57 13«f.rew/prev track»,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.10),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,181,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,183,,2,02 - num 2,,,,,,,,
num 3,187,,3,03 - num 3,,,,,,,,
num 4,180,,4,04 - num 4,,,,,,,,
num 5,184,,5,05 - num 5,,,,,,,,
num 6,182,,6,06 - num 6,,,,,,,,
num 7,186,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol up,247,,vol up,10 - vol up,,,,,,,,
vol down,246,,vol down,11 - vol down,,,,,,,,
mute,117,,mute,12 - mute,,,,,,,,
channel up,251,,channel up,13 - channel up,,,,,,,,
channel down,250,,channel down,14 - channel down,,,,,,,,
power,119,,power,15 - power,,,,,,,,
menu,189,,enter,,,,,,,,,
program/guide,192,,tv/vid,25 - tv/vcr,,,,,,,,
display/info,188,,prev,,,,,,,,,
exit,229,,menu,16 - menu,,,,,,,,
up arrow,191,,guide,17 - program/guide,,,,,,,,
down arrow,195,,up arrow,,,,,,,,,
left arrow,248,,down arrow,,,,,,,,,
right arrow,249,,left arrow,,,,,,,,,
select,065,,right arrow,,,,,,,,,
enter,,,select,24 - select,,,,,,,,
tv/vcr,165,,sleep,26 - sleep,,,,,,,,
last/prev ch,,,pip,,,,,,,,,
sleep,120,,info,18 - display/info,,,,,,,,
play,149,,swap,,,,,,,,,
pause,152,,move,,,,,,,,,
rewind,148,,play,27 - play,,,,,,,,
fast fwd,155,,pause,28 - pause,,,,,,,,
stop,153,,rewind,29 - rewind,,,,,,,,
record,021,,fwd,30 - fast fwd,,,,,,,,
f.fwd/next track,150,,stop,31 - stop,,,,,,,,
f.rew/prev track,154,,record,32 - record,,,,,,,,
+100,,,exit,19 - exit,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
piciture mode,100,,device button,,access picture size mode,,,,,,,
input select,058,,f fwd,33 - f.fwd/next track,,,,,,,,
,,,f rew,34 - f.rew/prev track,,,,,,,,
,,,com/skip,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
