Name:,TCL L32HDF11TA,,,,v9.22,,,,,,,,CURRENT DATA
Devices:,Manual Settings,,,,,,,,,,,,
Manual:,,1 = b4 cmd,MSB,48,NO,,,,,,,,
Setup:,2001,18 = 15-2104,02 - TV,OBC,USE,,2,No,,,,,
15-2104 Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code 0 = 1F D1 (TV/2001) TCL L32HDF11TA (KM v9.22),,,,,,,,,,,,,
FF 00 68 80 81 00 00 00 00 FF 3F FF 2D FF 2C FF F4 FF 08 FF 07,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 10 F4 17 D1 FF 17«record: dev 15»  ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 01 FF (S3C8+) Custom Protocol for TV/2001 TCL L32HDF11TA (KM v9.22),,,,,,,,,,,,,
3D 91 02 8B 12 95 45 04 08 00 FA 03 D4 00 FA 01 E0 0F 8C 07 D0 07 BC 20 10 8D 01 33,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,048,FF,0,,dev 15,Protocol ID,Fixed Data,,,,,,1F
1,049,FF,1,,dev 15,,,,,,,,15
2,050,FF,2,,dev 15,,,,,,,,16
3,051,FF,3,,dev 15,,,,,,,,17
4,052,FF,4,,dev 15,,,,,,,,19
5,053,FF,5,,dev 15,,,,,,,,1A
6,054,FF,6,,dev 15,,,,,,,,1B
7,055,FF,7,,dev 15,,,,,,,,1C
8,056,FF,8,,dev 15,,,,,,,,1D
9/Aux,057,FF,9,,dev 15,,,,,,,,1E
Band,004,FF,vol up,,dev 15,,,,,,,,04
Ant. A/B,005,FF,vol down,,dev 15,,,,,,,,05
Clear,006,FF,mute,44 - mute,dev 15,,,,,,,,08
Sleep,007,FF,channel up,36 - channel up,dev 15,,,,,,,,06
