Name:,Soyo MT-SYTPT3727ABMS TV,,,,v9.17,,,,,,,,CURRENT DATA
Devices:,NEC1,9,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2000,24 = URC-881x / 801x / 601x,02 - TV,OBC,USE,00 6F 6F,1,No,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 07 D0 (TV/2000) Soyo MT-SYTPT3727ABMS TV (KM v9.17),,,,,,,,,,,,,
5A 00 FE FE F1 00 6F 6F 3F DF 5F 05 1F EF 6F AF 2F CF ED C7 F7 DD 47 5D 47 67 3D C7 C5 ED 75 DD FD 07 85 FF BD 37,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.17),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,003,,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,004,,1,01 - 1,,,,,,,,,15
2,005,,2,02 - 2,,,,,,,,,16
3,095,,3,03 - 3,,,,,,,,,17
4,007,,4,04 - 4,,,,,,,,,19
5,008,,5,05 - 5,,,,,,,,,1A
6,009,,6,06 - 6,,,,,,,,,1B
7,010,,7,07 - 7,,,,,,,,,1C
8,011,,8,08 - 8,,,,,,,,,1D
9,012,,9,09 - 9,,,,,,,,,1E
Aspect,065,,vol up,36 - VOL+ / Right Arrow,,,,,,,,,04
CC,013,,vol down,35 - VOL- / Left Arrow,,,,,,,,,05
CH- / Down Arrow,029,,mute,23 - mute,,,,,,,,,08
CH+ / Up Arrow,068,,channel up,13 - CH+ / Up Arrow,,,,,,,,,06
CVBS,088,,channel down,12 - CH- / Down Arrow,,,,,,,,,07
Display,064,,power,26 - power,,,,,,,,,03
dot,031,,enter,16 - dot,,,,,,,,,12
EPG,067,,tv/vid,31 - source,,,,,,,,,13
exit,025,,prev,27 - recall,,,,,,,,,23
fav,093,,menu,21 - menu,,,,,,,,,21
HDMI,084,,guide,17 - EPG,,,,,,,,,14
Menu,092,,up arrow,13 - CH+ / Up Arrow,,,,,,,,,31
MTS,087,,down arrow,12 - CH- / Down Arrow,,,,,,,,,32
Mute,016,,left arrow,35 - VOL- / Left Arrow,,,,,,,,,33
Picture,018,,right arrow,36 - VOL+ / Right Arrow,,,,,,,,,34
PIP,019,,select,28 - OK,,,,,,,,,35
Power,069,,sleep,29 - sleep,,,,,,,,,22
recall,094,,pip,25 - PIP,,,,,,,,,3B
OK,081,,info,15 - Display,,,,,,,,,18
Sleep,066,,swap,,,,,,,,,,20
Sound,082,,move,,,,,,,,,,3C
