Name:,Video7 and Functions in Sony HD and Plasma TV's Device 151 and 119,,,,v7.11,,,,,,,CURRENT DATA
Devices:,Sony 12/15,151,119,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,57,NO,,,,,,,
Setup,1999,01 = 15-1994,01 - Cable,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 07 CF (Cable/1999),,,,Upgrade protocol 0 = 00 CA (S3C8),,,,,,,,
CA 00 FF E9 EE C0 B8 84 8C B2 72 1E 9E 09 89 49,,,,3A 8A 31 8B 14 F5 15 05 07 02 58 01 18 01 2C 01,,,,,,,,
C9 39 9D CB 6F 3F BF 42 7F,,,,18 57 D0 04 B0 01 18 00 03 08 05 76 06 01 6B 04,,,,,,,,
End,,,,20 01 10 C0 10 C0 FB 03 E6 12 08 8D 01 36,,,,,,,,
,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,229,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
. (delimiter),029,0,0,00 - . (delimiter),151,Protocol ID,Fixed Data,,,,,
i.Link? (big i key),033,0,1,01 - i.Link? (big i key),151,,,,,,,
Memory Stick,049,0,2,02 - Memory Stick,151,,,,,,,
PIP Zoom In Left (European),077,0,3,03 - PIP Zoom In Left (European),151,,,,,,,
PIP Zoom In Right(European),078,0,4,04 - PIP Zoom In Right(European),151,,,,,,,
PIP Zoom In Left,120,0,5,05 - PIP Zoom In Left,151,,,,,,,
PIP Zoom In Right,121,0,6,06 - PIP Zoom In Right,151,,,,,,,
H-Shift (Plasma Displays),016,1,7,07 - H-Shift (Plasma Displays),119,,,,,,,
V-Shift (Plasma Displays),017,1,8,08 - V-Shift (Plasma Displays),119,,,,,,,
