Name:,"Symphonic 19"" TV Model WF-1901",,,,v8.33,,,,,,,CURRENT DATA
Devices:,Emerson,41,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,66,NO,,,,,,,
Setup:,0171,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,OBC,USE,68 68 68,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,
"Upgrade Code 0 = 00 AB (TV/0171) Symphonic 19"" TV Model WF-1901 (KM v8.33)",,,,,,,,,,,,
65 1C 7E F6 09 68 68 68 F0 70 30 F4 EC F8 08 4C 8C F4 EC 70 F0 2C 0C 0C,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 65 (S3C8+) Emerson (KM v8.33),,,,,,,,,,,,
45 91 31 8B 12 D5 45 06 06 01 B3 01 9F 01 B3 05 05 CC 6A 06 CC 06 B8 E4 06 01 56 01 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,041,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,031,,1,01 - num 1,,,,,,,,
num 2,033,,2,02 - num 2,,,,,,,,
num 3,034,,3,03 - num 3,,,,,,,,
num 4,035,,4,04 - num 4,,,,,,,,
num 5,036,,5,05 - num 5,,,,,,,,
num 6,037,,6,06 - num 6,,,,,,,,
num 7,038,,7,07 - num 7,,,,,,,,
num 8,039,,8,08 - num 8,,,,,,,,
num 9,040,,9,09 - num 9,,,,,,,,
vol up,048,,vol up,10 - vol up,,,,,,,,
vol down,049,,vol down,11 - vol down,,,,,,,,
mute,051,,mute,12 - mute,,,,,,,,
channel up,016,,channel up,13 - channel up,,,,,,,,
channel down,008,,channel down,14 - channel down,,,,,,,,
power,032,,power,15 - power,,,,,,,,
menu,047,,enter,,,,,,,,,
program/guide,015,,tv/vid,23 - tv/vcr,,,,,,,,
display/info,015,,prev,24 - last/prev ch,,,,,,,,
exit,,,menu,16 - menu,,,,,,,,
up arrow,016,,guide,17 - program/guide,,,,,,,,
down arrow,008,,up arrow,13 - channel up,,,,,,,,
left arrow,049,,down arrow,14 - channel down,,,,,,,,
right arrow,048,,left arrow,11 - vol down,,,,,,,,
