Name:,Toshiba 30HF83 TV (URC-8911),,,,v8.09,,,,,,,CURRENT DATA
Devices:,NEC1,64,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1156,27 = URC-9910 / 8910,01 - Cable,EFC,USE,,,,,,,
URC-9910 / 8910 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 64 84 (Cable/1156),,,,,,,,,,,,
5A 03 6E FE 3E EF 00 FD FD A7 87 F7 27 07 17 C7 BE 3E 47 67 6E 8F 77 E5 0F 75 9B 2D 0D AD 35 17 75 2D AD,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 B0 F3 64 84 E3 AD F3 64 84 B0 AF F3 64 84 D5,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,228,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,181,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,183,,2,02 - num 2,,,,,,,,
num 3,187,,3,03 - num 3,,,,,,,,
num 4,180,,4,04 - num 4,,,,,,,,
num 5,184,,5,05 - num 5,,,,,,,,
num 6,182,,6,06 - num 6,,,,,,,,
num 7,186,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol up,247,,vol up,10 - vol up,,,,,,,,
vol down,246,,vol down,11 - vol down,,,,,,,,
mute,117,,mute,12 - mute,,,,,,,,
channel up,251,,channel up,13 - channel up,,,,,,,,
channel down,250,,channel down,14 - channel down,,,,,,,,
power,119,,power,,,,,,,,,
enter,122,,enter,16 - enter,,,,,,,,
tv/vcr,,,tv/vid,38 - TV/Video,,,,,,,,
last (prev ch),122,,prev,17 - last (prev ch),,,,,,,,
menu,054,,menu,18 - menu,,,,,,,,
program guide,,,guide,29 - Ch Scan,,,,,,,,
up arrow,191,,up arrow,19 - up arrow,,,,,,,,
down arrow,195,,down arrow,20 - down arrow,,,,,,,,
left arrow,248,,left arrow,21 - left arrow,,,,,,,,
right arrow,249,,right arrow,22 - right arrow,,,,,,,,
select,065,,select,23 - select,,,,,,,,
sleep,021,,sleep,,,,,,,,,24 - sleep
pip on/off,,,pip,31 - POP On/Off,,,,,,,,
display,244,,info,25 - display,,,,,,,,
pip swap,,,swap,34 - POP Ch+,,,,,,,,
pip move,,,move,33 - POP Ch-,,,,,,,,
play,,,play,31 - POP On/Off,,,,,,,,
pause,,,pause,36 - POP Direct Ch,,,,,,,,
rewind,,,rewind,33 - POP Ch-,,,,,,,,
fast fwd,,,fwd,35 - POP Source,,,,,,,,
stop,,,stop,34 - POP Ch+,,,,,,,,
record,,,record,32 - POP Swap,,,,,,,,
exit,229,,exit,26 - exit,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,f fwd,,,,,,,,,
prev track,,,f rew,,,,,,,,,
shift-left,,,com/skip,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,pip freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
x2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
Scroll,143,,phantom2,,,,,,,,,
Picture Size,100,,phantom3,,,,,,,,,
Ch Scan,121,,phantom4,,,,,,,,,
Favorite,125,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
POP On/Off,105,,phantom8,,,,,,,,,
POP Swap,107,,phantom9,,,,,,,,,
POP Ch-,043,,phantom10,,,,,,,,,
POP Ch+,039,,setup,,,,,,,,,
POP Source,042,,light,,,,,,,,,
POP Direct Ch,214,,home theater,,,,,,,,,
POP Freeze,036,,M1,,,,,,,,,27 - Scroll
TV/Video,058,,M2,,,,,,,,,
,,,M3,,,,,,,,,28 - Picture Size
Discrete On,006,,macro4,,,,,,,,,
Discrete Off,010,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
